"年度","縣市","雨水下水道系統規劃幹線已建設長度","雨水下水道系統規劃幹線長度","雨水下水道系統規劃幹線建設完工比率","小型汽車路外停車位","小型汽車路邊停車位","每萬輛小型車擁有路外及路邊停車位數","道路里程長度","道路路面面積","道路里程密度","平均每人享有道路面積","市內電話用戶數","每千人電話用戶數","公墓總面積","自來水供水普及率","電燈用戶數","電燈售電量","電燈用戶平均每戶售電量","電力用戶數","電力售電量","電力用戶平均每戶售電量","收寄函件","郵政儲金結存戶數","郵政儲金結存金額","國民通信率"
1998, 總計,-,-,48.220000,-,-,-,-,-,-,-,11500361.000000,524.445962,105501289.000000,77.805692,9834984.000000,45080.910890,4648.974783,265524.000000,83048.890191,31.470072,-,-,-,-
1998, 臺灣地區,-,-,48.220000,151589.000000,172213.000000,623.597372,34916.000000,349957.000000,0.969722,16.001051,11475805.000000,524.707149,105291289.000000,90.016440,9814658.000000,44963.160173,4646.509800,264019.000000,82981.077632,31.622018,-,-,-,-
1998, 新北市,-,-,35.030000,15723.000000,22596.000000,528.713683,2388.000000,26230.000000,1.163421,7.581749,2033606.000000,587.811277,9901351.000000,96.073648,1453347.000000,7967.611703,5563.090852,29249.000000,7412.306322,25.587912,-,-,-,-
1998, 臺北市,-,-,92.310000,59503.000000,29338.000000,1345.109724,1253.000000,19372.000000,4.610012,7.338048,2120810.000000,803.355684,3388200.000000,99.460000,985777.000000,6695.516630,6839.410998,18368.000000,6080.024761,33.422339,-,-,-,-
1998, 桃園市,-,-,28.810000,6747.000000,2296.000000,209.308354,1851.000000,20575.000000,1.516028,12.462265,845554.000000,512.151541,2595194.000000,92.332391,712988.000000,3578.694112,5123.831665,12162.000000,14362.700049,119.853966,-,-,-,-
1998, 臺中市,-,-,36.590000,10924.000000,27387.000000,587.546066,3738.000000,45701.000000,1.687663,19.158897,1365979.000000,572.649408,9141522.000000,88.469783,1148661.000000,5454.040816,4831.540329,25243.000000,7353.349499,29.134291,-,-,-,-
1998, 臺南市,-,-,42.210000,5560.000000,13047.000000,430.314173,3807.000000,39527.000000,1.737045,21.693078,868109.000000,476.432713,13035607.000000,98.174581,902158.000000,3485.223385,3922.771252,26904.000000,7779.917774,28.998165,-,-,-,-
1998, 高雄市,-,-,60.310000,19451.000000,38822.000000,924.655632,3704.000000,46945.000000,1.257184,17.455735,1334007.000000,496.028816,8674297.000000,93.806291,1255065.000000,5486.221579,4430.764691,31950.000000,15647.987389,49.243898,-,-,-,-
1998, 宜蘭縣,-,-,30.590000,1812.000000,978.000000,284.374681,1117.000000,8985.000000,0.521080,19.296561,187625.000000,402.951289,4194537.000000,86.462340,207662.000000,779.524603,3811.502124,4545.000000,1977.521928,43.649088,-,-,-,-
1998, 新竹縣,-,-,60.420000,2725.000000,588.000000,283.283454,1054.000000,7754.000000,0.738306,18.117669,166187.000000,388.305528,1656801.000000,69.160942,166195.000000,715.020524,4381.870754,2458.000000,3575.116084,146.012501,-,-,-,-
