"年度","縣市","機動車輛登記數","小客車登記數","小貨車登記數","機車登記數","汽車登記數","每千人持有車輛數(年底)-小客車","每千人持有車輛數(年底)-機車","車輛成長率-小客車","車輛成長率-機車","每汽車享有道路面積","領有汽車駕照人數","領有機車駕照人數","觀光旅館家數","觀光旅館房間數","觀光旅館平均房價","觀光旅館住用率"
1998, 彰化縣,1007418.000000,260093.000000,51099.000000,682305.000000,325113.000000,199.846020,524.258395,2.679773,4.769970,0.050927,-,-,-,-,-,-
1998, 南投縣,409722.000000,114609.000000,23301.000000,266577.000000,143145.000000,209.955045,488.348960,0.634845,2.686805,0.113032,-,-,-,-,-,-
1998, 雲林縣,555653.000000,135771.000000,31777.000000,379801.000000,175852.000000,181.270903,507.080822,3.096596,4.277050,0.093147,-,-,-,-,-,-
1998, 嘉義縣,418303.000000,101462.000000,25190.000000,286351.000000,131952.000000,179.346087,506.159266,2.367956,2.924357,0.119619,-,-,-,-,-,-
1998, 屏東縣,702353.000000,156235.000000,35372.000000,503178.000000,199175.000000,171.584994,552.614932,1.542291,4.153488,0.096297,-,-,-,-,-,-
1998, 臺東縣,188719.000000,39567.000000,10980.000000,135792.000000,52927.000000,158.307894,543.304913,1.753890,2.822874,0.163565,-,-,-,-,-,-
1998, 花蓮縣,275990.000000,68684.000000,14498.000000,189312.000000,86678.000000,192.607424,530.879050,1.448976,3.192609,0.136644,-,-,-,-,-,-
1998, 澎湖縣,63759.000000,10872.000000,2377.000000,49709.000000,14050.000000,121.525100,555.637526,5.145068,0.290528,0.144626,-,-,-,-,-,-
1998, 基隆市,209263.000000,60158.000000,5718.000000,139157.000000,70106.000000,157.433044,364.172847,4.135436,4.846900,0.036673,-,-,-,-,-,-
1998, 新竹市,289880.000000,84292.000000,9882.000000,191721.000000,98159.000000,236.613772,538.174785,4.462703,4.443682,0.042615,-,-,-,-,-,-
1998, 嘉義市,222011.000000,54928.000000,7653.000000,155458.000000,66553.000000,208.812013,590.982703,2.473788,2.778751,0.149866,-,-,-,-,-,-
1998, 金門縣,33884.000000,8288.000000,1682.000000,23103.000000,10781.000000,162.318841,452.467685,12.823305,4.585785,-,-,-,-,-,-,-
1998, 連江縣,3096.000000,595.000000,293.000000,2060.000000,1036.000000,89.406461,309.541698,-0.667780,0.389864,-,-,-,-,-,-,-
1999, 總計,16317768.000000,4509430.000000,627034.000000,10958469.000000,5359299.000000,204.116920,496.029198,-0.793270,4.078520,-,-,-,-,-,-,-
1999, 臺灣地區,16279164.000000,4499781.000000,625275.000000,10932150.000000,5347014.000000,204.218998,496.146971,-0.811708,4.077285,0.068624,-,-,-,-,-,-
1999, 新北市,2367002.000000,641534.000000,73955.000000,1625737.000000,741265.000000,182.725482,463.051960,-0.733435,5.775248,0.035914,-,-,-,-,-,-
1999, 臺北市,1583090.000000,581831.000000,49230.000000,931399.000000,651691.000000,220.281057,352.627406,-4.178819,3.004428,0.030637,-,-,-,-,-,-
1999, 桃園市,1201866.000000,389467.000000,48268.000000,743275.000000,458591.000000,230.277799,439.471717,1.939768,4.292073,0.043553,-,-,-,-,-,-
1999, 臺中市,1865489.000000,568921.000000,78323.000000,1189274.000000,676215.000000,234.897580,491.030538,-0.486094,4.010614,0.069525,-,-,-,-,-,-
1999, 臺南市,1473457.000000,380106.000000,55360.000000,1020223.000000,453234.000000,207.506020,556.956255,1.120260,4.075926,0.092248,-,-,-,-,-,-
1999, 高雄市,2263723.000000,534182.000000,63290.000000,1633717.000000,630006.000000,197.416937,603.770635,-4.512653,5.345026,0.075612,-,-,-,-,-,-
1999, 宜蘭縣,348663.000000,87303.000000,14431.000000,241968.000000,106695.000000,187.746772,520.356814,4.234920,2.212647,0.086077,-,-,-,-,-,-
1999, 新竹縣,316089.000000,104486.000000,14000.000000,192748.000000,123341.000000,240.880473,444.358377,2.154827,2.770432,0.068517,-,-,-,-,-,-
1999, 苗栗縣,430528.000000,124007.000000,19676.000000,279585.000000,150943.000000,221.518603,499.433730,2.198798,2.851373,0.079288,-,-,-,-,-,-
1999, 彰化縣,1025911.000000,256575.000000,48143.000000,707368.000000,318543.000000,196.512821,541.778745,-1.352593,3.673284,0.055801,-,-,-,-,-,-
1999, 南投縣,413479.000000,112475.000000,21963.000000,273878.000000,139601.000000,206.741073,503.417041,-1.861983,2.738796,0.126539,-,-,-,-,-,-
1999, 雲林縣,573009.000000,139752.000000,31836.000000,393207.000000,179802.000000,187.274620,526.916908,2.932143,3.529743,0.091306,-,-,-,-,-,-
1999, 嘉義縣,429702.000000,104306.000000,25105.000000,295039.000000,134663.000000,185.379500,524.362761,2.803020,3.034039,0.132360,-,-,-,-,-,-
1999, 屏東縣,713212.000000,155340.000000,32789.000000,517772.000000,195440.000000,170.888269,569.596761,-0.572855,2.900365,0.123358,-,-,-,-,-,-
1999, 臺東縣,188773.000000,38050.000000,10240.000000,138224.000000,50549.000000,153.550631,557.802430,-3.834003,1.790974,0.184296,-,-,-,-,-,-
1999, 花蓮縣,280924.000000,68723.000000,13900.000000,194662.000000,86262.000000,193.212553,547.286089,0.056782,2.826023,0.140247,-,-,-,-,-,-
1999, 澎湖縣,64035.000000,10713.000000,2140.000000,50452.000000,13583.000000,120.353207,566.793614,-1.462472,1.494699,0.157035,-,-,-,-,-,-
1999, 基隆市,216266.000000,60970.000000,5485.000000,145737.000000,70529.000000,158.281001,378.340139,1.349779,4.728472,0.037233,-,-,-,-,-,-
1999, 新竹市,296868.000000,85396.000000,9530.000000,197986.000000,98882.000000,235.927925,546.986114,1.309733,3.267769,0.043810,-,-,-,-,-,-
1999, 嘉義市,227078.000000,55644.000000,7611.000000,159899.000000,67179.000000,209.891026,603.144367,1.303525,2.856720,0.149094,-,-,-,-,-,-
1999, 金門縣,35281.000000,8830.000000,1595.000000,24107.000000,11174.000000,170.690688,466.006843,6.539575,4.345756,-,-,-,-,-,-,-
1999, 連江縣,3323.000000,819.000000,164.000000,2212.000000,1111.000000,124.847561,337.195122,37.647059,7.378641,-,-,-,-,-,-,-
2000, 總計,17022689.000000,4716217.000000,652963.000000,11423172.000000,5599517.000000,211.711022,512.786291,4.585657,4.240583,-,-,-,-,-,-,-
2000, 臺灣地區,16981890.000000,4705895.000000,651081.000000,11395621.000000,5586269.000000,211.823566,512.944100,4.580534,4.239523,0.067354,-,-,-,-,-,-
