"年度","縣市","農戶數","稻作收穫面積","稻米產量","耕地面積","水田面積","旱田面積","耕地率","水田占耕地面積比率","旱田占耕地面積比率","平均每一農戶耕地面積"
1998, 總計,,,,,,,,,,
1998, 臺灣地區,,,,,,,,,,
1998, 新北市,,,,,,,,,,
1998, 臺北市,,,,,,,,,,
1998, 桃園市,,,,,,,,,,
1998, 臺中市,,,,,,,,,,
1998, 臺南市,,,,,,,,,,
1998, 高雄市,,,,,,,,,,
1998, 宜蘭縣,,,,,,,,,,
1998, 新竹縣,,,,,,,,,,
1998, 苗栗縣,,,,,,,,,,
1998, 彰化縣,,,,,,,,,,
1998, 南投縣,,,,,,,,,,
1998, 雲林縣,,,,,,,,,,
1998, 嘉義縣,,,,,,,,,,
1998, 屏東縣,,,,,,,,,,
1998, 臺東縣,,,,,,,,,,
1998, 花蓮縣,,,,,,,,,,
1998, 澎湖縣,,,,,,,,,,
1998, 基隆市,,,,,,,,,,
1998, 新竹市,,,,,,,,,,
1998, 嘉義市,,,,,,,,,,
1998, 金門縣,,,,,,,,,,
1998, 連江縣,,,,,,,,,,
1999, 總計,,,,,,,,,,
1999, 臺灣地區,,,,,,,,,,
1999, 新北市,,,,,,,,,,
1999, 臺北市,,,,,,,,,,
1999, 桃園市,,,,,,,,,,
1999, 臺中市,,,,,,,,,,
1999, 臺南市,,,,,,,,,,
1999, 高雄市,,,,,,,,,,
1999, 宜蘭縣,,,,,,,,,,
1999, 新竹縣,,,,,,,,,,
1999, 苗栗縣,,,,,,,,,,
1999, 彰化縣,,,,,,,,,,
1999, 南投縣,,,,,,,,,,
1999, 雲林縣,,,,,,,,,,
1999, 嘉義縣,,,,,,,,,,
1999, 屏東縣,,,,,,,,,,
1999, 臺東縣,,,,,,,,,,
1999, 花蓮縣,,,,,,,,,,
1999, 澎湖縣,,,,,,,,,,
1999, 基隆市,,,,,,,,,,
1999, 新竹市,,,,,,,,,,
1999, 嘉義市,,,,,,,,,,
1999, 金門縣,,,,,,,,,,
1999, 連江縣,,,,,,,,,,
2000, 總計,,,,,,,,,,
2000, 臺灣地區,,,,,,,,,,
2000, 新北市,,,,,,,,,,
2000, 臺北市,,,,,,,,,,
2000, 桃園市,,,,,,,,,,
2000, 臺中市,,,,,,,,,,
2000, 臺南市,,,,,,,,,,
2000, 高雄市,,,,,,,,,,
2000, 宜蘭縣,,,,,,,,,,
2000, 新竹縣,,,,,,,,,,
2000, 苗栗縣,,,,,,,,,,
2000, 彰化縣,,,,,,,,,,
2000, 南投縣,,,,,,,,,,
2000, 雲林縣,,,,,,,,,,
2000, 嘉義縣,,,,,,,,,,
2000, 屏東縣,,,,,,,,,,
2000, 臺東縣,,,,,,,,,,
2000, 花蓮縣,,,,,,,,,,
2000, 澎湖縣,,,,,,,,,,
2000, 基隆市,,,,,,,,,,
2000, 新竹市,,,,,,,,,,
2000, 嘉義市,,,,,,,,,,
2000, 金門縣,,,,,,,,,,
2000, 連江縣,,,,,,,,,,
2001, 總計,,,,,,,,,,
2001, 臺灣地區,,,,,,,,,,
2001, 新北市,,,,,,,,,,
2001, 臺北市,,,,,,,,,,
2001, 桃園市,,,,,,,,,,
2001, 臺中市,,,,,,,,,,
2001, 臺南市,,,,,,,,,,
2001, 高雄市,,,,,,,,,,
2001, 宜蘭縣,,,,,,,,,,
2001, 新竹縣,,,,,,,,,,
2001, 苗栗縣,,,,,,,,,,
2001, 彰化縣,,,,,,,,,,
2001, 南投縣,,,,,,,,,,
2001, 雲林縣,,,,,,,,,,
2001, 嘉義縣,,,,,,,,,,
2001, 屏東縣,,,,,,,,,,
2001, 臺東縣,,,,,,,,,,
2001, 花蓮縣,,,,,,,,,,
2001, 澎湖縣,,,,,,,,,,
2001, 基隆市,,,,,,,,,,
2001, 新竹市,,,,,,,,,,
2001, 嘉義市,,,,,,,,,,
2001, 金門縣,,,,,,,,,,
2001, 連江縣,,,,,,,,,,
2002, 總計,,,,,,,,,,
2002, 臺灣地區,,,,,,,,,,
2002, 新北市,,,,,,,,,,
2002, 臺北市,,,,,,,,,,
2002, 桃園市,,,,,,,,,,
2002, 臺中市,,,,,,,,,,
2002, 臺南市,,,,,,,,,,
2002, 高雄市,,,,,,,,,,
2002, 宜蘭縣,,,,,,,,,,
2002, 新竹縣,,,,,,,,,,
2002, 苗栗縣,,,,,,,,,,
2002, 彰化縣,,,,,,,,,,
2002, 南投縣,,,,,,,,,,
2002, 雲林縣,,,,,,,,,,
2002, 嘉義縣,,,,,,,,,,
2002, 屏東縣,,,,,,,,,,
2002, 臺東縣,,,,,,,,,,
2002, 花蓮縣,,,,,,,,,,
2002, 澎湖縣,,,,,,,,,,
2002, 基隆市,,,,,,,,,,
2002, 新竹市,,,,,,,,,,
2002, 嘉義市,,,,,,,,,,
2002, 金門縣,,,,,,,,,,
2002, 連江縣,,,,,,,,,,
2003, 總計,,,,,,,,,,
2003, 臺灣地區,,,,,,,,,,
2003, 新北市,,,,,,,,,,
2003, 臺北市,,,,,,,,,,
2003, 桃園市,,,,,,,,,,
2003, 臺中市,,,,,,,,,,
2003, 臺南市,,,,,,,,,,
2003, 高雄市,,,,,,,,,,
2003, 宜蘭縣,,,,,,,,,,
2003, 新竹縣,,,,,,,,,,
2003, 苗栗縣,,,,,,,,,,
2003, 彰化縣,,,,,,,,,,
2003, 南投縣,,,,,,,,,,
2003, 雲林縣,,,,,,,,,,
2003, 嘉義縣,,,,,,,,,,
2003, 屏東縣,,,,,,,,,,
2003, 臺東縣,,,,,,,,,,
2003, 花蓮縣,,,,,,,,,,
2003, 澎湖縣,,,,,,,,,,
2003, 基隆市,,,,,,,,,,
2003, 新竹市,,,,,,,,,,
2003, 嘉義市,,,,,,,,,,
2003, 金門縣,,,,,,,,,,
2003, 連江縣,,,,,,,,,,
2004, 總計,,,,,,,,,,
2004, 臺灣地區,,,,,,,,,,
2004, 新北市,,,,,,,,,,
2004, 臺北市,,,,,,,,,,
2004, 桃園市,,,,,,,,,,
2004, 臺中市,,,,,,,,,,
2004, 臺南市,,,,,,,,,,
2004, 高雄市,,,,,,,,,,
2004, 宜蘭縣,,,,,,,,,,
2004, 新竹縣,,,,,,,,,,
2004, 苗栗縣,,,,,,,,,,
2004, 彰化縣,,,,,,,,,,
2004, 南投縣,,,,,,,,,,
