"年度","縣市","政府部門醫療保健支出","醫療保健支出占政府支出比率(年度)","嬰兒死亡數","孕產婦死亡數","嬰兒死亡率","孕產婦死亡率","法定傳染病患者數","每十萬人法定傳染病患者","現有藥商家數"
1998, 總計,14898198.000000,2.295488,1784.000000,24.000000,6.600000,8.900000,916.000000,4.194965,39027.000000
1998, 臺灣地區,14898198.000000,2.316966,1781.000000,24.000000,6.700000,9.000000,916.000000,4.206254,38993.000000
1998, 新北市,1049496.000000,1.841820,259.000000,7.000000,6.600000,17.800000,80.000000,2.325528,4470.000000
1998, 臺北市,6818842.000000,3.873021,166.000000,3.000000,5.600000,10.100000,61.000000,2.328941,9109.000000
1998, 桃園市,326522.000000,1.044639,138.000000,1.000000,6.100000,4.400000,267.000000,16.353004,2117.000000
1998, 臺中市,544302.000000,0.990332,228.000000,4.000000,7.500000,13.100000,97.000000,4.097072,4290.000000
1998, 臺南市,588190.000000,1.346256,157.000000,1.000000,7.700000,4.900000,57.000000,3.135172,3160.000000
1998, 高雄市,2020112.000000,2.366963,197.000000,4.000000,6.400000,13.100000,65.000000,2.428692,5575.000000
1998, 宜蘭縣,182301.000000,1.538709,41.000000,-,6.900000,-,76.000000,16.304989,563.000000
1998, 新竹縣,216227.000000,1.741546,40.000000,1.000000,6.100000,15.300000,15.000000,3.530654,607.000000
1998, 苗栗縣,277071.000000,1.552865,41.000000,1.000000,5.800000,14.100000,6.000000,1.071235,677.000000
1998, 彰化縣,367195.000000,1.474592,103.000000,-,5.900000,-,11.000000,0.846411,1687.000000
1998, 南投縣,277254.000000,1.790708,55.000000,1.000000,7.600000,13.900000,56.000000,10.250956,743.000000
1998, 雲林縣,273489.000000,1.570720,59.000000,-,5.800000,-,5.000000,0.666263,1227.000000
1998, 嘉義縣,356340.000000,1.982826,45.000000,-,5.700000,-,10.000000,1.764558,697.000000
1998, 屏東縣,536225.000000,2.283361,68.000000,-,5.900000,-,14.000000,1.534832,1475.000000
1998, 臺東縣,270631.000000,2.556728,46.000000,-,13.000000,-,14.000000,5.567276,254.000000
1998, 花蓮縣,281351.000000,2.386701,55.000000,1.000000,12.100000,22.000000,58.000000,16.231086,384.000000
1998, 澎湖縣,117981.000000,2.092163,5.000000,-,4.900000,-,1.000000,1.107224,76.000000
1998, 基隆市,242375.000000,2.186683,32.000000,-,7.200000,-,10.000000,2.626437,569.000000
1998, 新竹市,77798.000000,0.979347,33.000000,-,7.300000,-,10.000000,2.824687,587.000000
1998, 嘉義市,74496.000000,1.180687,13.000000,-,4.500000,-,3.000000,1.140962,726.000000
1998, 金門縣,-,-,3.000000,-,5.000000,-,-,-,34.000000
1998, 連江縣,-,-,-,-,-,-,-,-,-
1999, 總計,14178440.000000,2.187561,1721.000000,88.000000,6.100000,8.400000,20534.000000,93.291885,40322.000000
1999, 臺灣地區,13789354.000000,2.150188,1717.000000,88.000000,6.100000,8.500000,20432.000000,93.073741,40293.000000
1999, 新北市,937584.000000,1.599770,218.000000,4.000000,5.300000,9.700000,2724.000000,78.157492,5007.000000
1999, 臺北市,6289859.000000,3.876166,168.000000,2.000000,5.300000,6.300000,2940.000000,111.337257,9347.000000
1999, 桃園市,361043.000000,1.093789,139.000000,1.000000,5.700000,4.100000,826.000000,49.427396,2205.000000
1999, 臺中市,569485.000000,1.145677,209.000000,3.000000,6.200000,9.000000,1897.000000,78.920606,4337.000000
1999, 臺南市,600989.000000,1.296582,128.000000,-,5.900000,-,1454.000000,79.586522,3280.000000
1999, 高雄市,1165589.000000,1.296206,185.000000,5.000000,5.700000,15.400000,3259.000000,120.810397,5982.000000
1999, 宜蘭縣,190742.000000,1.478304,45.000000,-,7.600000,-,426.000000,91.550787,581.000000
1999, 新竹縣,226243.000000,1.777814,54.000000,1.000000,7.600000,14.000000,499.000000,115.811253,567.000000
1999, 苗栗縣,286607.000000,1.713461,61.000000,1.000000,7.900000,13.000000,323.000000,57.695983,707.000000
1999, 彰化縣,359306.000000,1.420942,116.000000,1.000000,6.300000,5.400000,1096.000000,84.077869,1660.000000
1999, 南投縣,277866.000000,1.829625,47.000000,3.000000,6.500000,41.600000,549.000000,100.742078,741.000000
1999, 雲林縣,293030.000000,1.485145,68.000000,-,6.300000,-,698.000000,93.363188,1014.000000
1999, 嘉義縣,332380.000000,1.764851,58.000000,1.000000,7.300000,12.600000,534.000000,94.647708,722.000000
1999, 屏東縣,488636.000000,2.161624,74.000000,-,6.400000,-,1184.000000,130.141710,1383.000000
1999, 臺東縣,291425.000000,2.931744,21.000000,1.000000,6.000000,28.800000,492.000000,197.694369,283.000000
1999, 花蓮縣,231450.000000,1.929529,37.000000,-,7.900000,-,672.000000,188.687987,388.000000
1999, 澎湖縣,179557.000000,3.027617,4.000000,-,3.700000,-,89.000000,99.733297,90.000000
1999, 基隆市,539735.000000,4.502259,34.000000,-,7.300000,-,327.000000,85.231827,611.000000
1999, 新竹市,88329.000000,0.874380,28.000000,-,5.700000,-,200.000000,55.694715,616.000000
1999, 嘉義市,79499.000000,1.061867,23.000000,1.000000,7.400000,32.200000,243.000000,92.017745,772.000000
1999, 金門縣,297094.000000,5.447964,4.000000,-,6.200000,-,82.000000,159.547042,29.000000
1999, 連江縣,91992.000000,6.681158,-,-,-,-,20.000000,302.686341,-
2000, 總計,21984676.000000,2.380825,1789.000000,24.000000,5.800000,7.800000,23200.000000,104.577381,43641.000000
2000, 臺灣地區,21413809.000000,2.340689,1786.000000,24.000000,5.800000,7.900000,23104.000000,104.424380,43610.000000
2000, 新北市,1537431.000000,1.601010,249.000000,3.000000,5.500000,6.600000,3528.000000,99.677728,5812.000000
2000, 臺北市,9392272.000000,3.807912,153.000000,-,4.500000,-,2927.000000,110.707960,9731.000000
2000, 桃園市,438356.000000,0.959197,138.000000,5.000000,5.100000,18.600000,1458.000000,85.165815,2476.000000
2000, 臺中市,946841.000000,1.292369,229.000000,2.000000,6.500000,5.700000,2256.000000,92.419359,4724.000000
2000, 臺南市,931200.000000,1.534481,141.000000,2.000000,6.000000,8.500000,1844.000000,100.377778,3579.000000
2000, 高雄市,3033175.000000,2.470351,214.000000,3.000000,6.000000,8.400000,3315.000000,122.074178,6390.000000
2000, 宜蘭縣,278675.000000,1.640032,56.000000,-,8.700000,-,496.000000,106.644879,671.000000
2000, 新竹縣,352579.000000,2.093981,47.000000,1.000000,6.100000,13.000000,346.000000,79.223337,588.000000
2000, 苗栗縣,387356.000000,1.791071,51.000000,-,6.300000,-,335.000000,59.847772,748.000000
2000, 彰化縣,586908.000000,1.781151,108.000000,2.000000,5.500000,10.200000,1256.000000,96.018188,1755.000000
2000, 南投縣,408779.000000,1.443162,52.000000,1.000000,6.800000,13.200000,578.000000,106.487345,794.000000
2000, 雲林縣,400904.000000,1.614913,79.000000,2.000000,6.900000,17.500000,697.000000,93.581604,1006.000000
2000, 嘉義縣,432821.000000,2.005708,42.000000,-,4.700000,-,563.000000,100.091825,819.000000
2000, 屏東縣,659095.000000,2.418722,74.000000,2.000000,5.900000,16.000000,1364.000000,150.170235,1635.000000
2000, 臺東縣,410646.000000,3.278188,28.000000,-,7.900000,-,480.000000,194.681544,305.000000
2000, 花蓮縣,331128.000000,2.242211,45.000000,1.000000,9.500000,21.200000,833.000000,234.874160,426.000000
2000, 澎湖縣,262701.000000,3.200973,7.000000,-,5.600000,-,73.000000,81.788593,94.000000
2000, 基隆市,378477.000000,2.071889,26.000000,-,5.200000,-,332.000000,85.829587,588.000000
2000, 新竹市,129693.000000,0.859432,29.000000,-,5.300000,-,231.000000,63.253272,666.000000
2000, 嘉義市,114772.000000,1.093957,18.000000,-,5.500000,-,192.000000,72.276639,803.000000
2000, 金門縣,482117.000000,7.151967,3.000000,-,3.800000,-,86.000000,162.935877,31.000000
2000, 連江縣,88750.000000,4.892640,-,-,-,-,10.000000,150.455127,-
2001, 總計,15069891.000000,2.136705,1559.000000,18.000000,6.000000,7.000000,23351.000000,104.520275,47130.000000
2001, 臺灣地區,14763319.000000,2.121249,1555.000000,18.000000,6.100000,7.000000,23306.000000,104.614732,47099.000000
2001, 新北市,1082728.000000,1.607400,217.000000,5.000000,5.600000,12.900000,3692.000000,102.867759,6373.000000
2001, 臺北市,5303041.000000,3.541352,149.000000,3.000000,5.600000,11.300000,2765.000000,104.729374,10181.000000
2001, 桃園市,313879.000000,0.964336,115.000000,-,5.000000,8.700000,1640.000000,93.832783,2777.000000
2001, 臺中市,651322.000000,0.890097,159.000000,4.000000,5.300000,13.300000,2059.000000,83.258088,5141.000000
