"年度","縣市","工廠新登記家數","工廠歇業家數","營運中工廠家數","重工業工廠家數","工廠全年固定資產投資金額","工廠從業員工人數","工廠營業收入","營利事業營業家數","營利事業銷售額","公司登記新設家數","公司解散、撤銷及廢止家數","公司登記現有家數","公司登記現有資本額","商業登記新設家數","商業登記歇業家數","商業登記現有家數","商業登記現有資本額"
1998, 總計,292.000000,436.000000,82750.000000,47411.000000,657474530.000000,2216580.000000,8241603115.000000,-,-,-,-,343639.000000,2185708.048000,-,-,-,-
1998, 臺灣地區,292.000000,436.000000,82726.000000,47407.000000,657453474.000000,2215557.000000,8236070833.000000,1034328.000000,22508668949.000000,-,-,343639.000000,2185708.048000,-,-,-,-
1998, 新北市,-,-,19539.000000,11720.000000,63174328.000000,455702.000000,1508483225.000000,152731.000000,2958003648.000000,-,-,111478.000000,607111.889000,-,-,-,-
1998, 臺北市,128.000000,348.000000,1963.000000,1098.000000,13672009.000000,57615.000000,205295090.000000,189033.000000,8382352940.000000,-,-,-,-,-,-,-,-
1998, 桃園市,-,-,8636.000000,5405.000000,126609995.000000,381662.000000,1690417176.000000,64765.000000,1755869460.000000,-,-,35218.000000,243136.978000,-,-,-,-
1998, 臺中市,-,-,16400.000000,10330.000000,35076421.000000,285250.000000,796595254.000000,129822.000000,2089400817.000000,-,-,69658.000000,433836.380000,-,-,-,-
1998, 臺南市,-,-,8944.000000,4845.000000,37851974.000000,208520.000000,633791059.000000,80277.000000,1277855363.000000,-,-,29639.000000,203179.571000,-,-,-,-
1998, 高雄市,164.000000,88.000000,5866.000000,3884.000000,74628476.000000,230749.000000,1328587777.000000,123260.000000,2522476019.000000,-,-,-,-,-,-,-,-
1998, 宜蘭縣,-,-,1017.000000,347.000000,5791564.000000,29181.000000,75338264.000000,23132.000000,172267785.000000,-,-,4913.000000,38255.317000,-,-,-,-
1998, 新竹縣,-,-,1471.000000,932.000000,80653601.000000,101106.000000,472634615.000000,14918.000000,399452086.000000,-,-,5214.000000,37248.652000,-,-,-,-
1998, 苗栗縣,-,-,2048.000000,862.000000,19726759.000000,57385.000000,210978216.000000,22727.000000,317500842.000000,-,-,6069.000000,40334.448000,-,-,-,-
1998, 彰化縣,-,-,8271.000000,4268.000000,30395737.000000,156721.000000,392067323.000000,56528.000000,746752071.000000,-,-,22028.000000,134137.024000,-,-,-,-
1998, 南投縣,-,-,1031.000000,388.000000,5898398.000000,30646.000000,100907976.000000,20283.000000,198833652.000000,-,-,3999.000000,28213.255000,-,-,-,-
1998, 雲林縣,-,-,1532.000000,440.000000,10316472.000000,39176.000000,115895185.000000,24477.000000,232735784.000000,-,-,5243.000000,37066.371000,-,-,-,-
1998, 嘉義縣,-,-,1731.000000,716.000000,15799304.000000,41316.000000,136399167.000000,17207.000000,178097013.000000,-,-,3256.000000,49764.125000,-,-,-,-
1998, 屏東縣,-,-,924.000000,369.000000,3020837.000000,27582.000000,93089888.000000,33396.000000,216178414.000000,-,-,5418.000000,39072.232000,-,-,-,-
1998, 臺東縣,-,-,257.000000,124.000000,149142.000000,2143.000000,5538332.000000,10686.000000,49724104.000000,-,-,1191.000000,9250.260000,-,-,-,-
1998, 花蓮縣,-,-,474.000000,98.000000,1282855.000000,11004.000000,34590005.000000,15886.000000,114587409.000000,-,-,3629.000000,28515.137000,-,-,-,-
1998, 澎湖縣,-,-,90.000000,45.000000,18534.000000,369.000000,457638.000000,4808.000000,16825546.000000,-,-,477.000000,3385.806000,-,-,-,-
1998, 基隆市,-,-,312.000000,206.000000,2597122.000000,14626.000000,45867497.000000,16330.000000,150918129.000000,-,-,4966.000000,29078.821000,-,-,-,-
1998, 新竹市,-,-,1674.000000,1027.000000,129456928.000000,74808.000000,365452106.000000,19285.000000,566536186.000000,-,-,8254.000000,56325.295000,-,-,-,-
1998, 嘉義市,-,-,546.000000,303.000000,1333018.000000,9996.000000,23685040.000000,14777.000000,162301681.000000,-,-,3902.000000,27160.448000,-,-,-,-
1998, 金門縣,-,-,24.000000,4.000000,21056.000000,1023.000000,5532282.000000,-,-,-,-,-,-,-,-,-,-
1998, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 總計,335.000000,303.000000,82937.000000,47973.000000,779993373.000000,2288943.000000,8959799194.000000,-,-,-,-,592874.000000,12284741.000000,-,-,-,-
1999, 臺灣地區,335.000000,303.000000,82914.000000,47969.000000,779789772.000000,2287974.000000,8954403669.000000,1046600.000000,23621876118.000000,-,-,592513.000000,12278644.000000,-,-,-,-
1999, 新北市,-,-,19585.000000,11823.000000,83168250.000000,466520.000000,1651970604.000000,155383.000000,3165844575.000000,-,-,114186.000000,1055455.000000,-,-,-,-
1999, 臺北市,241.000000,239.000000,1979.000000,1092.000000,14244982.000000,59049.000000,247403886.000000,190033.000000,8753673057.000000,-,-,182919.000000,6080342.000000,-,-,-,-
1999, 桃園市,-,-,8827.000000,5558.000000,166665656.000000,403585.000000,1833028524.000000,67784.000000,1830300593.000000,-,-,37666.000000,604134.000000,-,-,-,-
1999, 臺中市,-,-,16440.000000,10422.000000,39484985.000000,292384.000000,802855085.000000,129608.000000,2121591640.000000,-,-,73049.000000,963683.000000,-,-,-,-
1999, 臺南市,-,-,8884.000000,4862.000000,44341932.000000,216082.000000,684870089.000000,80767.000000,1295213564.000000,-,-,30843.000000,591114.000000,-,-,-,-
1999, 高雄市,94.000000,64.000000,5937.000000,3951.000000,105747882.000000,238556.000000,1371027429.000000,125436.000000,2534591947.000000,-,-,71514.000000,1178379.000000,-,-,-,-
1999, 宜蘭縣,-,-,1003.000000,358.000000,9578368.000000,27566.000000,81624093.000000,23320.000000,169606573.000000,-,-,5003.000000,56490.000000,-,-,-,-
1999, 新竹縣,-,-,1474.000000,955.000000,92644326.000000,110263.000000,575455082.000000,15407.000000,499432437.000000,-,-,5693.000000,168949.000000,-,-,-,-
1999, 苗栗縣,-,-,1989.000000,841.000000,17418035.000000,57460.000000,213038144.000000,22695.000000,325224467.000000,-,-,6316.000000,136738.000000,-,-,-,-
1999, 彰化縣,-,-,8358.000000,4374.000000,36815348.000000,162072.000000,414480684.000000,57566.000000,770758475.000000,-,-,22741.000000,260536.000000,-,-,-,-
1999, 南投縣,-,-,1021.000000,393.000000,4995856.000000,30152.000000,110737222.000000,19104.000000,208516801.000000,-,-,4237.000000,46108.000000,-,-,-,-
