"年度","縣市","工廠新登記家數","工廠歇業家數","營運中工廠家數","重工業工廠家數","工廠全年固定資產投資金額","工廠從業員工人數","工廠營業收入","營利事業營業家數","營利事業銷售額","公司登記新設家數","公司解散、撤銷及廢止家數","公司登記現有家數","公司登記現有資本額","商業登記新設家數","商業登記歇業家數","商業登記現有家數","商業登記現有資本額"
1999, 雲林縣,-,-,1524.000000,453.000000,34997223.000000,41022.000000,146520528.000000,25030.000000,311046558.000000,-,-,5592.000000,166842.000000,-,-,-,-
1999, 嘉義縣,-,-,1693.000000,719.000000,19879832.000000,42130.000000,145103175.000000,17372.000000,193957478.000000,-,-,3501.000000,38069.000000,-,-,-,-
1999, 屏東縣,-,-,891.000000,358.000000,3926638.000000,26621.000000,92563240.000000,34225.000000,214041938.000000,-,-,5564.000000,66503.000000,-,-,-,-
1999, 臺東縣,-,-,261.000000,122.000000,351035.000000,2426.000000,5928443.000000,10801.000000,48145755.000000,-,-,1244.000000,19826.000000,-,-,-,-
1999, 花蓮縣,-,-,462.000000,102.000000,1069531.000000,9576.000000,36245249.000000,16234.000000,126474697.000000,-,-,3706.000000,50814.000000,-,-,-,-
1999, 澎湖縣,-,-,93.000000,46.000000,-,351.000000,481591.000000,4884.000000,16719616.000000,-,-,474.000000,3915.000000,-,-,-,-
1999, 基隆市,-,-,302.000000,196.000000,1806999.000000,13466.000000,46882510.000000,16545.000000,165137766.000000,-,-,5126.000000,64366.000000,-,-,-,-
1999, 新竹市,-,-,1631.000000,1030.000000,101885883.000000,79395.000000,474213913.000000,19580.000000,708662284.000000,-,-,8951.000000,680184.000000,-,-,-,-
1999, 嘉義市,-,-,560.000000,314.000000,767011.000000,9298.000000,19974178.000000,14826.000000,162935897.000000,-,-,4188.000000,46197.000000,-,-,-,-
1999, 金門縣,-,-,23.000000,4.000000,203601.000000,969.000000,5395525.000000,-,-,-,-,333.000000,5797.000000,-,-,-,-
1999, 連江縣,-,-,-,-,-,-,-,-,-,-,-,28.000000,300.000000,-,-,-,-
2000, 總計,5711.000000,5007.000000,82356.000000,46247.000000,967102708.000000,2307948.000000,10209148291.000000,-,-,-,-,587145.000000,13539350.000000,-,-,-,-
2000, 臺灣地區,5709.000000,5007.000000,82330.000000,46240.000000,966928531.000000,2306918.000000,10202534651.000000,1057188.000000,25843598662.000000,-,-,586745.000000,13532729.000000,-,-,-,-
2000, 新北市,2350.000000,1429.000000,19899.000000,11791.000000,94384994.000000,477725.000000,1881614001.000000,158554.000000,3461763914.000000,-,-,111554.000000,1145832.000000,-,-,-,-
2000, 臺北市,144.000000,207.000000,1990.000000,1033.000000,6871869.000000,52420.000000,243333247.000000,193039.000000,9598677230.000000,-,-,184128.000000,6832220.000000,-,-,-,-
2000, 桃園市,883.000000,897.000000,9089.000000,5529.000000,172708601.000000,419931.000000,2223106207.000000,69932.000000,2056208749.000000,-,-,37665.000000,688516.000000,-,-,-,-
2000, 臺中市,759.000000,540.000000,16040.000000,9779.000000,48804942.000000,280970.000000,811826428.000000,130103.000000,2164505436.000000,-,-,71146.000000,1001816.000000,-,-,-,-
2000, 臺南市,378.000000,508.000000,8720.000000,4588.000000,71477199.000000,220668.000000,739517920.000000,80799.000000,1351199819.000000,-,-,30359.000000,636935.000000,-,-,-,-
2000, 高雄市,323.000000,289.000000,5897.000000,3839.000000,99932067.000000,238220.000000,1519236925.000000,125881.000000,2660983263.000000,-,-,70772.000000,1237869.000000,-,-,-,-
2000, 宜蘭縣,25.000000,25.000000,969.000000,334.000000,6959527.000000,25793.000000,81604571.000000,23345.000000,162437125.000000,-,-,4831.000000,56703.000000,-,-,-,-
2000, 新竹縣,122.000000,110.000000,1487.000000,941.000000,158559347.000000,118072.000000,765544666.000000,15651.000000,695403251.000000,-,-,5784.000000,230471.000000,-,-,-,-
2000, 苗栗縣,76.000000,71.000000,1893.000000,804.000000,17909916.000000,58087.000000,229530528.000000,22820.000000,338346800.000000,-,-,6231.000000,143949.000000,-,-,-,-
2000, 彰化縣,312.000000,458.000000,8058.000000,3993.000000,26343462.000000,152787.000000,431216811.000000,58131.000000,801125251.000000,-,-,22471.000000,279536.000000,-,-,-,-
2000, 南投縣,41.000000,22.000000,990.000000,348.000000,3906267.000000,29373.000000,119222454.000000,19421.000000,220703992.000000,-,-,4165.000000,48252.000000,-,-,-,-
2000, 雲林縣,76.000000,38.000000,1489.000000,439.000000,69379352.000000,39204.000000,170344967.000000,25275.000000,373381008.000000,-,-,5670.000000,173027.000000,-,-,-,-
2000, 嘉義縣,62.000000,149.000000,1671.000000,714.000000,15137617.000000,41311.000000,148783025.000000,17333.000000,212107701.000000,-,-,3398.000000,34307.000000,-,-,-,-
2000, 屏東縣,25.000000,36.000000,871.000000,346.000000,3170133.000000,26447.000000,99167937.000000,34004.000000,222402844.000000,-,-,5398.000000,67620.000000,-,-,-,-
2000, 臺東縣,5.000000,7.000000,250.000000,125.000000,345676.000000,2360.000000,6006376.000000,10738.000000,46246210.000000,-,-,1209.000000,20278.000000,-,-,-,-
2000, 花蓮縣,8.000000,47.000000,437.000000,104.000000,1211690.000000,8648.000000,33269766.000000,16314.000000,121547454.000000,-,-,3618.000000,56677.000000,-,-,-,-
2000, 澎湖縣,3.000000,1.000000,96.000000,50.000000,9820.000000,361.000000,492672.000000,4902.000000,17379447.000000,-,-,468.000000,3792.000000,-,-,-,-
2000, 基隆市,12.000000,20.000000,299.000000,194.000000,4548490.000000,13688.000000,40196428.000000,16353.000000,166551184.000000,-,-,4957.000000,68089.000000,-,-,-,-
2000, 新竹市,93.000000,115.000000,1635.000000,978.000000,164880992.000000,92638.000000,641168161.000000,19720.000000,1002869872.000000,-,-,8859.000000,755586.000000,-,-,-,-
2000, 嘉義市,12.000000,38.000000,550.000000,311.000000,386570.000000,8215.000000,17351561.000000,14873.000000,169758112.000000,-,-,4062.000000,51254.000000,-,-,-,-
2000, 金門縣,2.000000,-,25.000000,7.000000,164811.000000,964.000000,6536013.000000,-,-,-,-,363.000000,6230.000000,-,-,-,-
2000, 連江縣,-,-,1.000000,-,9366.000000,66.000000,77627.000000,-,-,-,-,37.000000,391.000000,-,-,-,-
2001, 總計,3792.000000,5194.000000,-,-,-,-,-,-,-,-,-,582537.000000,14691809.000000,-,-,-,-
2001, 臺灣地區,3791.000000,5193.000000,-,-,-,-,-,1058422.000000,23548234024.000000,-,-,582093.000000,14684702.000000,-,-,-,-
2001, 新北市,1296.000000,1746.000000,-,-,-,-,-,159187.000000,3277433848.000000,-,-,112331.000000,1241608.000000,-,-,-,-
2001, 臺北市,61.000000,80.000000,-,-,-,-,-,191616.000000,8749928218.000000,-,-,177580.000000,7483609.000000,-,-,-,-
2001, 桃園市,686.000000,731.000000,-,-,-,-,-,71366.000000,1961501755.000000,-,-,38662.000000,758593.000000,-,-,-,-
2001, 臺中市,442.000000,1220.000000,-,-,-,-,-,129386.000000,1955768593.000000,-,-,71517.000000,1028882.000000,-,-,-,-
2001, 臺南市,311.000000,490.000000,-,-,-,-,-,81816.000000,1233557458.000000,-,-,30725.000000,651356.000000,-,-,-,-
2001, 高雄市,294.000000,217.000000,-,-,-,-,-,125910.000000,2334737757.000000,-,-,69499.000000,1271637.000000,-,-,-,-
2001, 宜蘭縣,36.000000,19.000000,-,-,-,-,-,23207.000000,155745812.000000,-,-,4854.000000,54694.000000,-,-,-,-
2001, 新竹縣,124.000000,38.000000,-,-,-,-,-,16194.000000,584327123.000000,-,-,6066.000000,523679.000000,-,-,-,-
2001, 苗栗縣,72.000000,99.000000,-,-,-,-,-,23030.000000,283787267.000000,-,-,6240.000000,171691.000000,-,-,-,-
2001, 彰化縣,202.000000,348.000000,-,-,-,-,-,57984.000000,705241167.000000,-,-,22428.000000,286045.000000,-,-,-,-
2001, 南投縣,34.000000,31.000000,-,-,-,-,-,19557.000000,199103335.000000,-,-,4194.000000,53207.000000,-,-,-,-
2001, 雲林縣,52.000000,40.000000,-,-,-,-,-,24849.000000,460795859.000000,-,-,5775.000000,189614.000000,-,-,-,-
2001, 嘉義縣,52.000000,18.000000,-,-,-,-,-,17346.000000,183660487.000000,-,-,3502.000000,41019.000000,-,-,-,-
2001, 屏東縣,37.000000,40.000000,-,-,-,-,-,33958.000000,206424585.000000,-,-,5435.000000,67677.000000,-,-,-,-
2001, 臺東縣,3.000000,4.000000,-,-,-,-,-,10827.000000,45132226.000000,-,-,1180.000000,22095.000000,-,-,-,-
2001, 花蓮縣,6.000000,2.000000,-,-,-,-,-,16370.000000,117897291.000000,-,-,3633.000000,57974.000000,-,-,-,-
2001, 澎湖縣,6.000000,-,-,-,-,-,-,4922.000000,17576439.000000,-,-,462.000000,4005.000000,-,-,-,-
2001, 基隆市,10.000000,8.000000,-,-,-,-,-,16517.000000,162693574.000000,-,-,5033.000000,68369.000000,-,-,-,-
2001, 新竹市,58.000000,42.000000,-,-,-,-,-,19582.000000,758327177.000000,-,-,8887.000000,656573.000000,-,-,-,-
2001, 嘉義市,9.000000,20.000000,-,-,-,-,-,14798.000000,154594053.000000,-,-,4090.000000,52375.000000,-,-,-,-
2001, 金門縣,1.000000,1.000000,-,-,-,-,-,-,-,-,-,401.000000,6685.000000,-,-,-,-
2001, 連江縣,-,-,-,-,-,-,-,-,-,-,-,43.000000,422.000000,-,-,-,-
2002, 總計,4317.000000,3292.000000,74128.000000,42150.000000,693271233.000000,2130513.000000,9954261944.000000,-,-,-,-,588493.000000,15538342.000000,-,-,-,-
2002, 臺灣地區,4305.000000,3292.000000,74087.000000,42129.000000,693026385.000000,2129009.000000,9947195776.000000,1070245.000000,24646797201.000000,-,-,588005.000000,15530630.000000,-,-,-,-
2002, 新北市,1585.000000,1194.000000,18349.000000,10931.000000,64550427.000000,424131.000000,1646619885.000000,162856.000000,3578708500.000000,-,-,115187.000000,1303203.000000,-,-,-,-
2002, 臺北市,77.000000,154.000000,1588.000000,841.000000,10549018.000000,50017.000000,281713639.000000,191867.000000,8886939917.000000,-,-,175471.000000,8164313.000000,-,-,-,-
2002, 桃園市,678.000000,475.000000,8482.000000,5186.000000,110303458.000000,407398.000000,2363211458.000000,73445.000000,2129521218.000000,-,-,39729.000000,816179.000000,-,-,-,-
2002, 臺中市,645.000000,495.000000,13723.000000,8565.000000,36735698.000000,258494.000000,781430926.000000,130551.000000,2029414011.000000,-,-,73199.000000,1033182.000000,-,-,-,-
2002, 臺南市,318.000000,244.000000,7956.000000,4189.000000,81548628.000000,205643.000000,750293952.000000,82910.000000,1321971590.000000,-,-,30286.000000,631083.000000,-,-,-,-
2002, 高雄市,277.000000,173.000000,5582.000000,3667.000000,63516012.000000,214733.000000,1400484853.000000,127226.000000,2462525697.000000,-,-,70372.000000,1277887.000000,-,-,-,-
2002, 宜蘭縣,21.000000,38.000000,814.000000,295.000000,3922428.000000,22330.000000,77625002.000000,23297.000000,166092610.000000,-,-,4959.000000,55648.000000,-,-,-,-
2002, 新竹縣,107.000000,69.000000,1337.000000,875.000000,94179726.000000,111840.000000,678981119.000000,16701.000000,671351333.000000,-,-,6397.000000,564894.000000,-,-,-,-
2002, 苗栗縣,57.000000,64.000000,1646.000000,726.000000,35603643.000000,52912.000000,229706418.000000,22988.000000,327296827.000000,-,-,6234.000000,154754.000000,-,-,-,-
2002, 彰化縣,249.000000,128.000000,7316.000000,3655.000000,17923334.000000,142698.000000,418552761.000000,58509.000000,736953365.000000,-,-,22811.000000,288810.000000,-,-,-,-
2002, 南投縣,35.000000,25.000000,628.000000,223.000000,2686554.000000,21235.000000,82996153.000000,20126.000000,195891367.000000,-,-,4416.000000,53368.000000,-,-,-,-
2002, 雲林縣,58.000000,30.000000,1291.000000,373.000000,48910947.000000,40559.000000,360315830.000000,25149.000000,514486624.000000,-,-,6000.000000,196234.000000,-,-,-,-
2002, 嘉義縣,77.000000,85.000000,1638.000000,697.000000,10856851.000000,38984.000000,157293415.000000,17656.000000,192569808.000000,-,-,3647.000000,43909.000000,-,-,-,-
2002, 屏東縣,27.000000,22.000000,805.000000,312.000000,3731213.000000,25186.000000,102478208.000000,34052.000000,216934760.000000,-,-,5475.000000,65799.000000,-,-,-,-
2002, 臺東縣,6.000000,4.000000,199.000000,90.000000,104122.000000,1755.000000,5303191.000000,10813.000000,44930254.000000,-,-,1206.000000,19334.000000,-,-,-,-
2002, 花蓮縣,8.000000,8.000000,400.000000,92.000000,718332.000000,7516.000000,31906169.000000,16520.000000,122487273.000000,-,-,3573.000000,68089.000000,-,-,-,-
2002, 澎湖縣,1.000000,1.000000,94.000000,51.000000,20.000000,364.000000,520199.000000,4072.000000,18352668.000000,-,-,469.000000,4109.000000,-,-,-,-
2002, 基隆市,9.000000,8.000000,247.000000,149.000000,1115653.000000,9200.000000,32436079.000000,16701.000000,156836082.000000,-,-,5179.000000,67246.000000,-,-,-,-
2002, 新竹市,57.000000,56.000000,1504.000000,940.000000,105648054.000000,87524.000000,517931681.000000,19878.000000,718253080.000000,-,-,9218.000000,672883.000000,-,-,-,-
2002, 嘉義市,13.000000,19.000000,488.000000,272.000000,422267.000000,6490.000000,27394838.000000,14928.000000,155280217.000000,-,-,4177.000000,49706.000000,-,-,-,-
2002, 金門縣,12.000000,-,39.000000,21.000000,235376.000000,1407.000000,6831208.000000,10904.000000,14137031.000000,-,-,434.000000,7258.000000,-,-,-,-
2002, 連江縣,1.000000,-,2.000000,-,9472.000000,97.000000,234960.000000,-,-,-,-,54.000000,454.000000,-,-,-,-
2003, 總計,5053.000000,6740.000000,76642.000000,43953.000000,618203652.000000,2219639.000000,10990893425.000000,1108629.000000,27365282945.000000,40837.000000,33330.000000,596000.000000,16155445.000000,-,-,-,-
2003, 臺灣地區,5013.000000,6729.000000,76569.000000,43925.000000,617950690.000000,2217983.000000,10981156235.000000,1097440.000000,27342373219.000000,40803.000000,33315.000000,595481.000000,16146924.000000,-,-,-,-
2003, 新北市,1725.000000,1529.000000,19006.000000,11303.000000,62165395.000000,443049.000000,1781424587.000000,166902.000000,3962349212.000000,7886.000000,6020.000000,117954.000000,1373073.000000,-,-,-,-
2003, 臺北市,71.000000,402.000000,1519.000000,821.000000,6804508.000000,41136.000000,334119494.000000,193403.000000,10015849090.000000,12026.000000,11770.000000,174584.000000,8454978.000000,-,-,-,-
2003, 桃園市,686.000000,486.000000,9049.000000,5592.000000,147936597.000000,430768.000000,2395371837.000000,75711.000000,2336361333.000000,3107.000000,2052.000000,40967.000000,922938.000000,-,-,-,-
2003, 臺中市,1141.000000,866.000000,14520.000000,9109.000000,34652013.000000,273363.000000,867719014.000000,136011.000000,2164701674.000000,5683.000000,4460.000000,74408.000000,1030720.000000,-,-,-,-
2003, 臺南市,359.000000,1082.000000,8102.000000,4326.000000,78288468.000000,219822.000000,913478687.000000,85878.000000,1464418309.000000,2093.000000,1362.000000,31016.000000,635340.000000,-,-,-,-
2003, 高雄市,283.000000,179.000000,5720.000000,3769.000000,64228015.000000,229151.000000,1682971607.000000,130535.000000,2728328712.000000,4247.000000,3379.000000,71180.000000,1292449.000000,-,-,-,-
2003, 宜蘭縣,33.000000,40.000000,825.000000,305.000000,3057862.000000,23708.000000,82893799.000000,23389.000000,174262707.000000,316.000000,297.000000,4978.000000,56587.000000,-,-,-,-
2003, 新竹縣,83.000000,54.000000,1433.000000,963.000000,30719765.000000,103648.000000,621281438.000000,17353.000000,659033052.000000,591.000000,250.000000,6823.000000,404384.000000,-,-,-,-
2003, 苗栗縣,89.000000,70.000000,1616.000000,734.000000,38355485.000000,61065.000000,254590713.000000,23075.000000,367788637.000000,383.000000,348.000000,6305.000000,177036.000000,-,-,-,-
2003, 彰化縣,250.000000,1173.000000,7382.000000,3726.000000,18270649.000000,145699.000000,448731830.000000,59413.000000,784485775.000000,1380.000000,1258.000000,22949.000000,300499.000000,-,-,-,-
2003, 南投縣,46.000000,36.000000,716.000000,264.000000,4288889.000000,24661.000000,107490650.000000,21003.000000,192994484.000000,330.000000,270.000000,4491.000000,54946.000000,-,-,-,-
2003, 雲林縣,58.000000,554.000000,1352.000000,412.000000,23702432.000000,41623.000000,433350942.000000,25209.000000,635054815.000000,392.000000,258.000000,6159.000000,209697.000000,-,-,-,-
2003, 嘉義縣,64.000000,24.000000,1638.000000,696.000000,5015004.000000,37000.000000,152012787.000000,17898.000000,198794524.000000,233.000000,190.000000,3699.000000,46986.000000,-,-,-,-
2003, 屏東縣,37.000000,104.000000,797.000000,311.000000,2629698.000000,24221.000000,100130835.000000,35670.000000,218084150.000000,388.000000,260.000000,5608.000000,66705.000000,-,-,-,-
2003, 臺東縣,5.000000,5.000000,193.000000,85.000000,199906.000000,1750.000000,5419463.000000,10845.000000,45344042.000000,70.000000,56.000000,1214.000000,19090.000000,-,-,-,-
2003, 花蓮縣,4.000000,3.000000,377.000000,88.000000,1251247.000000,6659.000000,31199856.000000,17330.000000,130947798.000000,189.000000,116.000000,3647.000000,68526.000000,-,-,-,-
2003, 澎湖縣,3.000000,3.000000,95.000000,51.000000,-,371.000000,423666.000000,5331.000000,17956408.000000,27.000000,12.000000,481.000000,4127.000000,-,-,-,-
2003, 基隆市,16.000000,11.000000,259.000000,160.000000,656263.000000,9836.000000,39523393.000000,16825.000000,154549122.000000,363.000000,255.000000,5274.000000,67795.000000,-,-,-,-
2003, 新竹市,49.000000,91.000000,1490.000000,947.000000,95386783.000000,94111.000000,713278597.000000,20314.000000,930523036.000000,774.000000,474.000000,9486.000000,913972.000000,-,-,-,-
2003, 嘉義市,11.000000,17.000000,480.000000,263.000000,341711.000000,6342.000000,15743040.000000,15345.000000,160546339.000000,325.000000,228.000000,4258.000000,47076.000000,-,-,-,-
2003, 金門縣,39.000000,11.000000,71.000000,28.000000,250980.000000,1566.000000,9133874.000000,10309.000000,20968954.000000,30.000000,14.000000,458.000000,8024.000000,-,-,-,-
2003, 連江縣,1.000000,-,2.000000,-,1982.000000,90.000000,603316.000000,880.000000,1940772.000000,4.000000,1.000000,61.000000,497.000000,-,-,-,-
2004, 總計,4644.000000,4348.000000,77522.000000,44528.000000,991044086.000000,2271165.000000,12556823348.000000,1141167.000000,32002921346.000000,45431.000000,36878.000000,602021.000000,16675811.000000,-,-,-,-
2004, 臺灣地區,4642.000000,4347.000000,77438.000000,44495.000000,990867899.000000,2269425.000000,12546252059.000000,1130127.000000,31971558281.000000,45397.000000,36868.000000,601480.000000,16667365.000000,-,-,-,-
2004, 新北市,1568.000000,1356.000000,19067.000000,11331.000000,62737876.000000,434387.000000,1760170980.000000,174600.000000,4387357948.000000,8887.000000,5375.000000,121797.000000,1442777.000000,-,-,-,-
2004, 臺北市,63.000000,149.000000,1459.000000,789.000000,4938929.000000,42121.000000,307024249.000000,195325.000000,11708508239.000000,12818.000000,17878.000000,167566.000000,8633826.000000,-,-,-,-
2004, 桃園市,747.000000,411.000000,9295.000000,5765.000000,251672518.000000,438384.000000,2627201041.000000,79516.000000,2706326350.000000,3789.000000,2079.000000,42723.000000,986961.000000,-,-,-,-
2004, 臺中市,769.000000,498.000000,14729.000000,9262.000000,59097251.000000,280063.000000,1031560722.000000,140103.000000,2493464706.000000,6494.000000,3706.000000,76949.000000,1079377.000000,-,-,-,-
2004, 臺南市,414.000000,253.000000,8164.000000,4404.000000,156384892.000000,233590.000000,1137220951.000000,89212.000000,1791407748.000000,2216.000000,1532.000000,31611.000000,651569.000000,-,-,-,-
2004, 高雄市,301.000000,188.000000,5830.000000,3856.000000,79434726.000000,236541.000000,2014644087.000000,136330.000000,3293488015.000000,4755.000000,2905.000000,72716.000000,1317732.000000,-,-,-,-
2004, 宜蘭縣,26.000000,17.000000,841.000000,305.000000,4246264.000000,23249.000000,99815952.000000,23995.000000,189081468.000000,319.000000,199.000000,5087.000000,57596.000000,-,-,-,-
2004, 新竹縣,97.000000,253.000000,1446.000000,974.000000,51150554.000000,110803.000000,699981253.000000,18214.000000,724233242.000000,751.000000,266.000000,7368.000000,400994.000000,-,-,-,-
2004, 苗栗縣,62.000000,412.000000,1631.000000,741.000000,51540797.000000,62134.000000,336101402.000000,23310.000000,496877972.000000,384.000000,240.000000,6433.000000,189250.000000,-,-,-,-
2004, 彰化縣,342.000000,363.000000,7555.000000,3816.000000,20512121.000000,147247.000000,524096071.000000,60610.000000,910134291.000000,1549.000000,767.000000,23634.000000,315445.000000,-,-,-,-
2004, 南投縣,47.000000,63.000000,747.000000,276.000000,3519357.000000,26283.000000,110887323.000000,21361.000000,204923248.000000,336.000000,189.000000,4613.000000,57595.000000,-,-,-,-
2004, 雲林縣,45.000000,21.000000,1345.000000,401.000000,22756829.000000,43338.000000,609930417.000000,25565.000000,832799192.000000,459.000000,229.000000,6357.000000,218367.000000,-,-,-,-
2004, 嘉義縣,62.000000,88.000000,1675.000000,706.000000,6725938.000000,39562.000000,197690939.000000,18115.000000,204291062.000000,268.000000,138.000000,3822.000000,49054.000000,-,-,-,-
2004, 屏東縣,34.000000,18.000000,786.000000,302.000000,3122501.000000,24393.000000,119329790.000000,36103.000000,248382563.000000,442.000000,329.000000,5703.000000,67733.000000,-,-,-,-
2004, 臺東縣,5.000000,4.000000,193.000000,84.000000,185259.000000,1770.000000,6242230.000000,11130.000000,49484233.000000,85.000000,62.000000,1236.000000,19781.000000,-,-,-,-
2004, 花蓮縣,7.000000,27.000000,385.000000,89.000000,932761.000000,6759.000000,36527444.000000,17775.000000,138701631.000000,189.000000,94.000000,3741.000000,69537.000000,-,-,-,-
