"年度","縣市","都市計畫區計畫人口","都市計畫區現況人口","都市計畫區計畫人口密度","都市計畫區現況人口密度","都市計畫區現況人口密度與該縣市人口密度比","都市計畫區面積","都市計畫公共設施用地計畫面積-道路","都市計畫公共設施用地面積","都市計畫公共設施用地已闢建面積-公園","都市計畫公共設施用地已闢建面積-綠地","都市計畫公共設施用地已闢建面積-廣場","都市計畫公共設施用地已闢建面積-兒童遊樂場","都市計畫公共設施用地已闢建面積-體育場","都市計畫公共設施用地計畫面積-道路占都市計畫土地公共設施用地面積之比率","每萬人公園、綠地、兒童遊樂場、體育場所及廣場面積數"
1998, 總計,24201640.000000,16840326.000000,5277.310000,3672.130000,6.059997,4585.982100,30385.000000,83826.000000,-,-,-,-,-,36.247704,-
1998, 臺灣地區,24124655.000000,16784195.000000,5461.780000,3799.910000,6.255826,4416.992800,29914.000000,81534.000000,-,-,-,-,-,36.688989,-
1998, 新北市,3561046.000000,3193431.000000,3014.180000,2703.020000,1.603680,1181.430400,2827.000000,11900.000000,-,-,-,-,-,23.756303,-
1998, 臺北市,3500000.000000,2639939.000000,12877.130000,9712.810000,1.000000,271.799700,2441.000000,6942.000000,-,-,-,-,-,35.162777,-
1998, 桃園市,1557870.000000,1215628.000000,4903.410000,3826.200000,2.829596,317.711300,2000.000000,5031.000000,-,-,-,-,-,39.753528,-
1998, 臺中市,2889100.000000,1900890.000000,5878.560000,3867.810000,3.591401,491.463600,4378.000000,10215.000000,-,-,-,-,-,42.858541,-
1998, 臺南市,2066100.000000,1419311.000000,4276.180000,2937.530000,3.533309,483.164600,3983.000000,8860.000000,-,-,-,-,-,44.954853,-
1998, 高雄市,4116830.000000,2369696.000000,10085.110000,5805.110000,6.359623,408.208600,4784.000000,12670.000000,-,-,-,-,-,37.758485,-
1998, 宜蘭縣,469835.000000,294632.000000,4634.030000,2905.990000,13.378409,101.387900,658.000000,1645.000000,-,-,-,-,-,40.000000,-
1998, 新竹縣,303700.000000,238513.000000,6285.360000,4936.260000,16.465642,48.318600,473.000000,1112.000000,-,-,-,-,-,42.535971,-
1998, 苗栗縣,471500.000000,293080.000000,6746.940000,4193.840000,13.635786,69.883500,676.000000,1334.000000,-,-,-,-,-,50.674663,-
1998, 彰化縣,911150.000000,667794.000000,7127.240000,5223.650000,4.312263,127.840500,1147.000000,2622.000000,-,-,-,-,-,43.745233,-
1998, 南投縣,441055.000000,288599.000000,3389.790000,2218.070000,16.685842,130.112600,818.000000,2849.000000,-,-,-,-,-,28.711829,-
1998, 雲林縣,468100.000000,273795.000000,4501.410000,2632.910000,4.537613,103.989600,866.000000,1668.000000,-,-,-,-,-,51.918465,-
1998, 嘉義縣,523600.000000,215185.000000,3203.990000,1316.750000,4.426164,163.421300,995.000000,2616.000000,-,-,-,-,-,38.035168,-
1998, 屏東縣,664500.000000,454483.000000,3972.060000,2716.680000,8.281261,167.293500,1140.000000,3466.000000,-,-,-,-,-,32.890941,-
1998, 臺東縣,336569.000000,132210.000000,3830.420000,1504.650000,21.162259,87.867500,571.000000,1523.000000,-,-,-,-,-,37.491793,-
1998, 花蓮縣,439600.000000,235529.000000,5257.010000,2816.600000,36.558621,83.621700,716.000000,2230.000000,-,-,-,-,-,32.107623,-
1998, 澎湖縣,74900.000000,33866.000000,8256.810000,3733.310000,5.294070,9.071300,112.000000,298.000000,-,-,-,-,-,37.583893,-
1998, 基隆市,511900.000000,379546.000000,7165.450000,5312.790000,1.845819,71.440000,320.000000,1726.000000,-,-,-,-,-,18.539977,-
1998, 新竹市,463500.000000,280236.000000,9997.840000,6044.780000,1.766322,46.360000,454.000000,1354.000000,-,-,-,-,-,33.530281,-
1998, 嘉義市,353800.000000,257832.000000,6725.390000,4901.130000,1.118394,52.606600,553.000000,1472.000000,-,-,-,-,-,37.567935,-
1998, 金門縣,70915.000000,51060.000000,475.620000,342.450000,1.026526,149.101000,427.000000,2036.000000,-,-,-,-,-,20.972495,-
1998, 連江縣,6070.000000,5071.000000,305.200000,254.970000,1.103419,19.888300,43.000000,256.000000,-,-,-,-,-,16.796875,-
1999, 總計,24424625.000000,17052885.000000,5309.980000,3707.340000,6.072742,4599.762400,30805.000000,84344.000000,-,-,-,-,-,36.523048,-
1999, 臺灣地區,24335555.000000,17462266.000000,5492.390000,3941.130000,6.440252,4430.773100,30337.000000,82052.000000,-,-,-,-,-,36.972895,-
1999, 新北市,3621046.000000,3267654.000000,3064.970000,2765.850000,1.616980,1181.430400,2897.000000,11837.000000,-,-,-,-,-,24.474107,-
1999, 臺北市,3500000.000000,2641312.000000,12877.130000,9717.860000,1.000000,271.799700,2441.000000,6942.000000,-,-,-,-,-,35.162777,-
1999, 桃園市,1627270.000000,1247365.000000,5044.060000,3866.460000,2.791224,322.611300,2105.000000,5242.000000,-,-,-,-,-,40.156429,-
1999, 臺中市,2906100.000000,1936959.000000,5904.500000,3935.440000,3.598929,492.183700,4409.000000,10316.000000,-,-,-,-,-,42.739434,-
1999, 臺南市,2097300.000000,1425106.000000,4314.070000,2931.390000,3.507286,486.153900,4053.000000,9003.000000,-,-,-,-,-,45.018327,-
1999, 高雄市,4147130.000000,2380390.000000,10141.180000,5820.880000,6.338057,408.939700,4815.000000,12580.000000,-,-,-,-,-,38.275040,-
1999, 宜蘭縣,469835.000000,306830.000000,4634.030000,3026.300000,13.950952,101.387900,662.000000,1652.000000,-,-,-,-,-,40.072639,-
1999, 新竹縣,348700.000000,245361.000000,6782.620000,4772.560000,15.707212,51.410800,537.000000,1242.000000,-,-,-,-,-,43.236715,-
1999, 苗栗縣,468000.000000,291884.000000,6696.860000,4176.720000,13.581451,69.883500,680.000000,1347.000000,-,-,-,-,-,50.482554,-
1999, 彰化縣,911150.000000,671793.000000,7127.240000,5254.930000,4.324222,127.840500,1149.000000,2624.000000,-,-,-,-,-,43.788110,-
1999, 南投縣,404555.000000,288599.000000,3109.270000,2218.070000,16.742152,130.112600,817.000000,2850.000000,-,-,-,-,-,28.666667,-
1999, 雲林縣,468100.000000,283357.000000,4501.410000,2724.860000,4.713415,103.989600,870.000000,1677.000000,-,-,-,-,-,51.878354,-
1999, 嘉義縣,521600.000000,221861.000000,3165.650000,1346.500000,4.550864,164.768900,1031.000000,2647.000000,-,-,-,-,-,38.949754,-
1999, 屏東縣,664500.000000,454556.000000,3972.060000,2717.120000,8.296486,167.293500,1144.000000,3483.000000,-,-,-,-,-,32.845248,-
1999, 臺東縣,336569.000000,131857.000000,3830.420000,1500.630000,21.287683,87.867500,571.000000,1523.000000,-,-,-,-,-,37.491793,-
1999, 花蓮縣,439600.000000,236651.000000,5257.010000,2830.020000,36.827272,83.621700,716.000000,2230.000000,-,-,-,-,-,32.107623,-
1999, 澎湖縣,74900.000000,33521.000000,8256.810000,3695.280000,5.266629,9.071300,112.000000,306.000000,-,-,-,-,-,36.601307,-
1999, 基隆市,511900.000000,384968.000000,7165.450000,5388.690000,1.857203,71.440000,320.000000,1726.000000,-,-,-,-,-,18.539977,-
1999, 新竹市,463500.000000,287886.000000,9997.840000,6209.790000,1.785890,46.360000,454.000000,1354.000000,-,-,-,-,-,33.530281,-
1999, 嘉義市,353800.000000,258175.000000,6725.390000,4907.650000,1.111184,52.606600,553.000000,1472.000000,-,-,-,-,-,37.567935,-
1999, 金門縣,83000.000000,51731.000000,556.670000,346.950000,1.026526,149.101000,424.000000,2036.000000,-,-,-,-,-,20.825147,-
1999, 連江縣,6070.000000,5069.000000,305.200000,254.870000,1.118957,19.888300,43.000000,256.000000,-,-,-,-,-,16.796875,-
2000, 總計,24152572.000000,17369622.000000,5252.580000,3777.460000,6.136411,4598.229600,30751.000000,81948.000000,-,-,-,-,-,37.525016,-
2000, 臺灣地區,24063502.000000,17310583.000000,5432.870000,3908.250000,6.334197,4429.240300,30281.000000,79632.000000,-,-,-,-,-,38.026170,-
2000, 新北市,3637446.000000,3326198.000000,3014.960000,2756.980000,1.586056,1206.464900,3029.000000,10938.000000,-,-,-,-,-,27.692448,-
2000, 臺北市,3196813.000000,2646474.000000,11761.650000,9736.850000,1.000000,271.799700,2121.000000,7476.000000,-,-,-,-,-,28.370787,-
2000, 桃園市,1589170.000000,1274137.000000,4926.120000,3949.580000,2.783218,322.600900,2232.000000,5015.000000,-,-,-,-,-,44.506481,-
2000, 臺中市,2974900.000000,2077843.000000,6043.150000,4220.880000,3.800183,492.276700,4369.000000,9030.000000,-,-,-,-,-,48.383167,-
2000, 臺南市,2097300.000000,1482627.000000,4311.500000,3047.890000,3.625785,486.443700,4098.000000,9280.000000,-,-,-,-,-,44.159483,-
2000, 高雄市,4117130.000000,2448231.000000,10070.500000,5988.370000,6.473986,408.830900,4864.000000,12670.000000,-,-,-,-,-,38.389897,-
2000, 宜蘭縣,451835.000000,294376.000000,5922.040000,3858.280000,17.779355,76.297200,657.000000,1505.000000,-,-,-,-,-,43.654485,-
2000, 新竹縣,348700.000000,236629.000000,6782.620000,4602.710000,14.943377,51.410800,546.000000,1254.000000,-,-,-,-,-,43.540670,-
2000, 苗栗縣,468000.000000,297544.000000,6696.860000,4257.710000,13.847311,69.883500,708.000000,1341.000000,-,-,-,-,-,52.796421,-
2000, 彰化縣,911150.000000,645460.000000,7150.730000,5065.590000,4.152858,127.420500,1148.000000,2623.000000,-,-,-,-,-,43.766679,-
2000, 南投縣,404555.000000,280177.000000,3141.390000,2175.590000,16.497314,128.782300,697.000000,1922.000000,-,-,-,-,-,36.264308,-
2000, 雲林縣,468100.000000,283697.000000,4501.420000,2728.130000,4.737314,103.989500,857.000000,1676.000000,-,-,-,-,-,51.133652,-
2000, 嘉義縣,553600.000000,226211.000000,3359.860000,1372.900000,4.643038,164.768900,1047.000000,2672.000000,-,-,-,-,-,39.184132,-
2000, 屏東縣,664500.000000,454771.000000,3972.050000,2718.400000,8.313423,167.293900,1144.000000,3486.000000,-,-,-,-,-,32.816982,-
2000, 臺東縣,336569.000000,131881.000000,3830.420000,1500.910000,21.507588,87.867500,579.000000,1581.000000,-,-,-,-,-,36.622391,-
2000, 花蓮縣,439600.000000,240775.000000,5257.010000,2879.340000,37.686887,83.621700,713.000000,2239.000000,-,-,-,-,-,31.844573,-
2000, 澎湖縣,74934.000000,33638.000000,8260.560000,3708.180000,5.256489,9.071300,102.000000,303.000000,-,-,-,-,-,33.663366,-
2000, 基隆市,511900.000000,385761.000000,7164.470000,5399.050000,1.845329,71.449800,329.000000,1775.000000,-,-,-,-,-,18.535211,-
2000, 新竹市,463500.000000,284932.000000,9997.840000,6146.070000,1.736473,46.360000,488.000000,1375.000000,-,-,-,-,-,35.490909,-
2000, 嘉義市,353800.000000,259221.000000,6725.390000,4927.540000,1.111184,52.606600,553.000000,1472.000000,-,-,-,-,-,37.567935,-
2000, 金門縣,83000.000000,53832.000000,556.670000,361.040000,1.026526,149.101000,427.000000,2059.000000,-,-,-,-,-,20.738222,-
2000, 連江縣,6070.000000,5207.000000,305.200000,261.810000,1.119886,19.888300,43.000000,256.000000,-,-,-,-,-,16.796875,-
2001, 總計,24882859.000000,17535604.000000,5351.180000,3771.120000,6.090872,4649.971900,31392.000000,84127.000000,2634.860000,549.610000,148.940000,154.840000,567.790000,37.315012,2.313031
2001, 臺灣地區,24792089.000000,17469795.000000,5544.410000,3906.880000,6.296927,4471.545700,30888.000000,81592.000000,2556.790000,549.070000,144.320000,154.780000,551.790000,37.856653,2.264909
2001, 新北市,3649746.000000,3380650.000000,3025.160000,2802.110000,1.593108,1206.464900,3063.000000,10990.000000,179.210000,50.400000,26.280000,11.010000,49.830000,27.870792,0.936891
2001, 臺北市,3399000.000000,2633802.000000,12505.530000,9690.230000,1.000000,271.799700,2122.000000,7474.000000,520.800000,72.960000,14.680000,1.400000,60.330000,28.391758,2.544497
2001, 桃園市,1786370.000000,1298260.000000,5537.400000,4024.350000,2.787098,322.600900,2249.000000,5086.000000,119.870000,10.130000,5.030000,10.650000,88.240000,44.219426,1.801796
2001, 臺中市,2995900.000000,2095747.000000,6087.000000,4258.090000,3.793784,492.180300,4497.000000,9464.000000,65.740000,24.230000,10.190000,12.470000,19.110000,47.516906,0.628606
2001, 臺南市,2234100.000000,1490831.000000,4489.950000,2996.170000,3.552875,497.578100,4316.000000,9883.000000,166.250000,8.220000,7.510000,16.430000,78.640000,43.670950,1.858360
2001, 高雄市,4117130.000000,2426044.000000,10070.500000,5934.100000,6.400876,408.830900,4870.000000,12754.000000,540.790000,201.940000,14.860000,30.980000,45.480000,38.184099,3.437901
2001, 宜蘭縣,451835.000000,284222.000000,5917.700000,3722.460000,17.130922,76.353200,665.000000,1518.000000,22.920000,0.510000,1.780000,0.200000,42.090000,43.807642,2.374904
2001, 新竹縣,401700.000000,272083.000000,7813.530000,5292.330000,16.928739,51.410800,548.000000,1254.000000,13.690000,3.710000,5.270000,4.760000,-,43.700159,1.008148
2001, 苗栗縣,475500.000000,301024.000000,6804.180000,4307.510000,13.985852,69.883500,723.000000,1384.000000,12.180000,0.250000,3.910000,1.220000,16.910000,52.239884,1.145091
