"年度","縣市","身心障礙人數","身心障礙人口占全縣(市)總人口比率","身心障礙福利機構核定安置服務人數","身心障礙福利機構實際安置服務人數","身心障礙福利機構核定安置住宿及日托人數占身心障礙人數比率","身心障礙福利機構實際安置住宿及日托人數占身心障礙人數比率","公立機構定額已進用身心障礙者人數","公立機構定額應進用身心障礙者人數","私立機構定額已進用身心障礙者人數","私立機構定額應進用身心障礙者人數","機關定額已進用身心障礙者人數占定額應進用人數比率","公立機構定額已進用身心障礙者人數占定額應進用人數比率","私立機構定額已進用身心障礙者人數占定額應進用人數比率"
1999, 新竹市,8163.000000,2.260000,120.000000,192.000000,147.004778,235.207644,319.000000,294.000000,449.000000,558.000000,90.140845,108.503401,80.465950
1999, 嘉義市,8405.000000,3.170000,25.000000,56.000000,29.744200,66.627008,298.000000,296.000000,92.000000,73.000000,105.691057,100.675676,126.027397
1999, 金門縣,1712.000000,3.310000,-,-,-,-,41.000000,39.000000,-,-,105.128205,105.128205,-
1999, 連江縣,157.000000,2.390000,-,-,-,-,5.000000,3.000000,-,-,166.666667,166.666667,-
2000, 總計,711064.000000,3.190000,13084.000000,10571.000000,184.005940,148.664537,15141.000000,13194.000000,22363.000000,17077.000000,123.894156,114.756708,130.953915
2000, 臺灣地區,708720.000000,3.190000,9711.000000,7953.000000,137.021673,112.216390,15093.000000,13150.000000,22363.000000,17077.000000,123.915705,114.775665,130.953915
2000, 新北市,88412.000000,2.480000,1414.000000,1142.000000,159.933041,129.167986,1412.000000,1195.000000,2034.000000,1289.000000,138.727858,118.158996,157.796742
2000, 臺北市,87796.000000,3.320000,1723.000000,1396.000000,196.250399,159.004966,4604.000000,3897.000000,7893.000000,6842.000000,116.370239,118.142161,115.361006
2000, 桃園市,42772.000000,2.470000,569.000000,596.000000,133.030955,139.343496,660.000000,823.000000,2058.000000,1743.000000,105.923617,80.194411,118.072289
2000, 臺中市,66929.000000,2.720000,803.000000,714.000000,119.977887,106.680213,1442.000000,1364.000000,1803.000000,1350.000000,119.565217,105.718475,133.555556
2000, 臺南市,59821.000000,3.250000,866.000000,756.000000,144.765216,126.377025,1017.000000,820.000000,1679.000000,1022.000000,146.362649,124.024390,164.285714
2000, 高雄市,83111.000000,3.050000,760.000000,577.000000,91.443973,69.425227,2146.000000,1745.000000,2509.000000,1588.000000,139.663966,122.979943,157.997481
2000, 宜蘭縣,20172.000000,4.340000,278.000000,243.000000,137.814793,120.464010,321.000000,238.000000,163.000000,86.000000,149.382716,134.873950,189.534884
2000, 新竹縣,12880.000000,2.930000,330.000000,315.000000,256.211180,244.565217,121.000000,117.000000,702.000000,800.000000,89.749182,103.418803,87.750000
2000, 苗栗縣,19514.000000,3.490000,701.000000,383.000000,359.229271,196.269345,188.000000,217.000000,494.000000,207.000000,160.849057,86.635945,238.647343
2000, 彰化縣,41482.000000,3.170000,660.000000,471.000000,159.105154,113.543224,373.000000,484.000000,885.000000,510.000000,126.559356,77.066116,173.529412
2000, 南投縣,22097.000000,4.080000,82.000000,102.000000,37.109110,46.160112,375.000000,314.000000,237.000000,133.000000,136.912752,119.426752,178.195489
2000, 雲林縣,38137.000000,5.130000,-,-,-,-,318.000000,218.000000,383.000000,268.000000,144.238683,145.871560,142.910448
2000, 嘉義縣,26498.000000,4.710000,102.000000,97.000000,38.493471,36.606536,172.000000,135.000000,273.000000,172.000000,144.951140,127.407407,158.720930
2000, 屏東縣,31797.000000,3.500000,325.000000,305.000000,102.210900,95.920999,322.000000,294.000000,270.000000,150.000000,133.333333,109.523810,180.000000
2000, 臺東縣,14145.000000,5.770000,62.000000,26.000000,43.831743,18.381053,183.000000,108.000000,54.000000,23.000000,180.916031,169.444444,234.782609
2000, 花蓮縣,19453.000000,5.500000,547.000000,450.000000,281.190562,231.326788,353.000000,234.000000,145.000000,71.000000,163.278689,150.854701,204.225352
2000, 澎湖縣,4071.000000,4.550000,60.000000,39.000000,147.383935,95.799558,78.000000,53.000000,5.000000,4.000000,145.614035,147.169811,125.000000
2000, 基隆市,11126.000000,2.860000,100.000000,72.000000,89.879561,64.713284,373.000000,295.000000,197.000000,103.000000,143.216080,126.440678,191.262136
2000, 新竹市,10265.000000,2.790000,280.000000,240.000000,272.771554,233.804189,334.000000,300.000000,481.000000,639.000000,86.794462,111.333333,75.273865
