"年度","縣市","公教人員人數","公教人員大專畢業以上程度人數","女性公教人員人數","行政機關公務人員數","公教人員占總人口比率","公教人員人力素質－大專以上","女性公教人員占公教人員比率","公教人員之平均年齡","行政機關公務人員占公教人員比率"
1998, 總計,293369.000000,229543.000000,145504.000000,123847.000000,1.337838,78.243782,49.597606,40.161826,42.215435
1998, 臺灣地區,291526.000000,228276.000000,145029.000000,122929.000000,1.332942,78.303822,49.748221,40.125028,42.167422
1998, 新北市,35003.000000,28639.000000,19459.000000,12180.000000,1.011757,81.818701,55.592378,37.762620,34.797017
1998, 臺北市,56927.000000,48823.000000,30387.000000,26038.000000,2.156376,85.764224,53.378889,38.800000,45.739280
1998, 桃園市,16474.000000,13460.000000,9059.000000,5526.000000,0.997829,81.704504,54.989681,38.929981,33.543766
1998, 臺中市,25437.000000,20286.000000,12419.000000,9011.000000,1.066377,79.749971,48.822581,39.174133,35.424775
1998, 臺南市,21576.000000,15781.000000,10024.000000,9167.000000,1.184127,73.141453,46.459029,41.300478,42.487023
1998, 高雄市,39207.000000,31424.000000,19824.000000,16130.000000,1.457849,80.148953,50.562400,40.222164,41.140613
1998, 宜蘭縣,6613.000000,4773.000000,2999.000000,3099.000000,1.420236,72.176017,45.350068,39.800393,46.862241
1998, 新竹縣,5685.000000,4248.000000,2815.000000,2497.000000,1.328333,74.722955,49.516271,39.330255,43.922603
1998, 苗栗縣,7173.000000,5209.000000,3702.000000,3298.000000,1.281218,72.619546,51.610205,41.790046,45.977973
1998, 彰化縣,14934.000000,11533.000000,7008.000000,6129.000000,1.147474,77.226463,46.926476,40.245413,41.040579
1998, 南投縣,8285.000000,6409.000000,3354.000000,3522.000000,1.517750,77.356669,40.482800,40.890766,42.510561
1998, 雲林縣,9260.000000,6441.000000,4128.000000,4440.000000,1.236323,69.557235,44.578834,41.479752,47.948164
1998, 嘉義縣,7545.000000,5396.000000,3133.000000,3605.000000,1.333668,71.517561,41.524188,41.425779,47.779987
1998, 屏東縣,11777.000000,8388.000000,5014.000000,5431.000000,1.293408,71.223571,42.574510,41.412074,46.115310
1998, 臺東縣,5118.000000,2926.000000,1884.000000,2863.000000,2.047716,57.170770,36.811254,39.480754,55.939820
1998, 花蓮縣,5747.000000,3768.000000,2542.000000,2949.000000,1.611605,65.564642,44.231773,40.599878,51.313729
1998, 澎湖縣,2690.000000,1558.000000,788.000000,1818.000000,3.006830,57.918216,29.293680,38.133829,67.583643
1998, 基隆市,4934.000000,3668.000000,2390.000000,2369.000000,1.291224,74.341305,48.439400,39.413762,48.013782
1998, 新竹市,4186.000000,3333.000000,2543.000000,1643.000000,1.175041,79.622551,60.750119,39.828595,39.249881
1998, 嘉義市,2955.000000,2213.000000,1557.000000,1214.000000,1.123361,74.890017,52.690355,42.158206,41.082910
1998, 金門縣,1404.000000,984.000000,351.000000,683.000000,2.749706,70.085470,25.000000,43.780000,48.646724
