"年度","縣市","稅捐實徵淨額","平均每人稅賦","欠稅件數","欠稅金額"
1998, 總計,1225263122.000000,56419.638723,-,-
1998, 臺灣地區,1224737138.000000,56542.461445,351783.000000,9114156000.000000
1998, 新北市,127948013.000000,37505.721727,6138.000000,332341000.000000
1998, 臺北市,509653606.000000,195534.151286,173000.000000,4981000000.000000
1998, 桃園市,93110508.000000,57766.827653,8169.000000,376113000.000000
1998, 臺中市,101386314.000000,43203.717044,12489.000000,541275000.000000
1998, 臺南市,58736274.000000,32424.064554,10876.000000,168696000.000000
1998, 高雄市,120488759.000000,45223.242186,98428.000000,1782490000.000000
1998, 宜蘭縣,11968327.000000,25700.532979,2686.000000,31694000.000000
1998, 新竹縣,19287036.000000,45794.978399,1997.000000,28827000.000000
1998, 苗栗縣,23775549.000000,42509.778364,3017.000000,135588000.000000
1998, 彰化縣,30740998.000000,23722.706461,7262.000000,136114000.000000
1998, 南投縣,9888507.000000,18125.657819,3455.000000,235157000.000000
1998, 雲林縣,10176690.000000,13549.273553,5767.000000,106935000.000000
1998, 嘉義縣,7338716.000000,12980.733327,2448.000000,36730000.000000
1998, 屏東縣,12787838.000000,14026.019979,5751.000000,71937000.000000
1998, 臺東縣,3311409.000000,13127.384520,1182.000000,9486000.000000
1998, 花蓮縣,8252054.000000,23079.408363,1910.000000,39863000.000000
1998, 澎湖縣,974187.000000,10837.365046,1908.000000,604000.000000
1998, 基隆市,41331769.000000,109262.224725,2299.000000,32930000.000000
1998, 新竹市,22197072.000000,63218.988705,1711.000000,28719000.000000
1998, 嘉義市,11383512.000000,43209.957240,1290.000000,37657000.000000
1998, 金門縣,428992.000000,8619.749440,-,-
1998, 連江縣,96992.000000,14459.153250,-,-
1999, 總計,1196684014.000000,54591.177985,-,-
1999, 臺灣地區,1196043643.000000,54706.867902,411265.000000,8134833000.000000
1999, 新北市,121557581.000000,35103.506580,6695.000000,395614000.000000
1999, 臺北市,457498725.000000,173871.480684,194000.000000,4093497000.000000
1999, 桃園市,107105150.000000,64850.878911,8853.000000,375072000.000000
1999, 臺中市,94702173.000000,39684.913625,23216.000000,441788000.000000
1999, 臺南市,53162055.000000,29172.933218,12172.000000,315142000.000000
1999, 高雄市,159746451.000000,59445.384015,116082.000000,1795284000.000000
1999, 宜蘭縣,10959908.000000,23547.084359,2751.000000,36728000.000000
1999, 新竹縣,21492258.000000,50245.903192,1998.000000,36225000.000000
1999, 苗栗縣,23581948.000000,42144.600513,3834.000000,71370000.000000
1999, 彰化縣,29379714.000000,22588.503124,8537.000000,147018000.000000
1999, 南投縣,10196384.000000,18691.281916,4729.000000,39951000.000000
1999, 雲林縣,9328390.000000,12455.049605,7009.000000,105805000.000000
1999, 嘉義縣,7088915.000000,12551.239558,1966.000000,40606000.000000
1999, 屏東縣,12063267.000000,13250.964169,8824.000000,107033000.000000
1999, 臺東縣,3054701.000000,12217.142469,2491.000000,18913000.000000
1999, 花蓮縣,8000525.000000,22439.221747,2827.000000,32534000.000000
1999, 澎湖縣,1000001.000000,11154.998550,995.000000,375000.000000
1999, 基隆市,34956756.000000,91561.365690,2286.000000,18572000.000000
1999, 新竹市,20864778.000000,58531.734132,811.000000,25782000.000000
1999, 嘉義市,10303963.000000,39077.529581,1189.000000,37524000.000000
1999, 金門縣,536712.000000,10490.544648,-,-
1999, 連江縣,103659.000000,15021.954931,-,-
2000, 總計,1695621862.000000,76578.461980,-,-
2000, 臺灣地區,1694832077.000000,76747.915154,301234.000000,5383198000.000000
2000, 新北市,166464977.000000,47201.671092,11306.000000,688973000.000000
2000, 臺北市,679337738.000000,256994.118177,20000.000000,545586000.000000
2000, 桃園市,148739801.000000,87407.287418,20041.000000,552221000.000000
2000, 臺中市,117088521.000000,48129.841228,30643.000000,443537000.000000
2000, 臺南市,72503529.000000,39513.570207,27945.000000,312708000.000000
2000, 高雄市,224750014.000000,82900.898299,74751.000000,1692633000.000000
2000, 宜蘭縣,14360647.000000,30880.521849,4938.000000,56500000.000000
2000, 新竹縣,34386999.000000,79018.601669,5068.000000,62271000.000000
2000, 苗栗縣,30578907.000000,54648.763702,4599.000000,51520000.000000
2000, 彰化縣,38992901.000000,29844.604529,9706.000000,159554000.000000
2000, 南投縣,11929888.000000,21952.983738,11400.000000,82687000.000000
2000, 雲林縣,17119516.000000,22970.351710,23055.000000,188036000.000000
2000, 嘉義縣,9436887.000000,16761.446258,5352.000000,58946000.000000
2000, 屏東縣,16709189.000000,18390.311764,25739.000000,210170000.000000
2000, 臺東縣,3885176.000000,15732.833361,5871.000000,46139000.000000
2000, 花蓮縣,10460738.000000,29477.537644,5058.000000,75648000.000000
2000, 澎湖縣,1082599.000000,12119.097728,1977.000000,880000.000000
2000, 基隆市,50551751.000000,131014.506989,5376.000000,35434000.000000
2000, 新竹市,32113707.000000,88281.950061,4165.000000,46863000.000000
2000, 嘉義市,14338592.000000,54060.056290,4244.000000,72892000.000000
2000, 金門縣,674820.000000,12842.339642,-,-
2000, 連江縣,114965.000000,17333.584621,-,-
2001, 總計,1107710543.000000,49581.692547,-,-
2001, 臺灣地區,1107221737.000000,49700.380058,320836.000000,5701977000.000000
2001, 新北市,105424237.000000,29373.659334,4729.000000,321188000.000000
2001, 臺北市,442256965.000000,167512.821299,16000.000000,503253000.000000
2001, 桃園市,91167561.000000,52161.621820,16680.000000,586155000.000000
2001, 臺中市,76073022.000000,30761.021790,35392.000000,714518000.000000
2001, 臺南市,46347445.000000,25116.618526,33707.000000,471200000.000000
2001, 高雄市,147118861.000000,53922.460939,111045.000000,1873222000.000000
2001, 宜蘭縣,8626137.000000,18531.205121,5509.000000,68519000.000000
2001, 新竹縣,24693488.000000,55740.690035,4625.000000,55024000.000000
2001, 苗栗縣,17486400.000000,31216.154338,10752.000000,103714000.000000
2001, 彰化縣,25090671.000000,19120.161553,16850.000000,281427000.000000
2001, 南投縣,7898532.000000,14581.613598,4781.000000,63839000.000000
2001, 雲林縣,29247216.000000,39339.062363,15943.000000,155888000.000000
2001, 嘉義縣,5836353.000000,10369.563016,3215.000000,47311000.000000
2001, 屏東縣,11020172.000000,12130.380846,16289.000000,167057000.000000
2001, 臺東縣,2557939.000000,10442.186951,6460.000000,56029000.000000
2001, 花蓮縣,7131706.000000,20181.151126,6662.000000,63102000.000000
2001, 澎湖縣,652198.000000,7176.316542,460.000000,2974000.000000
2001, 基隆市,23360692.000000,59946.014260,3682.000000,40165000.000000
2001, 新竹市,27022269.000000,72862.326842,4094.000000,55501000.000000
2001, 嘉義市,8209873.000000,30738.456988,3961.000000,71891000.000000
2001, 金門縣,410513.000000,7410.650781,-,-
2001, 連江縣,78293.000000,10047.869610,-,-
2002, 總計,1139343818.000000,50720.522373,335885.000000,5294734137.000000
2002, 臺灣地區,1136663869.000000,50752.035119,333038.000000,5286612000.000000
2002, 新北市,96604685.000000,26643.328225,16450.000000,447962000.000000
