"年度","縣市","稅捐實徵淨額","平均每人稅賦","欠稅件數","欠稅金額"
2002, 臺北市,343652910.000000,130278.691303,14000.000000,281510000.000000
2002, 桃園市,151846765.000000,85413.554410,18515.000000,466245000.000000
2002, 臺中市,97717510.000000,39130.336935,33288.000000,578383000.000000
2002, 臺南市,44532750.000000,24065.857370,33901.000000,491862000.000000
2002, 高雄市,159468743.000000,58260.658127,110817.000000,1696553000.000000
2002, 宜蘭縣,9512401.000000,20458.844227,5092.000000,51161000.000000
2002, 新竹縣,18248799.000000,40598.943913,5377.000000,53625000.000000
2002, 苗栗縣,17394405.000000,31022.493192,10061.000000,99430000.000000
2002, 彰化縣,23167587.000000,17616.778060,16223.000000,451606000.000000
2002, 南投縣,8243593.000000,15222.079013,6862.000000,70728000.000000
2002, 雲林縣,33422696.000000,44972.575266,14570.000000,137521000.000000
2002, 嘉義縣,6387288.000000,11347.522871,2784.000000,42084000.000000
2002, 屏東縣,14205907.000000,15649.218801,15403.000000,139131000.000000
2002, 臺東縣,2497150.000000,10222.134894,6334.000000,47254000.000000
2002, 花蓮縣,8549419.000000,24243.595215,8562.000000,78890000.000000
2002, 澎湖縣,632737.000000,6850.991262,245.000000,2774000.000000
2002, 基隆市,71726279.000000,183345.634547,6634.000000,53349000.000000
2002, 新竹市,20728478.000000,55122.113888,3901.000000,44607000.000000
2002, 嘉義市,8123767.000000,30318.219817,4019.000000,51937000.000000
2002, 金門縣,2504838.000000,43227.480995,2285.000000,8121000.000000
2002, 連江縣,175111.000000,19883.161122,562.000000,1137.000000
2003, 總計,1169973267.000000,51854.396221,288323.000000,3532301000.000000
2003, 臺灣地區,1165363390.000000,51807.926946,285594.000000,3522476000.000000
2003, 新北市,99271493.000000,27130.849378,20162.000000,174287000.000000
2003, 臺北市,347658455.000000,131963.883428,14000.000000,381515000.000000
2003, 桃園市,160663523.000000,88895.067832,18492.000000,186954000.000000
2003, 臺中市,100728048.000000,39985.267924,34090.000000,378934000.000000
2003, 臺南市,41711943.000000,22491.527247,25117.000000,282712000.000000
2003, 高雄市,164037444.000000,59761.636104,86142.000000,1442500000.000000
2003, 宜蘭縣,9511464.000000,20512.283910,4221.000000,30675000.000000
2003, 新竹縣,13818583.000000,30305.039881,3635.000000,39884000.000000
2003, 苗栗縣,17892223.000000,31902.857260,6740.000000,65958000.000000
2003, 彰化縣,20350572.000000,15460.306873,14523.000000,132927000.000000
2003, 南投縣,6982909.000000,12911.121404,5721.000000,44143000.000000
2003, 雲林縣,35279301.000000,47568.729952,10690.000000,74340000.000000
2003, 嘉義縣,6139167.000000,10935.420608,6068.000000,46374000.000000
2003, 屏東縣,15815134.000000,17475.768944,12754.000000,83474000.000000
2003, 臺東縣,2377914.000000,9769.432239,4245.000000,27074000.000000
2003, 花蓮縣,8874033.000000,25235.413053,8138.000000,50338000.000000
2003, 澎湖縣,648273.000000,7019.778125,292.000000,2065000.000000
2003, 基隆市,90385116.000000,230664.893861,5691.000000,34993000.000000
2003, 新竹市,15987775.000000,41979.521960,2444.000000,22667000.000000
2003, 嘉義市,7230020.000000,26902.349949,2429.000000,20662000.000000
2003, 金門縣,4280663.000000,71394.359385,2065.000000,8726000.000000
2003, 連江縣,329214.000000,37476.691901,664.000000,1099000.000000
2004, 總計,1308411903.000000,57774.600523,223851.000000,2895100000.000000
2004, 臺灣地區,1303915775.000000,57759.194294,220300.000000,2884724000.000000
2004, 新北市,107334425.000000,29069.674697,16561.000000,246928000.000000
2004, 臺北市,381093275.000000,145189.175958,22366.000000,609752000.000000
2004, 桃園市,187849934.000000,102228.363605,18810.000000,321558000.000000
2004, 臺中市,112875536.000000,44455.858348,24841.000000,347075000.000000
2004, 臺南市,42111558.000000,22658.578895,22839.000000,280484000.000000
2004, 高雄市,195337216.000000,71052.113325,36891.000000,404137000.000000
2004, 宜蘭縣,10464678.000000,22612.372255,3792.000000,25846000.000000
2004, 新竹縣,16599913.000000,35832.318978,3436.000000,23400000.000000
2004, 苗栗縣,18866001.000000,33642.848354,6785.000000,71028000.000000
2004, 彰化縣,22656016.000000,17207.939374,12845.000000,147455000.000000
2004, 南投縣,7534749.000000,13968.630250,5380.000000,40601000.000000
2004, 雲林縣,35298291.000000,47788.446685,7894.000000,55601000.000000
2004, 嘉義縣,6502489.000000,11629.103838,3343.000000,38186000.000000
2004, 屏東縣,17646164.000000,19563.689217,12136.000000,75794000.000000
2004, 臺東縣,2460556.000000,10184.104384,4660.000000,32705000.000000
2004, 花蓮縣,9228220.000000,26355.236008,5927.000000,34800000.000000
2004, 澎湖縣,672552.000000,7307.925090,311.000000,1798000.000000
2004, 基隆市,101669390.000000,259169.286968,5863.000000,30681000.000000
2004, 新竹市,19793789.000000,51422.656710,3018.000000,73028000.000000
2004, 嘉義市,7921023.000000,29340.653968,2602.000000,23867000.000000
2004, 金門縣,4040119.000000,64415.676145,2991.000000,9434000.000000
2004, 連江縣,456009.000000,50207.431874,560.000000,942000.000000
2005, 總計,1485022057.000000,65333.841933,265015.000000,3340593000.000000
2005, 臺灣地區,1480409387.000000,65352.907635,261201.000000,3329061000.000000
2005, 新北市,118654527.000000,31875.915944,22392.000000,529289000.000000
2005, 臺北市,466313989.000000,178021.610099,19839.000000,398412000.000000
2005, 桃園市,196790459.000000,105423.130731,23432.000000,225991000.000000
2005, 臺中市,128134597.000000,50105.892755,34459.000000,381887000.000000
2005, 臺南市,48618937.000000,26114.580091,24639.000000,406526000.000000
2005, 高雄市,222598789.000000,80870.201893,36413.000000,491832000.000000
2005, 宜蘭縣,10789528.000000,23357.192338,4546.000000,30969000.000000
2005, 新竹縣,22378384.000000,47365.518672,3240.000000,26641000.000000
2005, 苗栗縣,22055824.000000,39364.768644,7563.000000,54269000.000000
2005, 彰化縣,25277846.000000,19203.799455,16992.000000,142225000.000000
2005, 南投縣,7739234.000000,14390.797160,8814.000000,91428000.000000
2005, 雲林縣,28003837.000000,38097.814982,9817.000000,73528000.000000
2005, 嘉義縣,7356358.000000,13195.213649,4009.000000,38619000.000000
2005, 屏東縣,18601114.000000,20685.153564,15482.000000,102542000.000000
2005, 臺東縣,2624497.000000,10951.009355,5743.000000,51807000.000000
2005, 花蓮縣,8858205.000000,25438.274556,8775.000000,47623000.000000
2005, 澎湖縣,692906.000000,7519.449584,253.000000,1456000.000000
2005, 基隆市,107151179.000000,273322.532344,7376.000000,45472000.000000
2005, 新竹市,30310249.000000,77954.248870,4320.000000,119176000.000000
2005, 嘉義市,7458928.000000,27521.586888,3097.000000,69369000.000000
2005, 金門縣,4259095.000000,63228.845012,3131.000000,10308000.000000
2005, 連江縣,353575.000000,35888.652050,683.000000,1224000.000000
2006, 總計,1521236811.000000,66652.345624,325366.000000,3224947000.000000
2006, 臺灣地區,1516056373.000000,66669.110509,321272.000000,3212739000.000000
2006, 新北市,125359296.000000,33412.341420,26990.000000,482139000.000000
2006, 臺北市,470334842.000000,179222.390203,19623.000000,441945000.000000
2006, 桃園市,197440401.000000,104149.597110,34981.000000,317702000.000000
2006, 臺中市,139758362.000000,54232.464269,44964.000000,354758000.000000
2006, 臺南市,47660352.000000,25557.580949,26377.000000,261828000.000000
2006, 高雄市,223943144.000000,81232.031102,48829.000000,427806000.000000
2006, 宜蘭縣,11736177.000000,25457.753261,4850.000000,32841000.000000
2006, 新竹縣,21360821.000000,44254.209530,6952.000000,55176000.000000
2006, 苗栗縣,19817366.000000,35390.365469,10059.000000,64719000.000000
2006, 彰化縣,22699954.000000,17256.679565,19329.000000,145371000.000000
2006, 南投縣,7627816.000000,14226.050078,9263.000000,62618000.000000
2006, 雲林縣,33342854.000000,45618.275848,10945.000000,77625000.000000
2006, 嘉義縣,6993216.000000,12589.704953,5304.000000,46941000.000000
2006, 屏東縣,18669775.000000,20838.616531,17285.000000,116622000.000000
2006, 臺東縣,2552436.000000,10749.361971,6376.000000,52390000.000000
2006, 花蓮縣,9229592.000000,26651.974225,10508.000000,58498000.000000
2006, 澎湖縣,760528.000000,8254.316941,228.000000,1482000.000000
2006, 基隆市,114235146.000000,292027.061711,8391.000000,45308000.000000
2006, 新竹市,34922974.000000,88924.867178,5825.000000,122599000.000000
2006, 嘉義市,7611321.000000,27979.454661,4193.000000,44371000.000000
2006, 金門縣,4818230.000000,65663.588975,3435.000000,10941000.000000
2006, 連江縣,362208.000000,35985.097611,659.000000,1267000.000000
2007, 總計,1652035433.000000,72086.375297,340074.000000,3130534172.000000
2007, 臺灣地區,1646400244.000000,72120.201720,339951.000000,3129971881.000000
2007, 新北市,161433559.000000,42678.443274,28097.000000,499330724.000000
2007, 臺北市,652319898.000000,247959.150138,19750.000000,319413156.000000
2007, 桃園市,149604685.000000,77794.938755,37592.000000,350337274.000000
2007, 臺中市,112907081.000000,43470.759181,46370.000000,414716160.000000
2007, 臺南市,65589498.000000,35104.746643,31629.000000,239827556.000000
2007, 高雄市,179319419.000000,64911.442941,52701.000000,402144765.000000
2007, 宜蘭縣,10703956.000000,23248.646864,5153.000000,26143116.000000
2007, 新竹縣,34909688.000000,70989.784578,6957.000000,64950165.000000
2007, 苗栗縣,22567716.000000,40294.132298,8509.000000,75216679.000000
2007, 彰化縣,31617855.000000,24049.592529,21657.000000,155400869.000000
2007, 南投縣,8447899.000000,15806.389989,9957.000000,65201596.000000
2007, 雲林縣,59134526.000000,81331.414244,11288.000000,72046261.000000
2007, 嘉義縣,7945242.000000,14378.108300,5397.000000,40654104.000000
2007, 屏東縣,20242665.000000,22704.935823,19534.000000,108066523.000000
2007, 臺東縣,2520464.000000,10734.125894,6236.000000,32390034.000000
2007, 花蓮縣,8922520.000000,25914.769716,10025.000000,58771057.000000
2007, 澎湖縣,741380.000000,8050.821230,218.000000,1338000.000000
2007, 基隆市,46226568.000000,118373.348015,7291.000000,35804979.000000
2007, 新竹市,63219397.000000,159284.540535,6622.000000,134349067.000000
2007, 嘉義市,8026228.000000,29430.341431,4968.000000,33869796.000000
2007, 金門縣,5374085.000000,68010.035561,104.000000,548347.000000
2007, 連江縣,261104.000000,26465.031421,650.000000,1111235.000000
2008, 總計,1680012556.000000,73051.343601,373098.000000,3295816201.000000
2008, 臺灣地區,1674589914.000000,73110.915659,372926.000000,3294715900.000000
2008, 新北市,163620877.000000,42879.020984,34436.000000,476950468.000000
2008, 臺北市,676193539.000000,257490.030448,24684.000000,392056620.000000
2008, 桃園市,138315507.000000,71046.634858,46347.000000,434456995.000000
2008, 臺中市,109618085.000000,41912.021833,45770.000000,373137651.000000
2008, 臺南市,64540689.000000,34485.466727,33416.000000,220061939.000000
2008, 高雄市,186347726.000000,67347.434966,53606.000000,443507734.000000
2008, 宜蘭縣,9774966.000000,21219.941387,6323.000000,48975759.000000
2008, 新竹縣,36977868.000000,74022.800657,6999.000000,73834998.000000
2008, 苗栗縣,21939934.000000,39158.874134,8399.000000,54833624.000000
2008, 彰化縣,31276253.000000,23808.764852,21100.000000,149163972.000000
2008, 南投縣,8136849.000000,15273.727088,10229.000000,76955355.000000
2008, 雲林縣,68713577.000000,94820.114728,12845.000000,83122746.000000
2008, 嘉義縣,7279202.000000,13233.998378,8693.000000,58270141.000000
2008, 屏東縣,19406997.000000,21874.420720,23896.000000,118050981.000000
2008, 臺東縣,2393368.000000,10282.800118,7181.000000,37164033.000000
2008, 花蓮縣,8514621.000000,24869.828474,9896.000000,49813245.000000
2008, 澎湖縣,876971.000000,9445.131342,307.000000,1876740.000000
2008, 基隆市,44729021.000000,114781.622734,7925.000000,44228314.000000
2008, 新竹市,68586880.000000,170528.016947,6400.000000,126866006.000000
2008, 嘉義市,7346984.000000,26869.313984,4474.000000,31388579.000000
2008, 金門縣,5156307.000000,62080.425242,158.000000,1022044.000000
2008, 連江縣,266335.000000,27037.713822,674.000000,1201244.000000
2009, 總計,1461454720.000000,63325.647576,343472.000000,2754338648.000000
2009, 臺灣地區,1456916057.000000,63401.022299,343316.000000,2753574400.000000
2009, 新北市,149560500.000000,38809.671194,35210.000000,406450927.000000
2009, 臺北市,594795211.000000,227439.883480,20910.000000,317468107.000000
2009, 桃園市,136139329.000000,69150.697352,43901.000000,364705318.000000
2009, 臺中市,101937886.000000,38760.883093,40179.000000,346957071.000000
2009, 臺南市,55656572.000000,29696.088289,28811.000000,188303747.000000
2009, 高雄市,144763518.000000,52261.754412,48526.000000,325799596.000000
2009, 宜蘭縣,9660095.000000,20942.682436,5436.000000,27440210.000000
2009, 新竹縣,26742619.000000,52738.721399,7226.000000,45726222.000000
2009, 苗栗縣,22233653.000000,39627.200147,8055.000000,52974483.000000
2009, 彰化縣,25785465.000000,19643.060377,19363.000000,121103717.000000
2009, 南投縣,7902093.000000,14873.450112,11850.000000,73965982.000000
2009, 雲林縣,46794926.000000,64702.286741,13678.000000,80888514.000000
2009, 嘉義縣,6906440.000000,12597.854707,6789.000000,54649522.000000
2009, 屏東縣,18608359.000000,21056.396742,19806.000000,94483016.000000
2009, 臺東縣,2197033.000000,9462.913431,7026.000000,32139218.000000
2009, 花蓮縣,7926183.000000,23230.415726,8238.000000,40109870.000000
2009, 澎湖縣,654979.000000,6912.050570,345.000000,2081495.000000
2009, 基隆市,41761318.000000,107452.252669,7976.000000,43239758.000000
2009, 新竹市,49316364.000000,120731.699794,6103.000000,96749866.000000
2009, 嘉義市,7573514.000000,27658.024957,3888.000000,38337761.000000
2009, 金門縣,4350054.000000,48774.803361,94.000000,578441.000000
2009, 連江縣,188609.000000,19173.426858,540.000000,897048.000000
2010, 總計,1532759831.000000,66235.828546,304520.000000,2611237906.000000
2010, 臺灣地區,1528565778.000000,66357.155569,303987.000000,2607928806.000000
2010, 新北市,154303664.000000,39712.589596,35995.000000,470024771.000000
2010, 臺北市,613280790.000000,234694.726570,20000.000000,261384408.000000
2010, 桃園市,142103913.000000,71393.897572,37784.000000,292588235.000000
2010, 臺中市,108866397.000000,41204.651242,29295.000000,433065673.000000
2010, 臺南市,52894601.000000,28216.473381,23408.000000,150779626.000000
2010, 高雄市,142702790.000000,51476.647482,45394.000000,359438329.000000
2010, 宜蘭縣,9931572.000000,21540.946806,4567.000000,21769637.000000
2010, 新竹縣,29203767.000000,57044.345281,5983.000000,53716662.000000
2010, 苗栗縣,27528934.000000,49040.063703,8427.000000,55439785.000000
2010, 彰化縣,25270886.000000,19292.571475,18590.000000,115728191.000000
2010, 南投縣,8245949.000000,15597.904125,11025.000000,65821074.000000
2010, 雲林縣,61475715.000000,85356.382181,12687.000000,67108401.000000
2010, 嘉義縣,6645590.000000,12182.968457,6356.000000,38792913.000000
2010, 屏東縣,21261929.000000,24214.265418,17076.000000,77825740.000000
2010, 臺東縣,2403019.000000,10376.401753,6869.000000,31054891.000000
2010, 花蓮縣,8877302.000000,26118.584401,6435.000000,31901093.000000
2010, 澎湖縣,627925.000000,6502.682159,504.000000,1758060.000000
2010, 基隆市,50382824.000000,130448.567230,5534.000000,25662185.000000
2010, 新竹市,55329368.000000,133818.584622,5058.000000,35857717.000000
2010, 嘉義市,7228843.000000,26467.111273,3000.000000,18211415.000000
2010, 金門縣,4034732.000000,42211.595097,503.000000,3169201.000000
2010, 連江縣,159321.000000,16041.987615,646.000000,1207422.000000
2011, 總計,1668287787.000000,71929.054616,246582.000000,1872965325.000000
2011, 臺灣地區,1664029906.000000,72089.388282,245686.000000,1869097431.000000
2011, 新北市,168759548.000000,43195.157092,29477.000000,310245479.000000
2011, 臺北市,658228999.000000,249814.601479,16570.000000,272895043.000000
2011, 桃園市,168299299.000000,83827.646553,26098.000000,197548151.000000
2011, 臺中市,113801335.000000,42840.331478,26010.000000,195966551.000000
2011, 臺南市,56722585.000000,30245.963878,20549.000000,129954903.000000
2011, 高雄市,159106413.000000,57356.799165,32372.000000,239155872.000000
2011, 宜蘭縣,10312850.000000,22430.283607,4941.000000,28019862.000000
2011, 新竹縣,36984733.000000,71769.306151,5252.000000,46614037.000000
2011, 苗栗縣,29656949.000000,52818.397155,5880.000000,45780063.000000
2011, 彰化縣,34184086.000000,26191.440529,16011.000000,82561146.000000
2011, 南投縣,7814075.000000,14893.910024,9584.000000,48815959.000000
2011, 雲林縣,64161400.000000,89660.419967,9949.000000,53673100.000000
2011, 嘉義縣,6823526.000000,12622.251408,6322.000000,39168052.000000
2011, 屏東縣,22498966.000000,25890.073750,13467.000000,62066954.000000
2011, 臺東縣,2566813.000000,11185.272015,5863.000000,25846551.000000
2011, 花蓮縣,9164671.000000,27128.738106,5736.000000,29240804.000000
2011, 澎湖縣,603688.000000,6221.182533,230.000000,1209599.000000
2011, 基隆市,50327543.000000,131736.976498,4687.000000,21037637.000000
2011, 新竹市,57142730.000000,136803.934900,3639.000000,20825176.000000
2011, 嘉義市,6869697.000000,25260.139433,3049.000000,18472492.000000
2011, 金門縣,4087369.000000,40620.421671,440.000000,2972224.000000
2011, 連江縣,170512.000000,17008.678304,456.000000,895670.000000
2012, 總計,1701779043.000000,73130.735025,232476.000000,1774286809.000000
2012, 臺灣地區,1696922755.000000,73297.519796,231683.000000,1770846981.000000
2012, 新北市,186386348.000000,47452.173413,28524.000000,257684760.000000
2012, 臺北市,664846830.000000,249745.531436,15358.000000,204824345.000000
2012, 桃園市,173833183.000000,85982.265215,24074.000000,185156098.000000
2012, 臺中市,127431611.000000,47644.335030,24446.000000,284718826.000000
2012, 臺南市,61449096.000000,32697.820601,16567.000000,103705411.000000
2012, 高雄市,152429752.000000,54898.689370,30558.000000,225224575.000000
2012, 宜蘭縣,10990164.000000,23952.688153,5066.000000,21324442.000000
2012, 新竹縣,39399430.000000,75649.277961,5366.000000,51495954.000000
2012, 苗栗縣,30231385.000000,53697.621462,5587.000000,39262953.000000
2012, 彰化縣,31839237.000000,24464.367724,15730.000000,82951550.000000
2012, 南投縣,8339909.000000,15992.109323,9298.000000,46769080.000000
2012, 雲林縣,58865427.000000,82644.415383,9388.000000,53221285.000000
2012, 嘉義縣,7521335.000000,14036.727895,6524.000000,41062808.000000
2012, 屏東縣,24047228.000000,27913.693216,13311.000000,64022189.000000
2012, 臺東縣,2823849.000000,12425.030030,5923.000000,24189478.000000
2012, 花蓮縣,10080609.000000,30000.562477,5193.000000,26250485.000000
2012, 澎湖縣,803698.000000,8201.000000,329.000000,1347601.000000
2012, 基隆市,48912825.000000,129214.415914,4448.000000,19765458.000000
2012, 新竹市,49591719.000000,117359.766567,3511.000000,21744700.000000
2012, 嘉義市,7099120.000000,26160.008549,2482.000000,16124983.000000
2012, 金門縣,4604143.000000,42435.671032,410.000000,2617863.000000
2012, 連江縣,252145.000000,23547.347777,383.000000,821965.000000
2013, 總計,1737115458.000000,74411.653504,214106.000000,1564425222.000000
2013, 臺灣地區,1732005102.000000,74603.877064,213537.000000,1561267827.000000
2013, 新北市,204029784.000000,51690.837642,28260.000000,255497025.000000
2013, 臺北市,660951381.000000,246635.521262,15379.000000,202548049.000000
2013, 桃園市,170937371.000000,83912.445290,20284.000000,152943939.000000
2013, 臺中市,143787200.000000,53387.453277,21580.000000,164022195.000000
2013, 臺南市,62814165.000000,33368.721169,15983.000000,98887844.000000
2013, 高雄市,147273972.000000,52990.201737,27071.000000,202648064.000000
2013, 宜蘭縣,12237396.000000,26688.583296,4582.000000,21821051.000000
2013, 新竹縣,40475792.000000,76769.270891,4681.000000,38094929.000000
2013, 苗栗縣,30785273.000000,54509.881101,4921.000000,40332522.000000
2013, 彰化縣,32252176.000000,24848.732280,13429.000000,76679549.000000
2013, 南投縣,8482874.000000,16353.820736,8867.000000,47341087.000000
2013, 雲林縣,55147761.000000,77739.528878,9366.000000,52702926.000000
2013, 嘉義縣,7892554.000000,14850.254762,6102.000000,38347640.000000
2013, 屏東縣,24073970.000000,28144.724436,11690.000000,59079903.000000
2013, 臺東縣,2975000.000000,13190.769565,5456.000000,22643814.000000
2013, 花蓮縣,11256040.000000,33645.968312,5066.000000,26561111.000000
2013, 澎湖縣,1024347.000000,10282.388842,313.000000,1234320.000000
2013, 基隆市,53864516.000000,143243.929065,4066.000000,19195448.000000
2013, 新竹市,54373954.000000,127406.008290,3550.000000,24108929.000000
2013, 嘉義市,7369576.000000,27189.392206,2891.000000,16577482.000000
2013, 金門縣,4857567.000000,41548.917134,387.000000,2688398.000000
2013, 連江縣,252789.000000,21536.869010,182.000000,468997.000000
2014, 總計,1868965043.000000,79857.895707,197846.000000,1432482008.000000
2014, 臺灣地區,1863987004.000000,80112.626244,196882.000000,1427167287.000000
2014, 新北市,221096918.000000,55820.242176,26957.000000,248277686.000000
2014, 臺北市,698438888.000000,259217.217241,15555.000000,200336789.000000
2014, 桃園市,184767874.000000,90079.017617,17467.000000,130982127.000000
2014, 臺中市,153439000.000000,56603.933674,19589.000000,150576695.000000
2014, 臺南市,67205602.000000,35676.573169,14834.000000,88710313.000000
2014, 高雄市,164117018.000000,59046.909722,23174.000000,160238118.000000
2014, 宜蘭縣,13052927.000000,28461.529404,4950.000000,24352157.000000
