"年度","縣市","老人長期照顧、安養機構數","老人長期照顧、安養機構工作人員數","老人長期照顧、安養機構可供進住人數","老人長期照顧、安養機構實際進住人數","每萬老人長期照顧、安養機構數","老人長期照顧、安養機構每位工作人員服務老人數","老人長期照顧、安養機構可供進住人數占老年人口比率","老人長期照顧、安養機構實際進住人數占老年人口比率","參與長青學苑人次","55歲以上每百人參與長青學苑人次","中低收入老人生活津貼核定人數","中低收入老人生活津貼核發金額","老年農民福利津貼核付人數","老年農民福利津貼核付金額","老年基本保證年金核付人數","老年基本保證年金核付金額","中低收入老人生活津貼與老年農民福利津貼核付人數占老年人口比率","中低收入老人生活津貼與老年農民福利津貼核付金額占總決算歲出比率","中低收入老人生活津貼、老年基本保證年金與老年農民福利津貼核付人數占老年人口比率","中低收入老人生活津貼、老年基本保證年金與老年農民福利津貼核付金額占總決算歲出比率"
2000, 臺灣地區,505.000000,4811.000000,20280.000000,14061.000000,2.639074,2.920000,105.980000,73.481226,93244.000000,2.684893,204310.000000,10395175326.000000,631490.000000,23031057000.000000,-,-,43.677981,3.653736,43.677981,3.653736
2000, 新北市,59.000000,696.000000,2902.000000,2140.000000,2.596968,3.070000,127.740000,94.195116,8967.000000,2.036541,12369.000000,628852728.000000,25387.000000,929160000.000000,-,-,16.618836,1.622443,16.618836,1.622443
2000, 臺北市,201.000000,1580.000000,6057.000000,4564.000000,7.854048,2.890000,236.680000,178.337677,6950.000000,1.557378,32077.000000,2017323670.000000,4551.000000,169797000.000000,-,-,14.312341,0.886725,14.312341,0.886725
2000, 桃園市,22.000000,169.000000,649.000000,405.000000,1.702655,2.400000,50.230000,31.344323,4715.000000,2.098592,12570.000000,596203360.000000,32054.000000,1260378000.000000,-,-,34.536027,4.062516,34.536027,4.062516
2000, 臺中市,17.000000,232.000000,1101.000000,641.000000,1.001514,2.760000,64.860000,37.762971,11692.000000,3.681586,17115.000000,691323808.000000,48206.000000,1776462000.000000,-,-,38.482294,3.368349,38.482294,3.368349
2000, 臺南市,32.000000,216.000000,891.000000,678.000000,1.822251,3.140000,50.740000,38.608939,6831.000000,2.186728,10389.000000,557158392.000000,83735.000000,3008742000.000000,-,-,53.599230,5.876081,53.599230,5.876081
2000, 高雄市,64.000000,654.000000,2839.000000,1973.000000,3.050190,3.020000,135.300000,94.031636,14665.000000,3.658426,36496.000000,1877661904.000000,49815.000000,1819935000.000000,-,-,41.135147,3.011485,41.135147,3.011485
2000, 宜蘭縣,20.000000,209.000000,568.000000,424.000000,4.217007,2.030000,119.760000,89.400552,437.000000,0.506576,2060.000000,115916152.000000,20603.000000,836487000.000000,-,-,47.785017,5.604995,47.785017,5.604995
2000, 新竹縣,3.000000,72.000000,280.000000,175.000000,0.704341,2.430000,65.740000,41.086564,1962.000000,2.634724,533.000000,28246616.000000,21919.000000,662736000.000000,-,-,52.712887,4.103774,52.712887,4.103774
2000, 苗栗縣,7.000000,82.000000,340.000000,215.000000,1.139434,2.620000,55.340000,34.996907,11348.000000,10.531151,6366.000000,328298832.000000,36107.000000,1350057000.000000,-,-,69.135983,7.760444,69.135983,7.760444
