"年度","縣市","鄉鎮市區數","社區發展協會數","平均每一鄉鎮市區擁有社區發展協會數","社區發展工作實際使用經費","社區發展工作實際使用經費之政府補助款","政府補助經費占社區全部使用經費比率","平均每一社區發展協會接受政府補助經費","平均每人政府社會福利支出淨額","遺體火化數量","火葬人數占死亡人口比率","社區發展媽媽教室班數"
2000, 臺中市,29.000000,398.000000,13.724138,153419537.000000,121114647.000000,78.943431,304308.158291,2145.944725,9589.000000,83.324644,319.000000
2000, 臺南市,38.000000,579.000000,15.236842,187774397.000000,138958384.000000,74.002839,239997.208981,3080.570515,7510.000000,65.646853,477.000000
2000, 高雄市,38.000000,611.000000,16.078947,123498462.000000,79689630.000000,64.526820,130424.926350,4866.134884,12319.000000,82.351761,284.000000
2000, 宜蘭縣,12.000000,205.000000,17.083333,119679699.000000,89276956.000000,74.596575,435497.346341,2544.863979,1775.000000,55.800063,143.000000
2000, 新竹縣,13.000000,158.000000,12.153846,58041518.000000,40526515.000000,69.823320,256496.930380,7402.832417,788.000000,28.991906,119.000000
2000, 苗栗縣,18.000000,265.000000,14.722222,101675821.000000,80544786.000000,79.217247,303942.588679,4260.302187,1552.000000,38.838839,168.000000
2000, 彰化縣,26.000000,462.000000,17.769231,123175132.000000,99167944.000000,80.509712,214649.229437,1474.785520,-,-,286.000000
2000, 南投縣,13.000000,228.000000,17.538462,77472003.000000,70933233.000000,91.559828,311110.671053,3216.306086,4920.000000,125.031766,220.000000
2000, 雲林縣,20.000000,386.000000,19.300000,43695887.000000,38247699.000000,87.531577,99087.303109,3570.970934,2776.000000,45.983104,207.000000
2000, 嘉義縣,18.000000,278.000000,15.444444,59099496.000000,49491027.000000,83.741877,178025.276978,3039.213231,-,-,278.000000
2000, 屏東縣,33.000000,428.000000,12.969697,170872584.000000,139412113.000000,81.588345,325729.235981,2203.012041,3887.000000,57.988960,371.000000
2000, 臺東縣,16.000000,123.000000,7.687500,28396878.000000,21232135.000000,74.769258,172618.983740,3899.472356,1008.000000,45.344130,89.000000
2000, 花蓮縣,13.000000,150.000000,11.538462,42293400.000000,37707300.000000,89.156464,251382.000000,2959.682589,2019.000000,67.389853,139.000000
2000, 澎湖縣,6.000000,83.000000,13.833333,52311692.000000,37092674.000000,70.907043,446899.686747,10901.623195,327.000000,43.775100,79.000000
2000, 基隆市,7.000000,122.000000,17.428571,40499614.000000,28636050.000000,70.706970,234721.721311,6142.076489,3737.000000,159.564475,122.000000
2000, 新竹市,3.000000,87.000000,29.000000,20536832.000000,11916000.000000,58.022581,136965.517241,3981.292765,1900.000000,91.346154,87.000000
2000, 嘉義市,2.000000,22.000000,11.000000,6107754.000000,4534954.000000,74.249127,206134.272727,2305.748310,2777.000000,182.577252,15.000000
2000, 金門縣,6.000000,44.000000,7.333333,-,-,-,-,25388.122901,72.000000,20.512821,-
2000, 連江縣,4.000000,-,-,-,-,-,-,28586.204297,-,-,-
2001, 總計,369.000000,5584.000000,15.132791,1588272516.000000,1127676259.000000,71.000175,201947.754119,4768.978010,90597.000000,70.974641,4357.000000
2001, 臺灣地區,359.000000,5534.000000,15.415042,1579108158.000000,1125201259.000000,71.255490,203325.128117,4720.989375,90574.000000,71.165133,4357.000000
2001, 新北市,29.000000,372.000000,12.827586,238952592.000000,165193762.000000,69.132442,444069.252688,1383.532075,8097.000000,53.732829,475.000000
2001, 臺北市,12.000000,297.000000,24.750000,38947329.000000,19720510.000000,50.633793,66399.023569,8550.405698,13817.000000,103.599010,214.000000
2001, 桃園市,13.000000,223.000000,17.153846,101457182.000000,75171198.000000,74.091549,337090.573991,2339.951024,6867.000000,82.804775,254.000000
2001, 臺中市,29.000000,414.000000,14.275862,132779715.000000,52628966.000000,39.636300,127123.106280,7069.455199,10247.000000,89.135351,298.000000
2001, 臺南市,38.000000,587.000000,15.447368,157520920.000000,94833670.000000,60.203857,161556.507666,2314.506121,8408.000000,72.221268,477.000000
2001, 高雄市,38.000000,624.000000,16.421053,116581447.000000,75140477.000000,64.453203,120417.431090,3293.886285,12453.000000,80.383424,276.000000
2001, 宜蘭縣,12.000000,208.000000,17.333333,148676522.000000,122820340.000000,82.609102,590482.403846,2778.147876,1890.000000,59.829060,142.000000
2001, 新竹縣,13.000000,158.000000,12.153846,59754298.000000,43604870.000000,72.973613,275980.189873,5942.375563,878.000000,30.391139,127.000000
2001, 苗栗縣,18.000000,264.000000,14.666667,70152885.000000,52845474.000000,75.329010,200172.250000,2879.380690,1633.000000,41.936312,157.000000
2001, 彰化縣,26.000000,450.000000,17.307692,49202658.000000,29609636.000000,60.178936,65799.191111,2167.871901,-,-,339.000000
2001, 南投縣,13.000000,237.000000,18.230769,80888604.000000,77719813.000000,96.082525,327931.700422,34230.358470,5235.000000,131.698113,232.000000
2001, 雲林縣,20.000000,389.000000,19.450000,43695887.000000,38247699.000000,87.531577,98323.133676,4202.548876,2965.000000,49.056916,203.000000
2001, 嘉義縣,18.000000,285.000000,15.833333,64613122.000000,56467015.000000,87.392488,198129.877193,4087.855233,-,-,285.000000
2001, 屏東縣,33.000000,432.000000,13.090909,98321508.000000,78535308.000000,79.876021,181794.694444,2948.136276,4417.000000,63.599712,367.000000
2001, 臺東縣,16.000000,123.000000,7.687500,46531071.000000,40346435.000000,86.708589,328019.796748,4328.981638,1110.000000,47.886109,89.000000
2001, 花蓮縣,13.000000,150.000000,11.538462,32112175.000000,29640633.000000,92.303411,197604.220000,4082.638033,2382.000000,74.460769,137.000000
2001, 澎湖縣,6.000000,83.000000,13.833333,40518034.000000,33461025.000000,82.583042,403144.879518,11141.755243,432.000000,56.992084,79.000000
2001, 基隆市,7.000000,124.000000,17.714286,36179015.000000,24831440.000000,68.634926,200253.548387,6066.788043,3700.000000,155.201342,107.000000
2001, 新竹市,3.000000,88.000000,29.333333,17548057.000000,11042000.000000,62.924345,125477.272727,2832.806865,2268.000000,113.855422,83.000000
2001, 嘉義市,2.000000,26.000000,13.000000,4675137.000000,3340988.000000,71.462890,128499.538462,3160.381597,3775.000000,248.191979,16.000000
2001, 金門縣,6.000000,50.000000,8.333333,9164358.000000,2475000.000000,27.006802,49500.000000,20941.402654,23.000000,7.033639,-
2001, 連江縣,4.000000,-,-,-,-,-,-,26998.716632,-,-,-
2002, 總計,369.000000,5735.000000,15.542005,1326679676.000000,852589255.000000,64.264892,148664.211857,3315.695085,95521.000000,74.256818,4243.000000
2002, 臺灣地區,359.000000,5673.000000,15.802228,1323417722.000000,850284991.000000,64.249177,149882.776485,3272.536845,95474.000000,74.459921,4241.000000
2002, 新北市,29.000000,377.000000,13.000000,225276577.000000,156348954.000000,69.403112,414718.710875,1346.896961,8904.000000,58.010294,457.000000
2002, 臺北市,12.000000,316.000000,26.333333,30514065.000000,13747550.000000,45.053158,43504.905063,8182.986084,14191.000000,104.947493,119.000000
2002, 桃園市,13.000000,225.000000,17.307692,87730980.000000,51412896.000000,58.602897,228501.760000,1738.217206,7247.000000,85.439755,273.000000
2002, 臺中市,29.000000,432.000000,14.896552,110016307.000000,39919908.000000,36.285446,92407.194444,1856.264027,10878.000000,93.014109,399.000000
2002, 臺南市,38.000000,599.000000,15.763158,105025147.000000,54031117.000000,51.445886,90202.198664,1890.337693,9260.000000,78.607810,491.000000
2002, 高雄市,38.000000,662.000000,17.421053,93832814.000000,62269650.000000,66.362339,94062.915408,3549.490713,13530.000000,85.519247,263.000000
2002, 宜蘭縣,12.000000,211.000000,17.583333,134748427.000000,75954418.000000,56.367573,359973.545024,2247.885270,2055.000000,62.595187,157.000000
2002, 新竹縣,13.000000,159.000000,12.230769,59886150.000000,44476264.000000,74.268030,279724.930818,6523.484976,996.000000,36.310609,129.000000
2002, 苗栗縣,18.000000,266.000000,14.777778,93387058.000000,67528267.000000,72.310091,253865.665414,2858.540083,1732.000000,43.792668,211.000000
2002, 彰化縣,26.000000,463.000000,17.807692,68176333.000000,49096054.000000,72.013339,106038.993521,1872.232739,-,-,232.000000
2002, 南投縣,13.000000,239.000000,18.384615,26262852.000000,23122452.000000,88.042426,96746.661088,4030.320097,5531.000000,138.102372,224.000000
2002, 雲林縣,20.000000,392.000000,19.600000,29618109.000000,24696806.000000,83.384142,63002.056122,3175.156204,3178.000000,53.108289,151.000000
2002, 嘉義縣,18.000000,287.000000,15.944444,39382766.000000,32841215.000000,83.389813,114429.320557,4024.600292,-,-,287.000000
2002, 屏東縣,33.000000,437.000000,13.242424,83748312.000000,61331375.000000,73.232969,140346.395881,3110.900216,4624.000000,66.532374,361.000000
2002, 臺東縣,16.000000,127.000000,7.937500,19125638.000000,10483368.000000,54.813168,82546.204724,5830.880291,1149.000000,48.852041,102.000000
2002, 花蓮縣,13.000000,151.000000,11.615385,35218503.000000,32173303.000000,91.353409,213068.231788,4121.410534,2388.000000,77.683800,118.000000
2002, 澎湖縣,6.000000,84.000000,14.000000,34503922.000000,28929853.000000,83.845115,344403.011905,10101.410830,478.000000,63.648469,78.000000
2002, 基隆市,7.000000,126.000000,18.000000,18916546.000000,8824746.000000,46.650937,70037.666667,5381.428805,3231.000000,130.492730,83.000000
2002, 新竹市,3.000000,92.000000,30.666667,14646670.000000,8522000.000000,58.183874,92630.434783,4232.968529,2500.000000,129.332644,90.000000
2002, 嘉義市,2.000000,28.000000,14.000000,13400546.000000,4574795.000000,34.138870,163385.535714,2623.955962,3602.000000,244.701087,16.000000
2002, 金門縣,6.000000,62.000000,10.333333,3261954.000000,2304264.000000,70.640604,37165.548387,17147.267691,47.000000,12.771739,2.000000
2002, 連江縣,4.000000,-,-,-,-,-,-,22063.472238,-,-,-
2003, 總計,369.000000,5960.000000,16.151762,1459376050.000000,1037094452.000000,71.064237,174009.136242,3287.839029,101294.000000,77.441304,4084.000000
2003, 臺灣地區,359.000000,5880.000000,16.378830,1456059674.000000,1034185052.000000,71.026282,175881.811565,3240.854346,101242.000000,77.630641,4079.000000
2003, 新北市,29.000000,392.000000,13.517241,204092273.000000,149875139.000000,73.434989,382334.538265,1566.718352,9644.000000,59.844865,323.000000
2003, 臺北市,12.000000,346.000000,28.833333,28170863.000000,11516552.000000,40.881076,33284.832370,7632.006034,15335.000000,111.308703,86.000000
2003, 桃園市,13.000000,225.000000,17.307692,93278047.000000,68263854.000000,73.183194,303394.906667,1486.010649,7529.000000,86.789625,230.000000
2003, 臺中市,29.000000,484.000000,16.689655,129352710.000000,62302054.000000,48.164475,128723.252066,1979.122943,11864.000000,97.477611,415.000000
2003, 臺南市,38.000000,610.000000,16.052632,139150685.000000,82455982.000000,59.256612,135173.740984,2240.981903,9886.000000,82.109635,469.000000
2003, 高雄市,38.000000,694.000000,18.263158,139321857.000000,98455097.000000,70.667373,141866.134006,3503.659200,13856.000000,86.632487,293.000000
2003, 宜蘭縣,12.000000,216.000000,18.000000,89704636.000000,74306491.000000,82.834616,344011.532407,2355.295280,2129.000000,68.588918,130.000000
2003, 新竹縣,13.000000,163.000000,12.538462,66523104.000000,46708484.000000,70.213927,286555.116564,6775.491630,1136.000000,41.734019,130.000000
2003, 苗栗縣,18.000000,275.000000,15.277778,110799082.000000,76552651.000000,69.091413,278373.276364,3008.548868,1627.000000,41.717949,218.000000
2003, 彰化縣,26.000000,471.000000,18.115385,82464391.000000,68117965.000000,82.602884,144624.129512,2186.058614,-,-,320.000000
2003, 南投縣,13.000000,247.000000,19.000000,27320555.000000,22579942.000000,82.648182,91416.769231,3306.702758,5952.000000,149.023535,204.000000
2003, 雲林縣,20.000000,395.000000,19.750000,41462203.000000,30911753.000000,74.554053,78257.602532,3121.351205,3258.000000,55.295316,123.000000
2003, 嘉義縣,18.000000,287.000000,15.944444,57786470.000000,51125229.000000,88.472663,178136.686411,4303.267534,-,-,287.000000
2003, 屏東縣,33.000000,443.000000,13.424242,81144911.000000,62886154.000000,77.498580,141955.200903,2870.503605,5067.000000,70.996217,366.000000
2003, 臺東縣,16.000000,129.000000,8.062500,26085257.000000,16884746.000000,64.729077,130889.503876,5356.554035,1215.000000,52.872063,106.000000
2003, 花蓮縣,13.000000,154.000000,11.846154,27119618.000000,23575256.000000,86.930634,153086.077922,4326.094128,2348.000000,75.668708,115.000000
2003, 澎湖縣,6.000000,84.000000,14.000000,62229089.000000,53639309.000000,86.196520,638563.202381,10475.292232,672.000000,89.719626,80.000000
2003, 基隆市,7.000000,135.000000,19.285714,20678290.000000,13807464.000000,66.772755,102277.511111,4310.313235,3292.000000,133.712429,98.000000
2003, 新竹市,3.000000,98.000000,32.666667,24131763.000000,15994930.000000,66.281647,163213.571429,4164.824720,2604.000000,132.586558,69.000000
2003, 嘉義市,2.000000,32.000000,16.000000,5243870.000000,4226000.000000,80.589336,132062.500000,2548.371073,3828.000000,250.196078,17.000000
2003, 金門縣,6.000000,70.000000,11.666667,3316376.000000,2909400.000000,87.728291,41562.857143,17956.169319,52.000000,15.116279,5.000000
2003, 連江縣,4.000000,10.000000,2.500000,-,-,-,-,23480.903865,-,-,-
2004, 總計,368.000000,6047.000000,16.432065,1479219462.000000,1058246214.000000,71.540853,175003.508186,3386.581728,106530.000000,78.857371,3898.000000
2004, 臺灣地區,358.000000,5962.000000,16.653631,1468261451.000000,1053037344.000000,71.720016,176624.848038,3331.228781,106484.000000,79.070320,3893.000000
2004, 新北市,29.000000,384.000000,13.241379,247766627.000000,183212163.000000,73.945456,477115.007812,2032.307636,9478.000000,57.842060,379.000000
2004, 臺北市,12.000000,352.000000,29.333333,36171610.000000,24145135.000000,66.751618,68594.133523,6479.204360,16636.000000,118.692922,79.000000
2004, 桃園市,13.000000,227.000000,17.461538,87633424.000000,57878348.000000,66.045974,254970.696035,1766.991628,7697.000000,84.759388,271.000000
2004, 臺中市,29.000000,505.000000,17.413793,101239065.000000,46608373.000000,46.037933,92293.807921,2222.420022,12659.000000,100.500159,326.000000
2004, 臺南市,37.000000,617.000000,16.675676,149315009.000000,94304522.000000,63.158100,152843.633712,2501.330624,10495.000000,85.582647,427.000000
2004, 高雄市,38.000000,696.000000,18.315789,91515155.000000,59341824.000000,64.843712,85261.241379,3731.918673,14388.000000,87.268757,233.000000
2004, 宜蘭縣,12.000000,220.000000,18.333333,110042821.000000,77336600.000000,70.278642,351530.000000,3319.697787,2205.000000,69.756406,105.000000
2004, 新竹縣,13.000000,166.000000,12.769231,71563290.000000,46510874.000000,64.992644,280185.987952,7107.388512,1403.000000,48.031496,135.000000
2004, 苗栗縣,18.000000,272.000000,15.111111,101327186.000000,75584170.000000,74.594167,277882.977941,3350.040034,1586.000000,38.006231,187.000000
2004, 彰化縣,26.000000,485.000000,18.653846,105433899.000000,82076510.000000,77.846414,169229.917526,2155.276934,-,-,287.000000
2004, 南投縣,13.000000,249.000000,19.153846,27386426.000000,22123810.000000,80.783853,88850.642570,3574.362492,6149.000000,149.574313,211.000000
2004, 雲林縣,20.000000,398.000000,19.900000,22336602.000000,17538578.000000,78.519454,44066.778894,3540.200085,3834.000000,60.349441,143.000000
2004, 嘉義縣,18.000000,304.000000,16.888889,81880575.000000,71027461.000000,86.745191,233642.963816,4965.350488,-,-,266.000000
2004, 屏東縣,33.000000,440.000000,13.333333,81585857.000000,66012024.000000,80.911112,150027.327273,2921.295298,5645.000000,76.760946,376.000000
2004, 臺東縣,16.000000,133.000000,8.312500,14586200.000000,12728600.000000,87.264675,95703.759398,5580.907050,1330.000000,55.835432,65.000000
2004, 花蓮縣,13.000000,157.000000,12.076923,38878321.000000,37532097.000000,96.537340,239057.942675,4836.033386,2638.000000,84.741407,146.000000
2004, 澎湖縣,6.000000,85.000000,14.166667,55536831.000000,50289938.000000,90.552408,591646.329412,9275.099016,541.000000,64.175563,78.000000
2004, 基隆市,7.000000,137.000000,19.571429,20484425.000000,12818515.000000,62.576885,93565.802920,4242.830869,3442.000000,134.610872,88.000000
2004, 新竹市,3.000000,99.000000,33.000000,18912000.000000,12376042.000000,65.440154,125010.525253,3204.439324,2612.000000,127.414634,74.000000
2004, 嘉義市,2.000000,36.000000,18.000000,4666128.000000,3591760.000000,76.975171,99771.111111,2225.997574,3746.000000,226.481258,17.000000
2004, 金門縣,6.000000,70.000000,11.666667,10958011.000000,5208870.000000,47.534813,74412.428571,20738.669792,46.000000,12.365591,5.000000
2004, 連江縣,4.000000,15.000000,3.750000,-,-,-,-,21143.627856,-,-,-
2005, 總計,368.000000,6150.000000,16.711957,1712012710.000000,1197727624.000000,69.960206,194752.459187,3798.903002,114142.000000,81.882093,4073.000000
2005, 臺灣地區,358.000000,6054.000000,16.910615,1695174013.000000,1195205721.000000,70.506373,197424.136274,3750.414705,114085.000000,82.120440,4068.000000
2005, 新北市,29.000000,393.000000,13.551724,248109225.000000,176628049.000000,71.189634,449435.239186,1856.908522,10682.000000,62.916716,349.000000
2005, 臺北市,12.000000,359.000000,29.916667,27767627.000000,15197837.000000,54.732214,42333.807799,8306.836981,16921.000000,116.567925,99.000000
2005, 桃園市,13.000000,227.000000,17.461538,117723060.000000,70929246.000000,60.250936,312463.638767,1968.444384,8095.000000,85.906824,252.000000
2005, 臺中市,29.000000,516.000000,17.793103,132785268.000000,51264420.000000,38.607009,99349.651163,2236.853590,13709.000000,105.453846,336.000000
2005, 臺南市,37.000000,625.000000,16.891892,151105350.000000,106022142.000000,70.164387,169635.427200,2758.150981,11628.000000,89.770709,498.000000
2005, 高雄市,38.000000,710.000000,18.684211,159309035.000000,107213995.000000,67.299381,151005.626761,4709.841877,15005.000000,88.399906,270.000000
2005, 宜蘭縣,12.000000,226.000000,18.833333,173575378.000000,138693105.000000,79.903674,613686.305310,3970.861764,2281.000000,70.816517,153.000000
2005, 新竹縣,13.000000,171.000000,13.153846,107642030.000000,62706484.000000,58.254646,366704.584795,7054.608682,1501.000000,48.356959,129.000000
2005, 苗栗縣,18.000000,272.000000,15.111111,94811254.000000,78056795.000000,82.328618,286973.511029,3484.193552,1594.000000,37.444210,190.000000
2005, 彰化縣,26.000000,495.000000,19.038462,88442313.000000,70541684.000000,79.760108,142508.452525,2391.892693,-,-,335.000000
2005, 南投縣,13.000000,251.000000,19.307692,42068067.000000,37087929.000000,88.161714,147760.673307,3738.102477,6853.000000,166.739659,213.000000
2005, 雲林縣,20.000000,402.000000,20.100000,22376663.000000,17247821.000000,77.079505,42905.027363,3532.839218,4223.000000,66.191223,142.000000
2005, 嘉義縣,18.000000,305.000000,16.944444,108226691.000000,85521879.000000,79.021061,280399.603279,5314.850888,-,-,266.000000
2005, 屏東縣,33.000000,445.000000,13.484848,82126655.000000,67355217.000000,82.013832,151360.038202,3187.243362,6018.000000,79.529536,379.000000
2005, 臺東縣,16.000000,135.000000,8.437500,15497692.000000,14148680.000000,91.295401,104805.037037,5623.993357,1428.000000,58.789625,62.000000
2005, 花蓮縣,13.000000,159.000000,12.230769,33412469.000000,31501198.000000,94.279767,198120.742138,5072.509466,2754.000000,84.738462,130.000000
2005, 澎湖縣,6.000000,85.000000,14.166667,31176263.000000,26372725.000000,84.592323,310267.352941,9797.262028,464.000000,61.702128,83.000000
2005, 基隆市,7.000000,138.000000,19.714286,17761526.000000,11261684.000000,63.404935,81606.405797,4684.875214,3821.000000,144.734848,97.000000
2005, 新竹市,3.000000,102.000000,34.000000,34906852.000000,22262115.000000,63.775774,218256.029412,3980.235121,3143.000000,145.846868,66.000000
2005, 嘉義市,2.000000,38.000000,19.000000,6350595.000000,5192716.000000,81.767393,136650.421053,2531.062169,3965.000000,246.733043,19.000000
2005, 金門縣,6.000000,78.000000,13.000000,16838697.000000,2521903.000000,14.976830,32332.089744,17481.962589,57.000000,13.571429,5.000000
2005, 連江縣,4.000000,18.000000,4.500000,-,-,-,-,21733.556638,-,-,-
2006, 總計,368.000000,6275.000000,17.051630,1585934873.000000,1023565380.000000,64.540190,163117.988845,3749.119886,117044.000000,86.163767,3998.000000
2006, 臺灣地區,358.000000,6176.000000,17.251397,1577035628.000000,1019377091.000000,64.638812,165054.580797,3710.092501,116983.000000,86.428719,3988.000000
2006, 新北市,29.000000,400.000000,13.793103,220403413.000000,162691350.000000,73.815259,406728.375000,1858.317390,10792.000000,65.469546,478.000000
2006, 臺北市,12.000000,370.000000,30.833333,31726841.000000,16497248.000000,51.997764,44587.156757,8174.079381,18140.000000,129.469702,136.000000
