"年度","縣市","鄉鎮市區數","社區發展協會數","平均每一鄉鎮市區擁有社區發展協會數","社區發展工作實際使用經費","社區發展工作實際使用經費之政府補助款","政府補助經費占社區全部使用經費比率","平均每一社區發展協會接受政府補助經費","平均每人政府社會福利支出淨額","遺體火化數量","火葬人數占死亡人口比率","社區發展媽媽教室班數"
1998, 總計,369.000000,4968.000000,13.463415,1584526214.000000,1242237650.000000,78.398050,250047.836151,3628.959420,71532.000000,58.071115,4212.000000
1998, 臺灣地區,359.000000,4968.000000,13.838440,1584526214.000000,1242237650.000000,78.398050,250047.836151,3599.361233,71532.000000,58.247968,4212.000000
1998, 新北市,29.000000,358.000000,12.344828,173959290.000000,110000264.000000,63.233337,307263.307263,2985.392181,7088.000000,49.079075,335.000000
1998, 臺北市,12.000000,256.000000,21.333333,48347093.000000,27305801.000000,56.478682,106663.285156,9688.255968,10838.000000,87.586876,213.000000
1998, 桃園市,13.000000,206.000000,15.846154,60068831.000000,47812585.000000,79.596330,232099.927184,3367.700820,5395.000000,70.156047,207.000000
1998, 臺中市,29.000000,350.000000,12.068966,162863000.000000,121192000.000000,74.413464,346262.857143,1839.285619,8278.000000,73.211285,341.000000
1998, 臺南市,38.000000,490.000000,12.894737,121302000.000000,88692000.000000,73.116684,181004.081633,2572.460706,6309.000000,55.395557,441.000000
1998, 高雄市,38.000000,522.000000,13.736842,82987000.000000,68390000.000000,82.410498,131015.325670,3233.481608,9978.000000,68.951696,453.000000
1998, 宜蘭縣,12.000000,191.000000,15.916667,130779000.000000,103881000.000000,79.432478,543879.581152,2433.018957,368.000000,11.810013,179.000000
1998, 新竹縣,13.000000,155.000000,11.923077,40886000.000000,32521000.000000,79.540674,209812.903226,6247.178926,702.000000,26.233184,116.000000
1998, 苗栗縣,18.000000,237.000000,13.166667,104426000.000000,79723000.000000,76.344014,336383.966245,3087.270426,1569.000000,40.168971,160.000000
1998, 彰化縣,26.000000,410.000000,15.769231,212744000.000000,187191000.000000,87.988850,456563.414634,1197.311102,-,-,247.000000
1998, 南投縣,13.000000,212.000000,16.307692,47450000.000000,34450000.000000,72.602740,162500.000000,4592.296257,4239.000000,107.126611,212.000000
1998, 雲林縣,20.000000,367.000000,18.350000,72211000.000000,66490000.000000,92.077384,181171.662125,1583.059231,1872.000000,32.049307,217.000000
1998, 嘉義縣,18.000000,255.000000,14.166667,48636000.000000,43453000.000000,89.343285,170403.921569,2738.685197,-,-,255.000000
1998, 屏東縣,33.000000,408.000000,12.363636,83771000.000000,68315000.000000,81.549701,167438.725490,2356.533923,3746.000000,54.039238,301.000000
1998, 臺東縣,16.000000,115.000000,7.187500,47383000.000000,40368000.000000,85.195112,351026.086957,3805.809270,996.000000,40.177491,112.000000
1998, 花蓮縣,13.000000,148.000000,11.384615,57558000.000000,55534000.000000,96.483547,375229.729730,2412.280223,2163.000000,67.784394,139.000000
1998, 澎湖縣,6.000000,82.000000,13.666667,36042000.000000,31723000.000000,88.016758,386865.853659,5213.296029,-,-,81.000000
1998, 基隆市,7.000000,120.000000,17.142857,29449000.000000,22508000.000000,76.430439,187566.666667,4647.382035,3384.000000,148.943662,121.000000
1998, 新竹市,3.000000,67.000000,22.333333,20036000.000000,9992000.000000,49.870234,149134.328358,1585.681574,1738.000000,89.912054,64.000000
1998, 嘉義市,2.000000,19.000000,9.500000,3628000.000000,2696000.000000,74.310915,141894.736842,1778.095363,2869.000000,190.000000,18.000000
1998, 金門縣,6.000000,-,-,-,-,-,-,14775.148940,-,-,-
1998, 連江縣,4.000000,-,-,-,-,-,-,16506.112105,-,-,-
1999, 總計,369.000000,5245.000000,14.214092,1983679225.000000,1470013313.000000,74.105394,280269.459104,3745.150361,78680.000000,62.388493,4334.000000
1999, 臺灣地區,359.000000,5209.000000,14.509749,1983679225.000000,1470013313.000000,74.105394,282206.433672,3710.404668,78665.000000,62.579552,4334.000000
1999, 新北市,29.000000,366.000000,12.620690,155618187.000000,113626000.000000,73.015887,310453.551913,2848.651090,7021.000000,48.059415,335.000000
1999, 臺北市,12.000000,258.000000,21.500000,63065091.000000,14985395.000000,23.761791,58082.926357,10569.249973,12485.000000,98.547636,260.000000
1999, 桃園市,13.000000,212.000000,16.307692,104528979.000000,83213954.000000,79.608502,392518.650943,3151.583608,5892.000000,75.490070,285.000000
1999, 臺中市,29.000000,387.000000,13.344828,132193136.000000,91575824.000000,69.274265,236630.036176,1619.783251,9772.000000,79.434238,372.000000
1999, 臺南市,38.000000,544.000000,14.315789,213134942.000000,142566480.000000,66.890243,262070.735294,2630.926998,7222.000000,62.854656,479.000000
1999, 高雄市,38.000000,537.000000,14.131579,155910672.000000,109817553.000000,70.436200,204501.960894,3205.332453,10454.000000,70.208193,335.000000
1999, 宜蘭縣,12.000000,198.000000,16.500000,202767095.000000,183714008.000000,90.603462,927848.525253,2556.390477,1461.000000,46.204934,141.000000
1999, 新竹縣,13.000000,157.000000,12.076923,51009021.000000,32998917.000000,64.692316,210184.184713,6381.190509,788.000000,29.174380,131.000000
1999, 苗栗縣,18.000000,254.000000,14.111111,74737686.000000,59988694.000000,80.265656,236175.960630,4654.104157,1552.000000,41.331558,161.000000
1999, 彰化縣,26.000000,438.000000,16.846154,231799697.000000,127730466.000000,55.103811,291622.068493,989.787406,-,-,327.000000
1999, 南投縣,13.000000,215.000000,16.538462,27900000.000000,21400000.000000,76.702509,99534.883721,3365.598228,4213.000000,89.107445,212.000000
1999, 雲林縣,20.000000,375.000000,18.750000,94752087.000000,88509759.000000,93.411936,236026.024000,2116.438096,1872.000000,30.291262,205.000000
1999, 嘉義縣,18.000000,272.000000,15.111111,36267598.000000,31543792.000000,86.975134,115969.823529,3342.433932,-,-,272.000000
1999, 屏東縣,33.000000,423.000000,12.818182,172958665.000000,140266953.000000,81.098541,331600.361702,1826.473661,3746.000000,53.907037,326.000000
1999, 臺東縣,16.000000,119.000000,7.437500,60275783.000000,53924383.000000,89.462766,453146.075630,3532.143628,996.000000,42.875592,105.000000
1999, 花蓮縣,13.000000,149.000000,11.461538,49361160.000000,45761160.000000,92.706816,307121.879195,2279.616427,2204.000000,71.005155,139.000000
1999, 澎湖縣,6.000000,82.000000,13.666667,74635728.000000,66858779.000000,89.580126,815350.963415,8140.006247,150.000000,19.762846,80.000000
1999, 基隆市,7.000000,122.000000,17.428571,59906399.000000,48374180.000000,80.749604,396509.672131,5807.305159,4022.000000,172.766323,57.000000
1999, 新竹市,3.000000,82.000000,27.333333,19589771.000000,10243916.000000,52.292168,124925.804878,3145.323793,1900.000000,96.544715,94.000000
1999, 嘉義市,2.000000,19.000000,9.500000,3267528.000000,2913100.000000,89.153023,153321.052632,1592.813258,2915.000000,192.028986,18.000000
1999, 金門縣,6.000000,36.000000,6.000000,-,-,-,-,16729.806593,15.000000,4.109589,-
1999, 連江縣,4.000000,-,-,-,-,-,-,17558.872545,-,-,-
2000, 總計,369.000000,5497.000000,14.897019,1896839290.000000,1419999428.000000,74.861346,258322.617428,4770.066084,83901.000000,66.610299,4326.000000
2000, 臺灣地區,359.000000,5453.000000,15.189415,1896839290.000000,1419999428.000000,74.861346,260407.010453,4713.852594,83829.000000,66.758780,4326.000000
2000, 新北市,29.000000,370.000000,12.758621,317830341.000000,225496598.000000,70.948732,609450.264865,2422.252912,7000.000000,46.465317,458.000000
2000, 臺北市,12.000000,279.000000,23.250000,41929266.000000,16061810.000000,38.306919,57569.211470,16110.423402,13246.000000,101.978597,217.000000
2000, 桃園市,13.000000,219.000000,16.846154,128528977.000000,89958973.000000,69.991200,410771.566210,2731.203427,6699.000000,81.288679,248.000000
