"年度","縣市","違反戶籍法令件數","平均每百萬人違反戶籍法令件數","調解委員會調解成立案件數","調解委員會調解結案件數","調解委員會受理調解案件調解成立比率","平均每一公教人員服務人口數"
1998, 總計,21024.000000,962.826798,61282.000000,85631.000000,71.570000,74.747472
1998, 臺灣地區,20972.000000,963.030149,61235.000000,85529.000000,71.600000,75.022043
1998, 新北市,2008.000000,583.707440,8563.000000,12391.000000,69.110000,98.837928
1998, 臺北市,2342.000000,894.160695,1974.000000,4602.000000,42.890000,46.374111
1998, 桃園市,1123.000000,687.806140,3822.000000,5264.000000,72.610000,100.217555
1998, 臺中市,2561.000000,1081.711453,5471.000000,7423.000000,73.700000,93.775485
1998, 臺南市,2435.000000,1339.323529,5429.000000,7344.000000,73.920000,84.450408
1998, 高雄市,2537.000000,947.937069,5296.000000,8442.000000,62.730000,68.594231
1998, 宜蘭縣,501.000000,1074.842045,1363.000000,2111.000000,64.570000,70.410857
1998, 新竹縣,192.000000,451.923677,768.000000,1235.000000,62.190000,75.282322
1998, 苗栗縣,271.000000,483.841307,1493.000000,2201.000000,67.830000,78.050746
1998, 彰化縣,2258.000000,1737.450326,7625.000000,8957.000000,85.130000,87.147918
1998, 南投縣,396.000000,724.889047,1805.000000,2568.000000,70.290000,65.887025
1998, 雲林縣,951.000000,1267.232902,6270.000000,7513.000000,83.460000,80.884989
1998, 嘉義縣,612.000000,1079.909796,2538.000000,3183.000000,79.740000,74.981180
1998, 屏東縣,896.000000,982.292425,3081.000000,4930.000000,62.490000,77.315106
1998, 臺東縣,725.000000,2883.053412,496.000000,913.000000,54.330000,48.834896
1998, 花蓮縣,80.000000,223.877047,868.000000,1434.000000,60.530000,62.049939
1998, 澎湖縣,86.000000,952.212233,103.000000,217.000000,47.470000,33.257621
1998, 基隆市,337.000000,885.109155,893.000000,1068.000000,83.610000,77.445886
1998, 新竹市,224.000000,632.729933,780.000000,963.000000,81.000000,85.103440
1998, 嘉義市,437.000000,1662.001400,2597.000000,2770.000000,93.750000,89.018613
1998, 金門縣,52.000000,1018.210300,42.000000,83.000000,50.600000,36.367521
1998, 連江縣,-,-,5.000000,19.000000,26.320000,15.159453
1999, 總計,18111.000000,822.834967,73513.000000,99105.000000,74.180000,74.765767
1999, 臺灣地區,18059.000000,822.640315,73452.000000,99013.000000,74.180000,75.010965
1999, 新北市,2263.000000,649.303978,11079.000000,15295.000000,72.440000,99.470677
1999, 臺北市,2555.000000,967.573781,1973.000000,4697.000000,42.010000,48.490243
