"年度","縣市","低收入戶人口數","低收入戶人口數占該縣(市)人口比率","急難救助人次","急難救助金額","接受急難救助平均每一人次金額","急難救助金額占總決算比率","醫療補助人次","醫療補助金額","接受醫療補助平均每一人次金額","醫療補助金額占該縣(市)總決算比率","災害救助受災人數","災害救助金額","災害救助金額占總決算比率"
1998, 臺東縣,6330.000000,2.530000,2663.000000,7272089.000000,2730.788209,0.068701,137.000000,3590180.000000,26205.693431,0.033917,-,965000.000000,0.009117
1998, 花蓮縣,4791.000000,1.340000,578.000000,10613900.000000,18363.148789,0.090038,72.000000,2193300.000000,30462.500000,0.018606,13.000000,14458000.000000,0.122647
1998, 澎湖縣,2536.000000,2.830000,586.000000,2098000.000000,3580.204778,0.037204,19.000000,508402.000000,26758.000000,0.009016,-,-,-
1998, 基隆市,1490.000000,0.390000,3267.000000,14896264.000000,4559.615549,0.134393,108.000000,6782663.000000,62802.435185,0.061193,143.000000,44910000.000000,0.405173
1998, 新竹市,686.000000,0.190000,865.000000,3319018.000000,3837.015029,0.041781,15.000000,1195052.000000,79670.133333,0.015044,17.000000,2760000.000000,0.034744
1998, 嘉義市,1453.000000,0.550000,507.000000,1487167.000000,2933.268245,0.023570,30.000000,191687.000000,6389.566667,0.003038,43.000000,3992000.000000,0.063269
1998, 金門縣,1284.000000,2.510000,40.000000,581790.000000,14544.750000,0.011995,4.000000,208557.000000,52139.250000,0.004300,462.000000,3528000.000000,0.072736
1998, 連江縣,42.000000,0.630000,-,-,-,-,-,-,-,-,-,15000.000000,0.001287
1999, 總計,136691.000000,0.620000,42580.000000,235417258.000000,5528.822405,0.036322,10548.000000,102525465.000000,9719.896189,0.015818,10210.000000,29963121848.000000,4.622945
1999, 臺灣地區,135471.000000,0.610000,42538.000000,234786033.000000,5519.442216,0.036610,10541.000000,102435465.000000,9717.812826,0.015973,8838.000000,29956011848.000000,4.671072
1999, 新北市,14386.000000,0.410000,4815.000000,41638178.000000,8647.596677,0.071046,1175.000000,14820953.000000,12613.577021,0.025289,95.000000,279583000.000000,0.477044
1999, 臺北市,19843.000000,0.750000,3702.000000,21585860.000000,5830.864398,0.013302,5252.000000,32606124.000000,6208.325209,0.020094,1351.000000,178732000.000000,0.110145
1999, 桃園市,8444.000000,0.500000,6696.000000,45850038.000000,6847.377240,0.138904,119.000000,1557687.000000,13089.806723,0.004719,12.000000,5505000.000000,0.016678
1999, 臺中市,5352.000000,0.220000,1650.000000,13572077.000000,8225.501212,0.027304,285.000000,5974759.000000,20964.066667,0.012020,1692.000000,12781982000.000000,25.714510
1999, 臺南市,7229.000000,0.390000,3003.000000,12125945.000000,4037.943723,0.026161,1083.000000,13561029.000000,12521.725762,0.029257,16.000000,9825000.000000,0.021197
1999, 高雄市,20150.000000,0.740000,5896.000000,27298998.000000,4630.087856,0.030358,522.000000,2474736.000000,4740.873563,0.002752,528.000000,13485000.000000,0.014996
1999, 宜蘭縣,3938.000000,0.850000,700.000000,2445741.000000,3493.915714,0.018955,165.000000,639994.000000,3878.751515,0.004960,3497.000000,12157000.000000,0.094220
1999, 新竹縣,1635.000000,0.380000,554.000000,3762500.000000,6791.516245,0.029566,24.000000,1097771.000000,45740.458333,0.008626,7.000000,6427000.000000,0.050503
1999, 苗栗縣,2572.000000,0.460000,1088.000000,2777507.000000,2552.855699,0.016605,14.000000,76563.000000,5468.785714,0.000458,22.000000,332304000.000000,1.986658
1999, 彰化縣,6598.000000,0.510000,3457.000000,12748740.000000,3687.804455,0.050417,320.000000,9184263.000000,28700.821875,0.036321,252.000000,446787000.000000,1.766902
1999, 南投縣,5204.000000,0.960000,349.000000,2940000.000000,8424.068768,0.019359,462.000000,2283147.000000,4941.876623,0.015034,1148.000000,15468770000.000000,101.855001
1999, 雲林縣,5769.000000,0.770000,416.000000,3040000.000000,7307.692308,0.015407,502.000000,5771320.000000,11496.653386,0.029250,111.000000,243530000.000000,1.234268
1999, 嘉義縣,4200.000000,0.750000,576.000000,3314600.000000,5754.513889,0.017600,125.000000,1457967.000000,11663.736000,0.007741,12.000000,151091000.000000,0.802254
1999, 屏東縣,11674.000000,1.280000,4190.000000,13180426.000000,3145.686396,0.058307,20.000000,736576.000000,36828.800000,0.003258,6.000000,3355000.000000,0.014842
1999, 臺東縣,6319.000000,2.550000,566.000000,4728854.000000,8354.865724,0.047572,158.000000,2745447.000000,17376.246835,0.027619,3.000000,1285000.000000,0.012927
1999, 花蓮縣,5718.000000,1.610000,379.000000,4987950.000000,13160.817942,0.041583,65.000000,1401358.000000,21559.353846,0.011683,7.000000,4970000.000000,0.041433
1999, 澎湖縣,2617.000000,2.940000,528.000000,1878500.000000,3557.765152,0.031675,9.000000,18925.000000,2102.777778,0.000319,1.000000,200000.000000,0.003372
1999, 基隆市,1608.000000,0.420000,2747.000000,12506246.000000,4552.692392,0.104322,171.000000,5340647.000000,31231.853801,0.044550,25.000000,4177308.000000,0.034845
1999, 新竹市,812.000000,0.220000,957.000000,3372213.000000,3523.733542,0.033382,8.000000,225067.000000,28133.375000,0.002228,7.000000,3310000.000000,0.032766
1999, 嘉義市,1403.000000,0.530000,269.000000,1031660.000000,3835.167286,0.013780,62.000000,461132.000000,7437.612903,0.006159,46.000000,8536540.000000,0.114022
1999, 金門縣,1191.000000,2.300000,40.000000,591225.000000,14780.625000,0.010842,7.000000,90000.000000,12857.142857,0.001650,1372.000000,6932000.000000,0.127116
1999, 連江縣,29.000000,0.440000,2.000000,40000.000000,20000.000000,0.002905,-,-,-,-,-,178000.000000,0.012928
2000, 總計,156134.000000,0.700000,41599.000000,239486894.000000,5757.034881,0.025935,7889.000000,96947380.000000,12288.931424,0.010499,14517.000000,629455638.000000,0.068167
2000, 臺灣地區,154910.000000,0.700000,41554.000000,238901029.000000,5749.170453,0.026114,7883.000000,96659283.000000,12261.738298,0.010566,14516.000000,629425638.000000,0.068801
2000, 新北市,17196.000000,0.480000,5318.000000,40623811.000000,7638.926476,0.042304,684.000000,17744926.000000,25942.874269,0.018479,73.000000,232470000.000000,0.242084
2000, 臺北市,22706.000000,0.860000,5634.000000,26257835.000000,4660.602591,0.010646,4192.000000,22898073.000000,5462.326574,0.009284,653.000000,84255500.000000,0.034160
2000, 桃園市,9571.000000,0.550000,7644.000000,60687000.000000,7939.167975,0.132793,62.000000,1045435.000000,16861.854839,0.002288,73.000000,5504330.000000,0.012044
2000, 臺中市,6056.000000,0.250000,1459.000000,14329295.000000,9821.312543,0.019558,232.000000,7531719.000000,32464.306034,0.010280,91.000000,12385000.000000,0.016905
2000, 臺南市,8007.000000,0.430000,2754.000000,10720284.000000,3892.623094,0.017665,297.000000,4850746.000000,16332.478114,0.007993,14.000000,6287500.000000,0.010361
2000, 高雄市,22431.000000,0.820000,5250.000000,21368535.000000,4070.197143,0.017403,568.000000,3632728.000000,6395.647887,0.002959,452.000000,10795000.000000,0.008792
2000, 宜蘭縣,5054.000000,1.090000,510.000000,1808402.000000,3545.886275,0.010643,82.000000,505659.000000,6166.573171,0.002976,72.000000,8408598.000000,0.049486
2000, 新竹縣,1989.000000,0.450000,356.000000,3025700.000000,8499.157303,0.017970,32.000000,380743.000000,11898.218750,0.002261,-,1625000.000000,0.009651
2000, 苗栗縣,2922.000000,0.520000,1068.000000,3350123.000000,3136.819288,0.015490,14.000000,169332.000000,12095.142857,0.000783,2.000000,1430000.000000,0.006612
2000, 彰化縣,7527.000000,0.570000,2539.000000,10192220.000000,4014.265459,0.030931,377.000000,14754067.000000,39135.456233,0.044776,17.000000,4235960.000000,0.012855
2000, 南投縣,6430.000000,1.190000,528.000000,6292808.000000,11918.196970,0.022216,306.000000,3259675.000000,10652.532680,0.011508,12668.000000,18974400.000000,0.066988
2000, 雲林縣,5846.000000,0.790000,411.000000,4236000.000000,10306.569343,0.017063,624.000000,12741307.000000,20418.761218,0.051324,3.000000,1000000.000000,0.004028
2000, 嘉義縣,4424.000000,0.790000,473.000000,3558904.000000,7524.109937,0.016492,106.000000,2237379.000000,21107.349057,0.010368,5.000000,2577500.000000,0.011944
2000, 屏東縣,13907.000000,1.530000,2749.000000,10156972.000000,3694.787923,0.037274,32.000000,772977.000000,24155.531250,0.002837,-,520000.000000,0.001908
2000, 臺東縣,6842.000000,2.790000,260.000000,2397677.000000,9221.834615,0.019141,90.000000,1975692.000000,21952.133333,0.015772,15.000000,15340000.000000,0.122459
2000, 花蓮縣,6742.000000,1.910000,262.000000,1230400.000000,4696.183206,0.008332,97.000000,1351126.000000,13929.134021,0.009149,339.000000,42491850.000000,0.287731
2000, 澎湖縣,2801.000000,3.130000,557.000000,1662214.000000,2984.226212,0.020254,9.000000,75405.000000,8378.333333,0.000919,-,-,-
2000, 基隆市,1642.000000,0.420000,3178.000000,13317050.000000,4190.387036,0.072901,42.000000,616511.000000,14678.833333,0.003375,37.000000,177465000.000000,0.971493
2000, 新竹市,995.000000,0.270000,451.000000,2710614.000000,6010.230599,0.017962,-,-,-,-,1.000000,390000.000000,0.002584
2000, 嘉義市,1822.000000,0.680000,153.000000,975185.000000,6373.758170,0.009295,37.000000,115783.000000,3129.270270,0.001104,1.000000,3270000.000000,0.031168
2000, 金門縣,1193.000000,2.220000,40.000000,515000.000000,12875.000000,0.007640,6.000000,288097.000000,48016.166667,0.004274,-,-,-
2000, 連江縣,31.000000,0.460000,5.000000,70865.000000,14173.000000,0.003907,-,-,-,-,1.000000,30000.000000,0.001654
2001, 總計,162699.000000,0.730000,39229.000000,214056822.000000,5456.596447,0.030350,9640.000000,101727598.000000,10552.655394,0.014424,1713.000000,968864488.000000,0.137372
2001, 臺灣地區,161814.000000,0.720000,39185.000000,213355060.000000,5444.814597,0.030656,9640.000000,101727598.000000,10552.655394,0.014617,1711.000000,968554488.000000,0.139166
2001, 新北市,18351.000000,0.510000,5317.000000,38322138.000000,7207.473763,0.056892,701.000000,16208251.000000,23121.613409,0.024062,12.000000,4940000.000000,0.007334
2001, 臺北市,24760.000000,0.940000,3571.000000,22744338.000000,6369.178941,0.015189,6118.000000,31910176.000000,5215.785551,0.021310,88.000000,503241250.000000,0.336063
2001, 桃園市,11865.000000,0.670000,6978.000000,40450149.000000,5796.811264,0.124276,18.000000,931601.000000,51755.611111,0.002862,26.000000,20014031.000000,0.061489
2001, 臺中市,6695.000000,0.270000,1882.000000,16427266.000000,8728.621679,0.022450,558.000000,6592560.000000,11814.623656,0.009009,229.000000,32170000.000000,0.043964
2001, 臺南市,7889.000000,0.430000,2530.000000,10122378.000000,4000.939921,0.022212,184.000000,3481816.000000,18922.913043,0.007640,17.000000,52096000.000000,0.114316
2001, 高雄市,18253.000000,0.670000,5711.000000,18990007.000000,3325.163194,0.021719,327.000000,1754575.000000,5365.672783,0.002007,375.000000,11363200.000000,0.012996
2001, 宜蘭縣,3447.000000,0.740000,604.000000,2448307.000000,4053.488411,0.017436,21.000000,462376.000000,22017.904762,0.003293,354.000000,36157500.000000,0.257506
2001, 新竹縣,2195.000000,0.490000,356.000000,2598143.000000,7298.154494,0.018448,14.000000,149900.000000,10707.142857,0.001064,6.000000,2030000.000000,0.014414
2001, 苗栗縣,3011.000000,0.540000,584.000000,2608425.000000,4466.481164,0.014927,11.000000,166269.000000,15115.363636,0.000951,26.000000,11053000.000000,0.063251
2001, 彰化縣,7413.000000,0.560000,2126.000000,8519100.000000,4007.102540,0.027818,259.000000,15174820.000000,58590.038610,0.049551,9.000000,2715000.000000,0.008865
2001, 南投縣,7400.000000,1.370000,548.000000,8192400.000000,14949.635036,0.020930,397.000000,2496424.000000,6288.221662,0.006378,132.000000,62614877.000000,0.159967
2001, 雲林縣,7373.000000,0.990000,601.000000,6195000.000000,10307.820300,0.031678,618.000000,15341304.000000,24824.116505,0.078447,4.000000,1060000.000000,0.005420
