"年度","縣市","婦女福利服務中心","接受緊急生活扶助之人次","每萬名接受緊急生活扶助人次","婦女中途之家、庇護中心收容人次","婦女中途之家、庇護中心收容人次占全縣(市)女性人口比率","平均每一鄉鎮市區媽媽教室班數"
1998, 總計,83.000000,1743.000000,1.639372,579.000000,0.544576,11.414634
1998, 臺灣地區,81.000000,1736.000000,1.637089,579.000000,0.546011,11.732591
1998, 新北市,1.000000,115.000000,0.677377,80.000000,0.471219,11.551724
1998, 臺北市,27.000000,217.000000,1.649559,14.000000,0.106423,17.750000
1998, 桃園市,2.000000,204.000000,2.583240,68.000000,0.861080,15.923077
1998, 臺中市,4.000000,249.000000,2.134372,85.000000,0.728601,11.758621
1998, 臺南市,2.000000,66.000000,0.745556,8.000000,0.090370,11.605263
1998, 高雄市,2.000000,226.000000,1.736034,160.000000,1.229050,11.921053
1998, 宜蘭縣,1.000000,78.000000,3.474302,27.000000,1.202643,14.916667
1998, 新竹縣,15.000000,11.000000,0.545712,12.000000,0.595322,8.923077
1998, 苗栗縣,1.000000,87.000000,3.276694,33.000000,1.242884,8.888889
1998, 彰化縣,1.000000,66.000000,1.055422,11.000000,0.175904,9.500000
1998, 南投縣,15.000000,39.000000,1.496719,17.000000,0.652416,16.307692
1998, 雲林縣,-,29.000000,0.819607,-,-,10.850000
1998, 嘉義縣,-,127.000000,4.748258,-,-,14.166667
1998, 屏東縣,-,34.000000,0.781749,-,-,9.121212
1998, 臺東縣,2.000000,30.000000,2.587188,-,-,7.000000
1998, 花蓮縣,3.000000,84.000000,5.023728,37.000000,2.212833,10.692308
1998, 澎湖縣,2.000000,22.000000,5.120566,6.000000,1.396518,13.500000
1998, 基隆市,-,52.000000,2.814393,9.000000,0.487107,17.285714
1998, 新竹市,2.000000,-,-,7.000000,0.405667,21.333333
1998, 嘉義市,1.000000,-,-,5.000000,0.383415,9.000000
1998, 金門縣,-,7.000000,2.841197,-,-,-
1998, 連江縣,2.000000,-,-,-,-,-
1999, 總計,43.000000,3012.000000,2.806450,545.000000,0.507807,11.745257
1999, 臺灣地區,42.000000,2996.000000,2.798788,545.000000,0.509125,12.072423
1999, 新北市,1.000000,128.000000,0.743259,4.000000,0.023227,11.551724
1999, 臺北市,11.000000,1123.000000,8.443520,110.000000,0.827059,21.666667
1999, 桃園市,2.000000,188.000000,2.321871,42.000000,0.518716,21.923077
1999, 臺中市,5.000000,247.000000,2.082943,49.000000,0.413215,12.827586
1999, 臺南市,3.000000,144.000000,1.616935,4.000000,0.044915,12.605263
1999, 高雄市,5.000000,218.000000,1.658718,165.000000,1.255452,8.815789
1999, 宜蘭縣,2.000000,56.000000,2.496417,12.000000,0.534946,11.750000
1999, 新竹縣,-,26.000000,1.270071,27.000000,1.318920,10.076923
1999, 苗栗縣,1.000000,51.000000,1.921009,11.000000,0.414335,8.944444
1999, 彰化縣,3.000000,114.000000,1.817189,13.000000,0.207223,12.576923
1999, 南投縣,-,37.000000,1.422259,3.000000,0.115318,16.307692
