"年度","縣市","15歲以上不識字人口","15歲以上人口識字率","15歲以上民間人口之教育程度結構-國中及以下","15歲以上民間人口之教育程度結構-高中(職)","15歲以上民間人口之教育程度結構-大專及以上","幼兒園園數","幼兒園班級數","幼兒園教保服務人員數","幼兒園幼生數","平均每校幼生數-幼兒園","平均每班幼生數-幼兒園","平均每一教保服務人員負擔幼生數-幼兒園","國小校數","國小班級數","國小學生數","國小教師數","平均每校學生數-國小","平均每班學生數-國小","平均每一教師教導學生數-國小","國小學生輟學率","國中校數","國中班級數","國中學生數","附設國中部學生數","國中教師數","平均每校學生數-國中","平均每班學生數-國中","平均每一教師教導學生數-國中","國中學生輟學率","高中校數","高中班級數","高中學生數","高中教師數","高職校數","高職班級數","高職學生數","高職教師數","平均每校學生數-高中職","平均每班學生數-高中職","平均每一教師教導學生數-高中職","國小裸視檢查人數","國小學生視力不良數","國中裸視檢查人數","國中學生視力不良數","視力不良率-國小","視力不良率-國中","公立公共圖書館個數","古蹟總數","平均每校學生數-高級中等學校","平均每一教師教導學生數-高級中等學校","高級中等學校校數","高級中等學校班級數","高級中等學校教師數","高級中等學校學生數"
1998, 總計,869625.000000,94.920000,-,-,-,2874.000000,9455.000000,17795.000000,238787.000000,83.085247,25.255103,13.418769,2557.000000,59869.000000,1910681.000000,95029.000000,747.235432,31.914363,20.106294,-,715.000000,27007.000000,1009309.000000,144918.000000,51452.000000,1208.938462,37.372126,16.799949,-,242.000000,7105.000000,311838.000000,27003.000000,201.000000,10854.000000,493055.000000,20402.000000,2144.042889,44.818364,20.036093,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 臺灣地區,862932.000000,94.940000,45.850000,32.980000,21.170000,2849.000000,9385.000000,17705.000000,237225.000000,83.266058,25.277038,13.398757,2530.000000,59640.000000,1905612.000000,94639.000000,753.206324,31.951911,20.135589,-,705.000000,26905.000000,1006093.000000,144918.000000,51214.000000,1221.524823,37.394276,16.815226,-,240.000000,7070.000000,310541.000000,26905.000000,200.000000,10809.000000,491450.000000,20294.000000,2152.065909,44.856592,20.062056,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 新北市,99380.000000,96.300000,44.550000,33.990000,21.460000,332.000000,978.000000,2178.000000,32337.000000,97.400602,33.064417,14.847107,201.000000,9411.000000,321748.000000,14638.000000,1600.736318,34.188503,21.980325,-,58.000000,4230.000000,166269.000000,42179.000000,6879.000000,2139.482759,39.307092,18.038959,-,36.000000,820.000000,34950.000000,4335.000000,17.000000,1144.000000,52124.000000,1753.000000,2438.735849,44.335031,21.230782,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 臺北市,54453.000000,97.410000,29.480000,32.310000,38.210000,409.000000,1517.000000,2517.000000,35390.000000,86.528117,23.328939,14.060389,149.000000,6801.000000,203843.000000,10958.000000,1368.073826,29.972504,18.602208,-,64.000000,3448.000000,112920.000000,16525.000000,7034.000000,1506.171875,32.749420,13.704151,-,41.000000,1534.000000,70804.000000,5385.000000,22.000000,1784.000000,80540.000000,2915.000000,2664.587302,45.613020,20.225181,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 桃園市,59309.000000,95.230000,44.230000,36.670000,19.100000,242.000000,835.000000,1630.000000,18428.000000,76.148760,22.069461,11.305521,154.000000,4629.000000,163569.000000,7285.000000,1062.136364,35.335710,22.452848,-,45.000000,2051.000000,80652.000000,4419.000000,4272.000000,1694.066667,39.323257,17.844803,-,11.000000,403.000000,18230.000000,1325.000000,15.000000,877.000000,41452.000000,1598.000000,2465.423077,46.626562,21.929867,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 臺中市,77971.000000,95.680000,42.000000,35.680000,22.320000,212.000000,834.000000,1710.000000,20503.000000,96.712264,24.583933,11.990058,206.000000,6676.000000,235870.000000,10380.000000,1145.000000,35.331037,22.723507,-,69.000000,3109.000000,122487.000000,11487.000000,6130.000000,1608.695652,39.397555,18.107667,-,20.000000,657.000000,31369.000000,2506.000000,16.000000,1174.000000,58172.000000,2123.000000,2806.333333,48.902785,21.825016,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 臺南市,79868.000000,94.440000,49.250000,30.730000,20.020000,290.000000,953.000000,1710.000000,23230.000000,80.103448,24.375656,13.584795,216.000000,4798.000000,155576.000000,7658.000000,720.259259,32.425177,20.315487,-,59.000000,2224.000000,87154.000000,18296.000000,3937.000000,1167.084746,39.187950,17.489967,-,27.000000,688.000000,29754.000000,2778.000000,20.000000,972.000000,43999.000000,1719.000000,1958.489362,44.429518,20.468979,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 高雄市,109332.000000,94.860000,43.330000,35.920000,20.750000,361.000000,1287.000000,2335.000000,35221.000000,97.565097,27.366744,15.083940,231.000000,6799.000000,224993.000000,10936.000000,973.995671,33.092072,20.573610,-,76.000000,3220.000000,118116.000000,17902.000000,5917.000000,1318.605263,36.681988,16.936623,-,27.000000,982.000000,42285.000000,3334.000000,23.000000,1295.000000,60151.000000,2700.000000,2406.760000,44.987264,19.943321,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 宜蘭縣,26491.000000,92.710000,57.410000,28.580000,14.010000,57.000000,153.000000,321.000000,3864.000000,67.789474,25.254902,12.037383,75.000000,1345.000000,39868.000000,2110.000000,531.573333,29.641636,18.894787,-,24.000000,565.000000,20692.000000,609.000000,1212.000000,836.791667,36.623009,16.570132,-,4.000000,142.000000,6172.000000,357.000000,6.000000,186.000000,8678.000000,537.000000,1545.900000,45.274390,17.291946,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 新竹縣,12920.000000,96.020000,46.040000,35.220000,18.730000,73.000000,234.000000,425.000000,6186.000000,84.739726,26.435897,14.555294,79.000000,1312.000000,39362.000000,2073.000000,498.253165,30.001524,18.987940,-,26.000000,524.000000,18588.000000,1723.000000,1050.000000,648.653846,35.473282,16.061905,-,4.000000,124.000000,5369.000000,382.000000,5.000000,198.000000,8587.000000,381.000000,1742.111111,43.341615,20.549148,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 苗栗縣,17514.000000,95.980000,53.070000,32.870000,14.070000,74.000000,209.000000,402.000000,5650.000000,76.351351,27.033493,14.054726,111.000000,1618.000000,48251.000000,2591.000000,434.693694,29.821384,18.622540,-,29.000000,654.000000,25472.000000,7139.000000,1096.000000,632.172414,38.948012,16.727190,-,8.000000,148.000000,6138.000000,882.000000,8.000000,329.000000,14046.000000,593.000000,1707.687500,42.314465,18.524068,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 彰化縣,93935.000000,90.670000,55.690000,29.860000,14.450000,139.000000,426.000000,878.000000,11445.000000,82.338129,26.866197,13.035308,169.000000,3432.000000,115949.000000,5387.000000,686.088757,33.784674,21.523854,-,38.000000,1596.000000,62216.000000,2323.000000,3232.000000,1576.131579,38.982456,18.531250,-,8.000000,249.000000,11341.000000,740.000000,12.000000,560.000000,25645.000000,1293.000000,1965.450000,45.718171,19.335465,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 南投縣,23230.000000,94.570000,57.170000,28.850000,13.980000,62.000000,203.000000,353.000000,3947.000000,63.661290,19.443350,11.181303,151.000000,1770.000000,45704.000000,2885.000000,302.675497,25.821469,15.841941,-,31.000000,639.000000,22424.000000,-,1388.000000,723.354839,35.092332,16.155620,-,4.000000,77.000000,3016.000000,370.000000,6.000000,231.000000,10034.000000,458.000000,1305.000000,42.370130,15.760870,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 雲林縣,58545.000000,90.220000,61.100000,26.420000,12.490000,91.000000,332.000000,552.000000,6922.000000,76.065934,20.849398,12.539855,155.000000,1924.000000,54155.000000,3058.000000,349.387097,28.147089,17.709287,-,31.000000,903.000000,34447.000000,7035.000000,1619.000000,884.258065,38.147287,16.931439,-,9.000000,207.000000,8876.000000,807.000000,7.000000,276.000000,12820.000000,650.000000,1795.687500,44.919255,19.719286,-,-,-,-,-,-,-,-,-,-,-,-,-,-
