"年度","縣市","垃圾清運量","垃圾焚化量","垃圾衛生掩埋量","廚餘回收量","執行機關資源回收量","巨大垃圾回收再利用量","垃圾清理車數","清運人員數","平均每日垃圾清運量","平均每人每日垃圾清運量","垃圾清運率","垃圾妥善處理率","執行機關資源回收率","自來水水質檢驗件數","自來水水質檢驗不合格數","自來水水質抽驗檢驗不合格率","空氣中總懸浮微粒濃度","平均每月落塵量","空氣中臭氧濃度","二氧化硫含量","PSI>100之日數比率","一般地區環境音量監測不合格時段數","一般地區環境音量監測總時段數","一般地區環境音量監測不合格率","豬隻數量","機車密度","汽車密度","豬隻密度","工廠密度","事業廢水列管家數","事業廢水稽查次數","事業廢水罰鍰次數","事業廢水罰鍰金額","平均每次事業廢水稽查罰款金額","交通工具排放空氣污染物告發件數","交通工具排放空氣污染物檢查件數","交通工具空氣污染檢查告發率","查核列管毒性化學物質運作之家次","取締違反列管毒性化學物質運作之家次","列管毒性化學物質業者之查核取締率","地方環保單位歲出決算數(扣除其他機關補助及配合款)","平均每人環保經費"
1998, 苗栗縣,201298.000000,-,-,-,1715.000000,-,-,405.000000,551.501370,1.076520,91.540000,-,-,687.000000,2.000000,0.291121,79.340000,4.790000,0.018000,0.004000,0.550000,29.000000,96.000000,30.208333,128585.000000,149.333503,81.524356,70.638877,1.125080,359.000000,1117.000000,111.000000,8020.000000,72.252252,23.000000,51981.000000,0.044247,248.000000,2.000000,0.806452,-,-
1998, 彰化縣,467200.000000,-,-,-,4322.000000,-,-,785.000000,1280.000000,0.986436,99.910000,-,-,923.000000,1.000000,0.108342,110.530000,3.730000,0.020000,0.005000,2.890000,77.000000,128.000000,60.156250,741072.000000,635.059140,302.600717,689.756849,7.698279,2269.000000,1290.000000,779.000000,59047.000000,75.798460,699.000000,40629.000000,1.720446,6075.000000,297.000000,4.888889,-,-
1998, 南投縣,175828.000000,-,-,-,1265.000000,-,-,495.000000,481.720548,0.908907,97.120000,-,-,796.000000,-,-,83.490000,3.320000,0.020000,0.002000,7.400000,1.000000,92.000000,1.086957,127084.000000,64.916877,34.858695,30.947518,0.251069,243.000000,408.000000,48.000000,2850.000000,59.375000,449.000000,16006.000000,2.805198,125.000000,-,-,-,-
1998, 雲林縣,278130.000000,-,-,-,922.000000,-,-,613.000000,762.000000,1.011281,100.370000,-,-,1265.000000,-,-,95.440000,12.010000,0.023000,0.004000,4.070000,5.000000,152.000000,3.289474,1206682.000000,294.228907,136.231189,934.807242,1.186829,1240.000000,2193.000000,199.000000,14510.000000,72.914573,202.000000,12749.000000,1.584438,190.000000,2.000000,1.052632,-,-
1998, 嘉義縣,238571.000000,-,-,-,2910.000000,-,-,421.000000,653.619178,1.164474,99.190000,-,-,629.000000,-,-,119.310000,7.230000,0.022000,0.004000,2.190000,65.000000,192.000000,33.854167,381720.000000,150.578504,69.387342,200.728569,0.910251,453.000000,1650.000000,84.000000,4990.000000,59.404762,337.000000,21578.000000,1.561776,361.000000,5.000000,1.385042,-,-
1998, 屏東縣,383422.000000,-,-,-,2707.000000,-,-,700.000000,1050.471233,1.155634,99.770000,-,-,673.000000,2.000000,0.297177,85.520000,2.920000,0.027000,0.003000,17.380000,44.000000,140.000000,31.428571,1407388.000000,181.286189,71.759252,507.057158,0.332901,1435.000000,1697.000000,132.000000,8656.000000,65.575758,963.000000,37576.000000,2.562806,145.000000,-,-,-,-
1998, 臺東縣,113917.000000,-,-,-,122.000000,-,-,223.000000,312.101370,1.303137,95.220000,-,-,574.000000,3.000000,0.522648,31.650000,-,0.023000,0.000400,0.270000,71.000000,136.000000,52.205882,74357.000000,38.629372,15.056386,21.152676,0.073110,101.000000,140.000000,9.000000,540.000000,60.000000,200.000000,12754.000000,1.568135,165.000000,-,-,-,-
1998, 花蓮縣,186442.000000,-,-,-,636.000000,-,-,265.000000,510.800000,1.444570,99.040000,-,-,831.000000,-,-,-,4.460000,0.018000,0.001000,-,32.000000,128.000000,25.000000,104757.000000,40.900741,18.726729,22.632685,0.102407,329.000000,609.000000,34.000000,2250.000000,66.176471,211.000000,15389.000000,1.371109,1604.000000,28.000000,1.745636,-,-
1998, 澎湖縣,40406.000000,-,-,-,341.000000,-,-,110.000000,110.701370,1.221869,100.570000,-,-,351.000000,9.000000,2.564103,69.710000,6.090000,-,-,-,21.000000,88.000000,23.863636,15610.000000,391.828736,110.748431,123.045054,0.709421,34.000000,345.000000,3.000000,150.000000,50.000000,36.000000,6059.000000,0.594157,48.000000,-,-,-,-
1998, 基隆市,153300.000000,-,-,-,3761.000000,-,-,512.000000,420.000000,1.104391,100.000000,-,-,354.000000,11.000000,3.107345,84.200000,6.800000,0.026000,0.007000,0.830000,1.000000,68.000000,1.470588,3785.000000,1048.193379,528.070058,28.510330,2.350125,195.000000,379.000000,28.000000,2510.000000,89.642857,612.000000,49652.000000,1.232579,325.000000,-,-,-,-
1998, 新竹市,129575.000000,-,-,-,4273.000000,-,-,314.000000,355.000000,1.003108,100.000000,-,-,449.000000,-,-,102.610000,12.180000,0.023000,0.005000,1.920000,83.000000,140.000000,59.285714,13496.000000,1841.763980,942.962485,129.649056,16.081248,202.000000,402.000000,13.000000,3940.000000,303.076923,35.000000,19458.000000,0.179875,640.000000,5.000000,0.781250,-,-
1998, 嘉義市,114610.000000,-,-,-,856.000000,-,-,320.000000,314.000000,1.193916,99.970000,-,-,404.000000,-,-,112.520000,4.140000,0.020000,0.005000,4.380000,25.000000,180.000000,13.888889,3056.000000,2589.861659,1108.743603,50.911611,9.096119,56.000000,317.000000,5.000000,310.000000,62.000000,300.000000,18428.000000,1.627957,343.000000,1.000000,0.291545,-,-
1998, 金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150.944752,70.438271,-,0.156805,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.527778,35.972222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,302.820224,148.095881,-,2.291835,-,-,-,-,-,-,-,-,-,-,-,-,-
