"年度","縣市","就業者從業身分結構-自營作業者","就業者從業身分結構-雇主","就業者從業身分結構-受僱者","就業者從業身分結構-無酬家屬工作者"
2003, 苗栗縣,17.800000,3.610000,72.090000,6.500000
2003, 彰化縣,22.410000,4.220000,64.680000,8.690000
2003, 南投縣,24.160000,3.010000,61.950000,10.880000
2003, 雲林縣,27.130000,2.700000,56.790000,13.380000
2003, 嘉義縣,27.040000,2.660000,56.190000,14.110000
2003, 屏東縣,24.390000,3.330000,60.920000,11.360000
2003, 臺東縣,23.290000,3.760000,61.850000,11.090000
2003, 花蓮縣,20.320000,4.480000,66.080000,9.110000
2003, 澎湖縣,16.850000,5.580000,72.010000,5.570000
2003, 基隆市,12.910000,4.110000,78.210000,4.780000
2003, 新竹市,10.810000,5.570000,77.750000,5.860000
2003, 嘉義市,14.530000,5.400000,71.430000,8.640000
2003, 金門縣,25.460000,3.350000,64.640000,6.560000
2003, 連江縣,23.620000,2.640000,70.200000,3.540000
2004, 總計,-,-,-,-
2004, 臺灣地區,14.900000,5.210000,72.870000,7.010000
2004, 新北市,10.400000,6.010000,78.800000,4.790000
2004, 臺北市,9.280000,7.660000,79.370000,3.690000
2004, 桃園市,11.780000,4.790000,78.780000,4.660000
2004, 臺中市,14.450000,6.020000,70.490000,9.040000
2004, 臺南市,16.900000,4.370000,71.030000,7.690000
2004, 高雄市,15.270000,5.050000,72.640000,7.040000
2004, 宜蘭縣,17.950000,5.260000,69.060000,7.730000
2004, 新竹縣,12.150000,3.830000,78.640000,5.380000
2004, 苗栗縣,16.400000,4.540000,72.800000,6.260000
2004, 彰化縣,20.200000,4.120000,66.950000,8.730000
2004, 南投縣,23.190000,3.080000,62.050000,11.680000
2004, 雲林縣,26.250000,2.420000,58.450000,12.890000
2004, 嘉義縣,25.750000,2.920000,57.960000,13.370000
2004, 屏東縣,22.380000,3.820000,63.540000,10.260000
2004, 臺東縣,21.910000,3.320000,64.330000,10.440000
2004, 花蓮縣,18.810000,4.760000,68.940000,7.490000
2004, 澎湖縣,14.660000,5.510000,74.920000,4.920000
2004, 基隆市,11.470000,5.150000,78.980000,4.390000
2004, 新竹市,11.860000,5.250000,76.210000,6.680000
2004, 嘉義市,13.470000,5.970000,71.970000,8.580000
2004, 金門縣,22.860000,3.350000,68.790000,4.990000
2004, 連江縣,22.740000,2.660000,69.850000,4.750000
2005, 總計,-,-,-,-
2005, 臺灣地區,14.460000,5.060000,73.780000,6.700000
2005, 新北市,10.300000,5.800000,79.460000,4.440000
2005, 臺北市,9.510000,7.300000,79.810000,3.380000
2005, 桃園市,11.490000,4.350000,79.230000,4.920000
2005, 臺中市,13.440000,6.100000,71.930000,8.530000
2005, 臺南市,16.740000,4.210000,71.300000,7.750000
2005, 高雄市,14.220000,5.060000,74.090000,6.640000
2005, 宜蘭縣,17.100000,5.300000,69.500000,8.100000
2005, 新竹縣,11.520000,4.040000,79.740000,4.700000
2005, 苗栗縣,16.020000,3.640000,74.030000,6.320000
2005, 彰化縣,20.020000,3.870000,67.760000,8.350000
2005, 南投縣,22.440000,3.660000,64.090000,9.810000
2005, 雲林縣,26.140000,2.410000,58.160000,13.290000
2005, 嘉義縣,26.080000,2.460000,58.720000,12.730000
2005, 屏東縣,21.340000,3.700000,64.920000,10.040000
2005, 臺東縣,22.140000,3.230000,65.490000,9.130000
2005, 花蓮縣,18.590000,4.400000,69.390000,7.620000
2005, 澎湖縣,13.870000,6.560000,74.250000,5.320000
2005, 基隆市,10.160000,4.930000,80.920000,3.990000
2005, 新竹市,10.410000,5.470000,78.500000,5.620000
2005, 嘉義市,13.120000,5.490000,74.170000,7.220000
2005, 金門縣,24.100000,1.850000,68.450000,5.600000
2005, 連江縣,23.580000,2.060000,70.690000,3.680000
2006, 總計,-,-,-,-
2006, 臺灣地區,13.900000,5.110000,74.590000,6.400000
2006, 新北市,9.960000,6.020000,79.860000,4.160000
2006, 臺北市,8.850000,7.840000,80.250000,3.060000
