"年度","縣市","家庭收支-平均戶內人口數","家庭收支-平均每戶就業人數","家庭收支-平均每戶全年經常性支出","家庭收支-平均每戶全年經常性收入","家庭收支-平均每戶可支配所得","家庭收支-平均每戶消費支出","家庭收支-平均每戶儲蓄額","家庭收支-平均消費傾向","家庭收支-平均儲蓄傾向","家庭現代化設備(每百戶擁有數)-有線電視頻道設備","家庭現代化設備(每百戶擁有數)-行動電話","家庭現代化設備(每百戶擁有數)-冷暖氣機","家庭現代化設備(每百戶擁有數)-汽車","家庭現代化設備(每百戶擁有數)-家用電腦","家庭現代化設備(每百戶擁有數)-彩色電視機","家庭現代化設備(每百戶擁有數)-報紙","家庭現代化設備(每百戶擁有數)-電話機","家庭現代化設備(每百戶擁有數)-機車","家庭收支-自有住宅比率","每戶可支配所得中位數","平均每人每年可支配所得","平均每人居住面積","平均每戶書報雜誌文具支出占消費支出比率","飲食費(含家外食物)占消費支出比率","飲食費(不含家外食物)占消費支出比率"
1998, 總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 臺灣地區,3.770000,1.640000,843437.000000,1116324.000000,873175.000000,646343.000000,226831.000000,74.020000,25.980000,68.280000,-,140.960000,62.150000,34.930000,139.640000,53.560000,126.760000,131.910000,84.610000,763717.000000,231611.000000,10.550000,0.900000,25.480000,18.140000
1998, 新北市,3.850000,1.700000,893198.000000,1149230.000000,875751.000000,681707.000000,194044.000000,77.840000,22.160000,74.120000,-,155.200000,53.700000,39.770000,134.840000,52.680000,131.950000,117.740000,83.000000,787075.000000,227468.000000,8.100000,0.890000,26.010000,17.320000
1998, 臺北市,3.610000,1.550000,1154671.000000,1531961.000000,1196141.000000,908137.000000,288004.000000,75.920000,24.080000,81.750000,-,197.940000,57.120000,61.450000,149.340000,69.900000,163.340000,82.170000,76.270000,1079947.000000,331341.000000,8.500000,0.940000,23.260000,16.670000
1998, 桃園市,3.980000,1.620000,866934.000000,1186947.000000,950235.000000,653989.000000,296247.000000,68.820000,31.180000,67.240000,-,127.780000,76.350000,38.420000,151.130000,55.520000,120.920000,124.320000,85.830000,829624.000000,238753.000000,11.560000,0.880000,25.300000,17.830000
1998, 臺中市,3.860000,1.630000,862863.000000,1152225.000000,891503.000000,651665.000000,239838.000000,73.100000,26.900000,70.020000,-,127.300000,78.910000,35.490000,145.420000,58.880000,127.520000,146.280000,84.520000,784900.000000,230959.000000,12.200000,0.900000,23.540000,15.910000
1998, 臺南市,3.700000,1.750000,717152.000000,944107.000000,744397.000000,550060.000000,194336.000000,73.890000,26.110000,57.690000,-,129.120000,57.760000,22.880000,131.410000,50.740000,107.420000,156.410000,86.260000,651175.000000,201188.000000,11.630000,0.810000,25.310000,18.510000
1998, 高雄市,3.680000,1.540000,805287.000000,1064805.000000,831902.000000,607873.000000,224030.000000,73.070000,26.930000,81.060000,-,155.290000,57.950000,30.000000,138.630000,52.830000,123.430000,160.650000,82.800000,720432.000000,226060.000000,11.160000,0.920000,27.920000,20.420000
1998, 宜蘭縣,4.020000,1.630000,815415.000000,1024380.000000,783504.000000,622369.000000,161135.000000,79.430000,20.570000,49.140000,-,134.170000,59.960000,27.990000,153.000000,45.400000,133.130000,143.260000,91.920000,669423.000000,194901.000000,10.210000,0.880000,21.490000,15.900000
1998, 新竹縣,4.180000,1.750000,827692.000000,1130952.000000,910821.000000,625471.000000,285350.000000,68.670000,31.330000,59.040000,-,137.320000,89.390000,42.230000,156.800000,48.850000,136.180000,130.510000,91.450000,835664.000000,217900.000000,12.290000,0.730000,20.970000,15.050000
