"年度","縣市","漁戶數","遠洋漁戶數","近海漁戶數","沿岸漁戶數","海面養殖漁戶數","內陸漁撈漁戶數","內陸養殖漁戶數","漁業生產量","遠洋漁業生產量","近海漁業生產量","沿岸漁業生產量","海面養殖漁業生產量","內陸漁撈漁業生產量","內陸養殖漁業生產量","漁戶率","遠洋漁戶數占總漁戶數比率","近海漁戶數占總漁戶數比率","沿岸漁戶數占總漁戶數比率","海面養殖漁戶數占總漁戶數比率","內陸漁撈漁戶數占總漁戶數比率","內陸養殖漁戶數占總漁戶數比率","遠洋漁業生產量占總漁業生產量比率","近海漁業生產量占總漁業生產量比率","沿岸漁業生產量占總漁業生產量比率","海面養殖漁業生產量占總漁業生產量比率","內陸漁撈漁業生產量占總漁業生產量比率","內陸養殖漁業生產量占總漁業生產量比率"
1998, 苗栗縣,2522.000000,-,-,2521.000000,1.000000,-,-,1742.000000,-,-,1549.000000,3.000000,-,191.000000,1.803399,-,-,99.960349,0.039651,-,-,-,-,88.920781,0.172216,-,10.964409
1998, 彰化縣,7842.000000,4.000000,132.000000,3016.000000,1179.000000,838.000000,2673.000000,31537.000000,-,-,582.000000,6235.000000,-,24720.000000,2.554073,0.051007,1.683244,38.459577,15.034430,10.686049,34.085692,-,-,1.845451,19.770428,-,78.384120
1998, 南投縣,231.000000,-,-,-,-,144.000000,87.000000,1039.000000,-,-,-,-,142.000000,897.000000,0.159778,-,-,-,-,62.337662,37.662338,-,-,-,-,13.666987,86.333013
1998, 雲林縣,7690.000000,-,377.000000,1626.000000,1257.000000,-,4430.000000,34170.000000,-,169.000000,3.000000,3318.000000,-,30680.000000,3.956779,-,4.902471,21.144343,16.345904,-,57.607282,-,0.494586,0.008780,9.710272,-,89.786362
1998, 嘉義縣,6582.000000,2.000000,497.000000,990.000000,1630.000000,105.000000,3358.000000,47768.000000,-,1586.000000,1054.000000,6946.000000,259.000000,37924.000000,4.388322,0.030386,7.550896,15.041021,24.764509,1.595260,51.017928,-,3.320214,2.206498,14.541115,0.542204,79.392062
1998, 屏東縣,13489.000000,549.000000,5715.000000,2260.000000,218.000000,-,4747.000000,62490.000000,14252.000000,18924.000000,3036.000000,1065.000000,-,25212.000000,5.566055,4.069983,42.367855,16.754392,1.616132,-,35.191638,22.806849,30.283245,4.858377,1.704273,-,40.345655
1998, 臺東縣,3549.000000,289.000000,784.000000,2270.000000,3.000000,-,203.000000,10069.000000,-,4422.000000,4632.000000,33.000000,-,981.000000,4.977490,8.143139,22.090730,63.961679,0.084531,-,5.719921,-,43.916973,46.002582,0.327739,-,9.742775
1998, 花蓮縣,875.000000,-,134.000000,252.000000,-,2.000000,487.000000,5881.000000,-,1122.000000,1097.000000,-,-,3662.000000,0.850026,-,15.314286,28.800000,-,0.228571,55.657143,-,19.078388,18.653290,-,-,62.268322
1998, 澎湖縣,8265.000000,196.000000,6879.000000,1065.000000,125.000000,-,-,25983.000000,-,19722.000000,3526.000000,2735.000000,-,-,30.929571,2.371446,83.230490,12.885662,1.512402,-,-,-,75.903475,13.570411,10.526113,-,-
1998, 基隆市,3647.000000,926.000000,2358.000000,363.000000,-,-,-,55647.000000,31976.000000,21969.000000,1702.000000,-,-,-,2.971588,25.390732,64.655882,9.953386,-,-,-,57.462217,39.479217,3.058566,-,-,-
1998, 新竹市,2399.000000,-,860.000000,607.000000,789.000000,-,143.000000,19562.000000,-,15576.000000,3887.000000,73.000000,-,26.000000,2.286308,-,35.848270,25.302209,32.888704,-,5.960817,-,79.623760,19.870156,0.373172,-,0.132911
1998, 嘉義市,1.000000,-,-,-,-,-,1.000000,1.000000,-,-,-,-,-,1.000000,0.001292,-,-,-,-,-,100.000000,-,-,-,-,-,100.000000
1998, 金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 臺灣地區,135508.000000,6043.000000,34356.000000,49920.000000,7513.000000,2291.000000,35385.000000,868877.000000,359679.000000,205639.000000,39910.000000,24035.000000,581.000000,239034.000000,2.080474,4.459515,25.353485,36.839153,5.544322,1.690675,26.112849,41.395848,23.667216,4.593285,2.766214,0.066868,27.510683
1999, 新北市,9570.000000,63.000000,3034.000000,6375.000000,76.000000,-,22.000000,19325.000000,-,14093.000000,4844.000000,37.000000,-,351.000000,0.868300,0.658307,31.703239,66.614420,0.794148,-,0.229885,-,72.926261,25.065977,0.191462,-,1.816300
1999, 臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 桃園市,2273.000000,-,208.000000,1511.000000,-,66.000000,488.000000,10068.000000,-,91.000000,531.000000,-,36.000000,9411.000000,0.466894,-,9.150902,66.476023,-,2.903652,21.469424,-,0.903854,5.274136,-,0.357569,93.474374
1999, 臺中市,1521.000000,-,339.000000,1106.000000,2.000000,-,74.000000,3060.000000,-,2265.000000,359.000000,70.000000,-,366.000000,0.221846,-,22.287968,72.715319,0.131492,-,4.865220,-,74.019608,11.732026,2.287582,-,11.960784
1999, 臺南市,22027.000000,18.000000,1566.000000,6677.000000,909.000000,66.000000,12791.000000,70537.000000,-,3938.000000,5796.000000,5639.000000,-,55164.000000,4.047258,0.081718,7.109457,30.312798,4.126754,0.299632,58.069642,-,5.582886,8.216964,7.994386,-,78.205764
1999, 高雄市,32813.000000,3769.000000,8385.000000,13546.000000,1510.000000,592.000000,5011.000000,367230.000000,309637.000000,13610.000000,2805.000000,37.000000,-,41141.000000,3.831683,11.486301,25.553896,41.282419,4.601835,1.804163,15.271386,84.316913,3.706124,0.763826,0.010075,-,11.203061
1999, 宜蘭縣,11705.000000,415.000000,3746.000000,5953.000000,-,466.000000,1125.000000,106116.000000,1089.000000,97195.000000,3208.000000,-,17.000000,4607.000000,8.999762,3.545493,32.003417,50.858607,-,3.981205,9.611277,1.026235,91.593162,3.023107,-,0.016020,4.341475
1999, 新竹縣,419.000000,-,16.000000,191.000000,-,-,212.000000,3563.000000,-,-,402.000000,-,-,3160.000000,0.372448,-,3.818616,45.584726,-,-,50.596659,-,-,11.282627,-,-,88.689307
1999, 苗栗縣,2572.000000,-,-,2572.000000,-,-,-,2548.000000,-,4.000000,1656.000000,2.000000,-,886.000000,1.799407,-,-,100.000000,-,-,-,-,0.156986,64.992151,0.078493,-,34.772370
1999, 彰化縣,7702.000000,6.000000,130.000000,2523.000000,1307.000000,826.000000,2910.000000,30451.000000,-,-,646.000000,5822.000000,-,23984.000000,2.460208,0.077902,1.687873,32.757725,16.969618,10.724487,37.782394,-,-,2.121441,19.119241,-,78.762602
1999, 南投縣,262.000000,-,-,-,-,171.000000,91.000000,1089.000000,-,-,-,-,129.000000,960.000000,0.177402,-,-,-,-,65.267176,34.732824,-,-,-,-,11.845730,88.154270
1999, 雲林縣,6585.000000,-,336.000000,1477.000000,964.000000,-,3808.000000,37371.000000,-,111.000000,22.000000,2027.000000,-,35212.000000,3.350838,-,5.102506,22.429765,14.639332,-,57.828398,-,0.297022,0.058869,5.423992,-,94.222793
1999, 嘉義縣,6573.000000,-,504.000000,986.000000,1620.000000,98.000000,3365.000000,49067.000000,-,1963.000000,888.000000,7397.000000,399.000000,38420.000000,4.321442,-,7.667732,15.000761,24.646280,1.490948,51.194280,-,4.000652,1.809770,15.075305,0.813174,78.301098
1999, 屏東縣,13245.000000,391.000000,5620.000000,2346.000000,233.000000,-,4655.000000,55261.000000,14185.000000,13656.000000,3470.000000,996.000000,-,22953.000000,5.385328,2.952057,42.431106,17.712344,1.759154,-,35.145338,25.669098,24.711822,6.279293,1.802356,-,41.535622
1999, 臺東縣,3542.000000,276.000000,806.000000,2264.000000,2.000000,-,194.000000,9016.000000,-,4362.000000,3774.000000,32.000000,-,848.000000,4.907448,7.792208,22.755505,63.918690,0.056465,-,5.477132,-,48.380657,41.858917,0.354925,-,9.405501
1999, 花蓮縣,750.000000,2.000000,61.000000,173.000000,67.000000,6.000000,441.000000,3465.000000,-,977.000000,974.000000,-,-,1514.000000,0.715656,0.266667,8.133333,23.066667,8.933333,0.800000,58.800000,-,28.196248,28.109668,-,-,43.694084
1999, 澎湖縣,8078.000000,193.000000,6476.000000,1282.000000,59.000000,-,68.000000,19910.000000,-,15083.000000,2908.000000,1919.000000,-,-,29.813619,2.389205,80.168359,15.870265,0.730379,-,0.841793,-,75.755902,14.605726,9.638373,-,-
1999, 基隆市,3614.000000,910.000000,2306.000000,398.000000,-,-,-,57566.000000,34768.000000,20508.000000,2290.000000,-,-,-,2.855247,25.179856,63.807416,11.012728,-,-,-,60.396762,35.625195,3.978043,-,-,-
1999, 新竹市,2256.000000,-,823.000000,540.000000,764.000000,-,129.000000,23233.000000,-,17783.000000,5337.000000,57.000000,-,56.000000,2.068093,-,36.480496,23.936170,33.865248,-,5.718085,-,76.541988,22.971635,0.245341,-,0.241036
1999, 嘉義市,1.000000,-,-,-,-,-,1.000000,1.000000,-,-,-,-,-,1.000000,0.001275,-,-,-,-,-,100.000000,-,-,-,-,-,100.000000
1999, 金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000, 總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000, 臺灣地區,134561.000000,7689.000000,31095.000000,52456.000000,5778.000000,1469.000000,36074.000000,823632.000000,353137.000000,169522.000000,44018.000000,28283.000000,558.000000,228119.000000,2.019771,5.714137,23.108479,38.983063,4.293963,1.091698,26.808659,42.875580,20.582250,5.344377,3.433937,0.067749,27.696714
2000, 新北市,8355.000000,-,2889.000000,5364.000000,72.000000,4.000000,26.000000,20669.000000,-,10959.000000,9247.000000,1.000000,-,462.000000,0.735281,-,34.578097,64.201077,0.861759,0.047876,0.311191,-,53.021433,44.738497,0.004838,-,2.235232
2000, 臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000, 桃園市,2150.000000,-,96.000000,1555.000000,-,83.000000,416.000000,9166.000000,-,133.000000,505.000000,-,24.000000,8505.000000,0.425493,-,4.465116,72.325581,-,3.860465,19.348837,-,1.451015,5.509492,-,0.261837,92.788566
2000, 臺中市,1398.000000,3.000000,344.000000,1002.000000,-,-,49.000000,4277.000000,-,3489.000000,285.000000,47.000000,-,456.000000,0.198510,0.214592,24.606581,71.673820,-,-,3.505007,-,81.575871,6.663549,1.098901,-,10.661679
2000, 臺南市,23717.000000,16.000000,1578.000000,7430.000000,788.000000,66.000000,13839.000000,62322.000000,130.000000,3661.000000,2825.000000,8570.000000,-,47137.000000,4.276654,0.067462,6.653455,31.327740,3.322511,0.278281,58.350550,0.208594,5.874330,4.532910,13.751163,-,75.634607
2000, 高雄市,32636.000000,5652.000000,6845.000000,14765.000000,88.000000,234.000000,5052.000000,356643.000000,297276.000000,21126.000000,3455.000000,23.000000,-,34764.000000,3.729888,17.318299,20.973771,45.241451,0.269641,0.717000,15.479838,83.353942,5.923571,0.968756,0.006449,-,9.747563
2000, 宜蘭縣,11212.000000,385.000000,3420.000000,6003.000000,-,298.000000,1106.000000,64672.000000,831.000000,55873.000000,3944.000000,-,16.000000,4008.000000,8.421021,3.433821,30.503032,53.540849,-,2.657867,9.864431,1.284946,86.394421,6.098466,-,0.024740,6.197427
2000, 新竹縣,422.000000,-,16.000000,192.000000,-,-,214.000000,3828.000000,-,-,501.000000,-,-,3326.000000,0.363661,-,3.791469,45.497630,-,-,50.710900,-,-,13.087774,-,-,86.886102
2000, 苗栗縣,2555.000000,-,-,2555.000000,-,-,-,3230.000000,-,-,1566.000000,2.000000,-,1663.000000,1.748001,-,-,100.000000,-,-,-,-,-,48.482972,0.061920,-,51.486068
2000, 彰化縣,7041.000000,1.000000,50.000000,2935.000000,1298.000000,503.000000,2254.000000,29840.000000,-,-,643.000000,5083.000000,-,24114.000000,2.207556,0.014203,0.710126,41.684420,18.434881,7.143872,32.012498,-,-,2.154826,17.034182,-,80.810992
2000, 南投縣,271.000000,-,-,-,-,177.000000,94.000000,859.000000,-,-,-,-,139.000000,720.000000,0.179700,-,-,-,-,65.313653,34.686347,-,-,-,-,16.181607,83.818393
2000, 雲林縣,6384.000000,-,304.000000,1442.000000,862.000000,-,3776.000000,38212.000000,-,128.000000,34.000000,2185.000000,-,35865.000000,3.184469,-,4.761905,22.587719,13.502506,-,59.147870,-,0.334973,0.088977,5.718099,-,93.857950
2000, 嘉義縣,6639.000000,-,481.000000,968.000000,1651.000000,101.000000,3438.000000,51724.000000,-,2067.000000,880.000000,7275.000000,379.000000,41124.000000,4.275805,-,7.245067,14.580509,24.868203,1.521313,51.784907,-,3.996211,1.701338,14.065038,0.732735,79.506612
2000, 屏東縣,13033.000000,281.000000,4512.000000,3183.000000,216.000000,-,4841.000000,60298.000000,18307.000000,12964.000000,2650.000000,2458.000000,-,23918.000000,5.236387,2.156065,34.619811,24.422620,1.657331,-,37.144172,30.360874,21.499884,4.394839,4.076420,-,39.666324
2000, 臺東縣,3515.000000,246.000000,647.000000,2431.000000,2.000000,-,189.000000,8756.000000,-,3912.000000,3890.000000,25.000000,-,929.000000,4.816784,6.998578,18.406828,69.160740,0.056899,-,5.376956,-,44.677935,44.426679,0.285519,-,10.609868
2000, 花蓮縣,1150.000000,3.000000,68.000000,482.000000,1.000000,3.000000,593.000000,3100.000000,-,1283.000000,715.000000,-,-,1102.000000,1.080096,0.260870,5.913043,41.913043,0.086957,0.260870,51.565217,-,41.387097,23.064516,-,-,35.548387
2000, 澎湖縣,8008.000000,185.000000,6438.000000,1257.000000,59.000000,-,69.000000,21285.000000,-,15446.000000,3321.000000,2519.000000,-,-,28.969359,2.310190,80.394605,15.696803,0.736763,-,0.861638,-,72.567536,15.602537,11.834625,-,-
