"年度","縣市","森林面積","造林面積","林木採伐面積","森林地占土地面積比率","平均每人森林面積","平均每萬人造林面積","植伐比"
1998, 總計,-,-,-,-,-,-,-
1998, 臺灣地區,2101717.000000,4754.280000,362.150000,58.371063,0.096097,2.183156,1312.793042
1998, 新北市,139533.000000,276.860000,1.500000,67.979655,0.040332,0.804807,18457.333333
1998, 臺北市,8979.000000,-,-,33.036536,0.003401,-,-
1998, 桃園市,42228.000000,122.980000,-,34.586183,0.025577,0.753218,-
1998, 臺中市,110573.000000,113.680000,0.690000,49.922344,0.046355,0.480160,16475.362319
1998, 臺南市,41491.000000,216.120000,-,18.931312,0.022771,1.188725,-
1998, 高雄市,174050.000000,394.300000,12.360000,59.074694,0.064718,1.473282,3190.129450
1998, 宜蘭縣,163854.000000,169.310000,-,76.437988,0.351900,3.632365,-
1998, 新竹縣,97527.000000,507.420000,103.350000,68.315833,0.227877,11.943495,490.972424
1998, 苗栗縣,122133.000000,217.250000,26.650000,67.094616,0.218150,3.878765,815.196998
1998, 彰化縣,5931.000000,-,-,5.520290,0.004557,-,-
1998, 南投縣,298324.000000,550.640000,11.780000,72.647841,0.546507,10.079619,4674.363328
1998, 雲林縣,15860.000000,23.320000,-,12.286573,0.021175,0.310745,-
1998, 嘉義縣,83315.000000,160.080000,25.290000,43.811492,0.147269,2.824705,632.977461
1998, 屏東縣,146777.000000,772.410000,128.320000,52.881179,0.161198,8.467997,601.940461
1998, 臺東縣,280224.000000,448.500000,-,79.716663,1.121179,17.835165,-
1998, 花蓮縣,359716.000000,750.910000,52.210000,77.716444,1.008735,21.013939,1438.249378
1998, 澎湖縣,211.000000,21.900000,-,1.663251,0.002359,2.424820,-
1998, 基隆市,9064.000000,8.600000,-,68.273576,0.023720,0.225874,-
1998, 新竹市,1782.000000,-,-,17.118156,0.005002,-,-
1998, 嘉義市,145.000000,-,-,2.415459,0.000551,-,-
1998, 金門縣,-,-,-,-,-,-,-
1998, 連江縣,-,-,-,-,-,-,-
1999, 總計,-,-,-,-,-,-,-
1999, 臺灣地區,2101717.000000,5374.270000,291.210000,58.371007,0.095385,2.448137,1845.496377
1999, 新北市,139533.000000,148.210000,-,67.979655,0.039743,0.425247,-
1999, 臺北市,8979.000000,2.430000,-,33.036536,0.003399,0.009202,-
1999, 桃園市,42228.000000,207.150000,-,34.586183,0.024968,1.239574,-
1999, 臺中市,110573.000000,460.250000,-,49.922344,0.045654,1.914771,-
1999, 臺南市,41491.000000,162.410000,0.950000,18.931312,0.022651,0.888972,17095.789474
1999, 高雄市,174050.000000,322.270000,9.150000,59.074694,0.064323,1.194648,3522.076503
1999, 宜蘭縣,163854.000000,318.710000,-,76.437988,0.352371,6.849331,-
1999, 新竹縣,97527.000000,511.440000,37.280000,68.315833,0.224837,11.869841,1371.888412
1999, 苗栗縣,122133.000000,291.770000,28.220000,67.094616,0.218171,5.211751,1033.912119
1999, 彰化縣,5931.000000,3.710000,-,5.520290,0.004543,0.028461,-
1999, 南投縣,298324.000000,628.400000,26.850000,72.647841,0.548351,11.531206,2340.409683
1999, 雲林縣,15860.000000,14.240000,-,12.286573,0.021253,0.190472,-
1999, 嘉義縣,83315.000000,64.020000,17.450000,43.811492,0.148073,1.134709,366.876791
1999, 屏東縣,146777.000000,1019.010000,120.400000,52.881179,0.161468,11.200651,846.353821
1999, 臺東縣,280224.000000,392.800000,36.010000,79.716663,1.130843,15.783404,1090.808109
1999, 花蓮縣,359716.000000,806.750000,14.900000,77.716444,1.011330,22.652386,5414.429530
1999, 澎湖縣,211.000000,17.000000,-,1.663251,0.002370,1.905018,-
1999, 基隆市,9064.000000,3.700000,-,68.273576,0.023531,0.096440,-
1999, 新竹市,1782.000000,-,-,17.118156,0.004923,-,-
1999, 嘉義市,145.000000,-,-,2.415459,0.000547,-,-
1999, 金門縣,-,-,-,-,-,-,-
1999, 連江縣,-,-,-,-,-,-,-
2000, 總計,-,-,-,-,-,-,-
2000, 臺灣地區,2101717.000000,2842.280000,526.460000,58.371007,0.094603,1.284640,539.885271
2000, 新北市,139533.000000,147.660000,-,67.979655,0.039108,0.417189,-
2000, 臺北市,8979.000000,8.150000,-,33.035320,0.003393,0.030826,-
2000, 桃園市,42228.000000,125.600000,-,34.586183,0.024372,0.733664,-
