"年度","縣市","土地面積","山坡面積","平原面積","高山面積","山坡地區占土地面積比率","平原地區占土地面積比率","高山地區占土地面積比率"
2000, 新北市,2052.566700,111820.000000,23118.000000,70319.000000,54.478132,11.262971,34.259057
2000, 臺北市,271.799700,14916.000000,12264.000000,-,54.878914,45.124655,-
2000, 桃園市,1220.954000,32055.000000,65696.000000,24344.000000,26.254060,53.807105,19.938507
2000, 臺中市,2214.896800,56614.000000,61843.000000,103033.000000,25.560522,27.921351,46.518127
2000, 臺南市,2191.653100,50609.000000,137071.000000,31486.000000,23.091629,62.542091,14.366279
2000, 高雄市,2946.267100,62682.000000,76330.000000,155614.000000,21.275108,25.907422,52.817470
2000, 宜蘭縣,2143.625100,33325.000000,39161.000000,141876.000000,15.546106,18.268599,66.185127
2000, 新竹縣,1427.593100,65535.000000,19080.000000,58144.000000,45.905938,13.365153,40.728692
2000, 苗栗縣,1820.314900,86886.000000,22696.000000,72449.000000,47.731302,12.468172,39.800257
2000, 彰化縣,1074.396000,10020.000000,94240.000000,3180.000000,9.326170,87.714400,2.959803
2000, 南投縣,4106.436000,127816.000000,20464.000000,262364.000000,31.125774,4.983397,63.890926
2000, 雲林縣,1290.835100,8150.000000,115344.000000,5590.000000,6.313742,89.356108,4.330530
2000, 嘉義縣,1901.672500,42940.000000,80631.000000,66596.000000,22.580124,42.400045,35.019700
2000, 屏東縣,2775.600300,90332.000000,95655.000000,91573.000000,32.540000,34.462815,33.000000
2000, 臺東縣,3515.252600,97567.000000,22208.000000,231750.000000,27.755331,6.317611,65.926983
2000, 花蓮縣,4628.571400,76814.000000,50337.000000,335706.000000,16.595617,10.875278,72.529075
2000, 澎湖縣,126.864100,-,12686.000000,-,-,99.996768,-
2000, 基隆市,132.758900,10400.000000,768.000000,2108.000000,78.337498,5.784923,15.878408
2000, 新竹市,104.096400,4602.000000,5709.000000,99.000000,44.209022,54.843395,0.951042
2000, 嘉義市,60.025600,570.000000,5144.000000,289.000000,9.495948,85.690000,4.814612
2000, 金門縣,153.056000,-,-,-,-,-,-
2000, 連江縣,28.800000,-,-,-,-,-,-
2001, 總計,36188.035400,-,-,-,-,-,-
2001, 臺灣地區,36006.179400,983652.540000,960445.430000,1656520.000000,27.318992,26.674461,46.006547
