"年度","縣市","刑案發生數","刑案破獲數","嫌疑犯人數","兒童嫌疑犯人數","少年嫌疑犯人數","青年嫌疑犯人數","成年嫌疑犯人數","刑案發生率","刑案破獲率","犯罪人口率","兒童犯罪人口率","少年犯罪人口率","青年犯罪人口率","成年犯罪人口率","竊盜案發生數","竊盜案破獲數","竊盜案嫌疑犯人數","少年竊盜嫌疑犯人數","竊盜案發生率","竊盜案破獲率","竊盜犯罪人口率","少年竊盜犯罪人口率","暴力犯罪發生數","暴力犯罪破獲數","暴力犯罪嫌疑犯人數","少年暴力犯罪嫌疑犯人數","暴力犯罪發生率","暴力犯罪破獲率","暴力犯罪人口率","少年暴力犯罪人口率","家庭暴力事件通報件數","查獲經濟案件件數","經濟案件-每萬人查獲數","平均每人警政支出"
1998, 總計,434513.000000,251638.000000,158923.000000,682.000000,23094.000000,26579.000000,108568.000000,1989.920000,57.910000,727.810000,17.835232,1034.922703,1138.457585,807.455772,334495.000000,164354.000000,36524.000000,14116.000000,1531.870000,49.130000,167.267342,632.587204,12877.000000,9225.000000,10627.000000,2623.000000,58.970000,71.640000,48.668000,117.545780,-,11795.000000,5.401704,2784.628595
1998, 臺灣地區,434174.000000,251444.000000,158662.000000,674.000000,23059.000000,26512.000000,108417.000000,1993.720000,57.910000,728.570000,17.670330,1036.464129,1139.017782,808.454783,334265.000000,164252.000000,36465.000000,14088.000000,1534.940000,49.140000,167.446569,633.232432,12871.000000,9219.000000,10618.000000,2623.000000,59.100000,71.630000,48.757649,117.899536,-,11719.000000,5.381342,2790.566924
1998, 新北市,76330.000000,29945.000000,19886.000000,59.000000,3066.000000,3643.000000,13118.000000,2218.840000,39.230000,578.070000,9.650915,823.750672,952.588895,632.464960,64456.000000,21317.000000,3870.000000,1724.000000,1873.680000,33.070000,112.497400,463.191832,1811.000000,1239.000000,1580.000000,523.000000,52.640000,68.420000,45.929171,140.515852,-,1618.000000,4.703380,2149.406414
1998, 臺北市,51758.000000,38321.000000,20640.000000,39.000000,2430.000000,2975.000000,15196.000000,1976.090000,74.040000,788.020000,9.229229,993.081126,1219.097417,889.737485,37993.000000,24971.000000,3942.000000,1301.000000,1450.550000,65.730000,150.503051,531.686644,1654.000000,1096.000000,1273.000000,291.000000,63.150000,66.260000,48.602330,118.924530,-,1283.000000,4.898412,4367.499933
1998, 桃園市,34762.000000,19587.000000,10998.000000,57.000000,1834.000000,2077.000000,7030.000000,2129.080000,56.350000,673.600000,17.575803,1038.649190,1216.861470,731.409785,28249.000000,14526.000000,3061.000000,1200.000000,1730.170000,51.420000,187.477702,679.595980,954.000000,613.000000,837.000000,186.000000,58.430000,64.260000,51.263913,105.337377,-,296.000000,1.812917,2065.141964
1998, 臺中市,60431.000000,35763.000000,16198.000000,71.000000,2372.000000,2988.000000,10767.000000,2552.480000,59.180000,684.170000,15.504164,907.871344,1169.014085,773.084566,50291.000000,27007.000000,3606.000000,1478.000000,2124.180000,53.700000,152.309703,565.697237,1374.000000,950.000000,957.000000,223.000000,58.030000,69.140000,40.421627,85.352154,-,1873.000000,7.911150,2118.713762
1998, 臺南市,29430.000000,15501.000000,11584.000000,33.000000,1715.000000,1746.000000,8090.000000,1618.740000,52.670000,637.150000,10.852818,931.624721,901.507935,711.990573,20832.000000,8601.000000,2840.000000,1105.000000,1145.820000,41.290000,156.208576,600.259660,1280.000000,948.000000,946.000000,197.000000,70.400000,74.060000,52.032857,107.014618,-,636.000000,3.498192,2715.625289
1998, 高雄市,61015.000000,28913.000000,18354.000000,63.000000,2659.000000,3089.000000,12543.000000,2279.790000,47.390000,685.790000,14.113694,983.407086,1022.771482,756.717428,49037.000000,18159.000000,4180.000000,1688.000000,1832.240000,37.030000,156.183561,624.291523,2169.000000,1469.000000,1370.000000,324.000000,81.040000,67.730000,51.189349,119.828468,-,544.000000,2.032628,2728.317139
1998, 宜蘭縣,6075.000000,3470.000000,3097.000000,25.000000,440.000000,524.000000,2108.000000,1303.330000,57.120000,664.430000,30.357490,956.209932,1050.647632,732.264810,3998.000000,1679.000000,710.000000,290.000000,857.730000,42.000000,152.322925,630.229273,194.000000,164.000000,181.000000,47.000000,41.620000,84.540000,38.831619,102.140606,-,1029.000000,22.076097,2895.207909
1998, 新竹縣,6242.000000,4894.000000,4090.000000,21.000000,564.000000,680.000000,2825.000000,1469.220000,78.400000,962.690000,24.896118,1368.965266,1615.489695,1098.330732,3894.000000,2334.000000,922.000000,323.000000,916.560000,59.940000,217.017516,783.999612,204.000000,220.000000,247.000000,56.000000,48.020000,107.840000,58.138098,135.925629,-,79.000000,1.859478,2930.148957
