"年度","縣市","道路交通事故肇事總件數(A1+A2類)","每萬輛機動車肇事數","道路交通事故死傷人數(A1+A2類)","每十萬人道路交通事故死傷人數","每件交通事故死傷人數","每日交通事故發生件數","事故傷害死亡人數","事故傷害死亡率","火災發生次數","火災死亡人數","火災受傷人數","每萬戶火災發生次數","每萬人火災發生次數","每日火災發生次數","每次火災死傷人數","每百萬人火災死亡人數","每百萬人火災受傷人數","火災財物損失","平均每件火災財物損失","消防人員數","義消人員數","消防車輛數","消防栓總數","每十萬人消防人數","每十萬人義消人數","每萬人消防車輛數","每千戶消防栓數"
1998, 總計,2720.000000,1.740000,4514.000000,20.670000,1.660000,7.452055,10973.000000,50.300000,14555.000000,306.000000,763.000000,23.150000,6.670000,39.876712,0.073446,14.013746,34.942772,2882633.000000,198.051048,6339.000000,20926.000000,1809.000000,87699.000000,28.907466,95.427928,0.820000,13.768005
1998, 臺灣地區,2713.000000,1.740000,4500.000000,20.660000,1.660000,7.432877,10960.000000,50.300000,14087.000000,305.000000,762.000000,22.470000,6.470000,38.594521,0.075744,14.005540,34.990891,2878831.000000,204.360829,6332.000000,20687.000000,1786.000000,87536.000000,28.951744,94.586975,0.820000,13.783866
1998, 新北市,129.000000,0.580000,205.000000,5.960000,1.590000,0.353425,1217.000000,35.400000,1670.000000,42.000000,146.000000,15.970000,4.850000,4.575342,0.112575,12.209020,42.440880,537309.000000,321.741916,549.000000,1864.000000,224.000000,11275.000000,15.868776,53.878687,0.650000,10.609099
1998, 臺北市,180.000000,1.150000,193.000000,7.370000,1.070000,0.493151,692.000000,26.400000,985.000000,34.000000,126.000000,11.430000,3.760000,2.698630,0.162437,12.980984,48.105998,51880.000000,52.670051,1426.000000,921.000000,205.000000,13441.000000,54.016400,34.887170,0.780000,15.452924
1998, 桃園市,163.000000,1.430000,314.000000,19.230000,1.930000,0.446575,864.000000,52.900000,1910.000000,36.000000,58.000000,41.800000,11.700000,5.232877,0.049215,22.048995,35.523380,732304.000000,383.405236,366.000000,815.000000,134.000000,5021.000000,22.168598,49.364500,0.810000,10.773869
1998, 臺中市,231.000000,1.290000,367.000000,15.500000,1.590000,0.632877,943.000000,39.800000,655.000000,52.000000,51.000000,10.000000,2.770000,1.794521,0.157252,21.963684,21.541306,305845.000000,466.938931,493.000000,1769.000000,175.000000,9244.000000,20.667679,74.160496,0.730000,13.904641
1998, 臺南市,204.000000,1.450000,308.000000,16.940000,1.510000,0.558904,926.000000,50.900000,1695.000000,21.000000,33.000000,32.150000,9.320000,4.643836,0.031858,11.550634,18.150996,173762.000000,102.514454,478.000000,2909.000000,131.000000,9417.000000,26.233438,159.650777,0.720000,17.669210
1998, 高雄市,321.000000,1.490000,481.000000,17.970000,1.500000,0.879452,1404.000000,52.500000,689.000000,26.000000,117.000000,8.390000,2.570000,1.887671,0.207547,9.714767,43.716451,199754.000000,289.918723,800.000000,1979.000000,260.000000,10405.000000,29.746699,73.585898,0.970000,12.476962
1998, 宜蘭縣,93.000000,2.770000,159.000000,34.110000,1.710000,0.254795,300.000000,64.400000,330.000000,7.000000,12.000000,26.250000,7.080000,0.904110,0.057576,15.017753,25.744720,16865.000000,51.106061,101.000000,686.000000,39.000000,2867.000000,21.691182,147.328226,0.840000,22.492272
1998, 新竹縣,115.000000,3.780000,174.000000,40.960000,1.510000,0.315068,294.000000,69.200000,408.000000,2.000000,11.000000,38.210000,9.600000,1.117808,0.031863,4.707538,25.891461,69272.000000,169.784314,120.000000,585.000000,42.000000,1878.000000,28.038693,136.688630,0.980000,17.278022
1998, 苗栗縣,113.000000,2.730000,185.000000,33.030000,1.640000,0.309589,420.000000,75.000000,298.000000,8.000000,17.000000,21.550000,5.320000,0.816438,0.083893,14.283138,30.351669,93039.000000,312.211409,133.000000,660.000000,60.000000,1487.000000,23.756024,117.887036,1.070000,10.633049
1998, 彰化縣,87.000000,0.880000,153.000000,11.770000,1.760000,0.238356,744.000000,57.200000,846.000000,6.000000,45.000000,27.840000,6.510000,2.317808,0.060284,4.616786,34.625892,154815.000000,182.996454,291.000000,1349.000000,89.000000,4830.000000,22.359384,103.652263,0.680000,15.730901
1998, 南投縣,144.000000,3.550000,271.000000,49.610000,1.880000,0.394521,420.000000,76.900000,524.000000,9.000000,13.000000,36.600000,9.590000,1.435616,0.041985,16.474751,23.796863,89208.000000,170.244275,165.000000,900.000000,45.000000,1954.000000,30.226756,164.873212,0.820000,13.515383
1998, 雲林縣,94.000000,1.720000,163.000000,21.720000,1.730000,0.257534,534.000000,71.200000,603.000000,6.000000,12.000000,31.270000,8.040000,1.652055,0.029851,7.995160,15.990321,60960.000000,101.094527,176.000000,969.000000,56.000000,3357.000000,23.498154,129.373360,0.750000,17.272961
1998, 嘉義縣,144.000000,3.490000,232.000000,40.940000,1.610000,0.394521,414.000000,73.100000,1050.000000,6.000000,10.000000,70.620000,18.530000,2.876712,0.015238,10.587351,17.645585,64151.000000,61.096190,111.000000,1016.000000,49.000000,1845.000000,19.620563,179.590019,0.870000,12.300902
