"年度","縣市","社會福利工作人員數","社會福利工作人員占全縣(市)人口比率","志願服務隊員人數","志工志願服務時數","志工人數占15歲以上人口比率","每位志工一年內提供服務時數"
1999, 基隆市,117.000000,3.037375,1057.000000,117971.000000,0.345952,121.933850
1999, 新竹市,64.000000,1.768161,1449.000000,114145.000000,0.519104,79.322446
1999, 嘉義市,29.000000,1.093890,1303.000000,124045.000000,0.631357,104.900634
1999, 金門縣,7.000000,1.353154,-,-,-,-
1999, 連江縣,4.000000,6.097561,-,-,-,-
2000, 總計,9143.000000,4.104293,56676.000000,5626344.000000,0.322507,110.640460
2000, 臺灣地區,8340.000000,3.754033,56429.000000,5620204.000000,0.321986,110.788780
2000, 新北市,968.000000,2.713084,4929.000000,356234.000000,0.175277,80.214816
2000, 臺北市,1507.000000,5.694369,7543.000000,786111.000000,0.354664,117.181337
2000, 桃園市,418.000000,2.412535,3026.000000,336994.000000,0.229761,126.546752
2000, 臺中市,694.000000,2.821026,3903.000000,478168.000000,0.207139,127.613558
2000, 臺南市,514.000000,2.789935,3336.000000,558981.000000,0.226806,172.738257
2000, 高雄市,559.000000,2.051175,11213.000000,971737.000000,0.514825,98.294255
2000, 宜蘭縣,275.000000,5.911614,2320.000000,32451.000000,0.632115,17.451465
2000, 新竹縣,163.000000,3.706963,1445.000000,181685.000000,0.431114,149.905116
2000, 苗栗縣,197.000000,3.519724,2255.000000,342386.000000,0.511315,175.178306
2000, 彰化縣,573.000000,4.372274,2883.000000,240453.000000,0.280716,77.191974
2000, 南投縣,354.000000,6.536949,3022.000000,37883.000000,0.701706,21.622717
2000, 雲林縣,591.000000,7.950302,1219.000000,205645.000000,0.203228,180.945886
2000, 嘉義縣,366.000000,6.508923,940.000000,194916.000000,0.206211,220.617997
2000, 屏東縣,356.000000,3.922476,1408.000000,53991.000000,0.194025,41.451823
2000, 臺東縣,183.000000,7.459888,1624.000000,158480.000000,0.823312,105.618127
2000, 花蓮縣,242.000000,6.843311,1499.000000,119156.000000,0.530280,85.785457
2000, 澎湖縣,120.000000,13.408420,212.000000,19756.000000,0.290869,93.188679
2000, 基隆市,145.000000,3.733024,1127.000000,210898.000000,0.364895,193.130037
2000, 新竹市,79.000000,2.144181,1269.000000,155803.000000,0.445953,114.645327
2000, 嘉義市,29.000000,1.089476,1256.000000,178476.000000,0.604561,139.488863
2000, 金門縣,65.000000,12.074602,247.000000,6140.000000,0.575959,49.716599
