"年度","縣市","社會福利工作人員數","社會福利工作人員占全縣(市)人口比率","志願服務隊員人數","志工志願服務時數","志工人數占15歲以上人口比率","每位志工一年內提供服務時數"
2011, 臺灣地區,14376.000000,6.220435,160839.000000,22773974.000000,0.819625,142.337782
2011, 新北市,1882.000000,4.805371,15658.000000,2397593.000000,0.467463,145.754765
2011, 臺北市,1457.000000,5.496106,15634.000000,1600924.000000,0.689329,108.163232
2011, 桃園市,1186.000000,5.890811,12722.000000,2410485.000000,0.765165,202.400185
2011, 臺中市,1365.000000,5.123116,8329.000000,1775400.000000,0.374664,187.823327
2011, 臺南市,1168.000000,6.222828,12498.000000,3991980.000000,0.775073,320.911612
2011, 高雄市,1573.000000,5.669551,15377.000000,3268951.000000,0.645740,167.077304
2011, 宜蘭縣,322.000000,7.014318,5952.000000,467765.000000,1.517740,81.648630
2011, 新竹縣,318.000000,6.143254,4335.000000,681414.000000,1.025586,183.077378
2011, 苗栗縣,345.000000,6.138681,5256.000000,981364.000000,1.102506,276.246024
2011, 彰化縣,1281.000000,9.830865,19484.000000,1573209.000000,1.773201,107.802035
2011, 南投縣,252.000000,4.820134,5067.000000,215934.000000,1.128440,42.784625
2011, 雲林縣,903.000000,12.654928,5417.000000,470133.000000,0.888774,89.728600
2011, 嘉義縣,451.000000,8.383803,4152.000000,483732.000000,0.889514,121.357752
2011, 屏東縣,484.000000,5.598424,11917.000000,510749.000000,1.597100,59.785672
2011, 臺東縣,397.000000,17.390162,5752.000000,446957.000000,2.953636,65.932586
2011, 花蓮縣,357.000000,10.598567,5204.000000,674527.000000,1.804607,63.598623
2011, 澎湖縣,188.000000,19.350124,958.000000,128240.000000,1.134426,136.570820
2011, 基隆市,249.000000,6.553891,1796.000000,154812.000000,0.545144,109.099366
2011, 新竹市,107.000000,2.547304,2394.000000,182492.000000,0.701284,74.929994
2011, 嘉義市,90.000000,3.314600,2937.000000,357313.000000,1.298546,128.023289
2011, 金門縣,79.000000,7.604709,1608.000000,140597.000000,1.767247,94.360403
2011, 連江縣,20.000000,19.790224,10.000000,134.000000,0.115500,26.800000
2012, 總計,11972.000000,5.134711,182954.000000,29298947.000000,0.919175,169.646867
2012, 臺灣地區,10357.000000,4.465879,181149.000000,29171167.000000,0.915148,170.597606
2012, 新北市,1454.000000,3.691006,29102.000000,3557384.000000,0.859588,158.953709
2012, 臺北市,1123.000000,4.200917,10378.000000,1863005.000000,0.453170,143.241965
2012, 桃園市,549.000000,2.704219,12808.000000,3441395.000000,0.758238,269.596161
2012, 臺中市,695.000000,2.588558,9495.000000,2974430.000000,0.421311,333.755610
2012, 臺南市,648.000000,3.443795,11832.000000,5186926.000000,0.728653,426.381093
2012, 高雄市,1589.000000,5.718586,18901.000000,3507220.000000,0.788463,204.633876
2012, 宜蘭縣,367.000000,8.002704,6283.000000,659091.000000,1.592124,107.738619
2012, 新竹縣,196.000000,3.740508,4313.000000,933707.000000,1.002350,215.935939
2012, 苗栗縣,345.000000,6.117282,5363.000000,870812.000000,1.116701,164.010170
2012, 彰化縣,998.000000,7.677703,20789.000000,1502285.000000,1.885488,74.605070
2012, 南投縣,235.000000,4.517528,5028.000000,227045.000000,1.117721,44.981674
2012, 雲林縣,790.000000,11.111252,5590.000000,421201.000000,0.914994,76.533297
2012, 嘉義縣,218.000000,4.084516,4458.000000,523342.000000,0.955281,121.566086
2012, 屏東縣,314.000000,3.657794,11621.000000,1040943.000000,1.556744,88.447872
2012, 臺東縣,187.000000,8.265120,9078.000000,425583.000000,4.673552,57.394875
2012, 花蓮縣,170.000000,5.071750,6837.000000,698200.000000,2.367374,115.970434
2012, 澎湖縣,81.000000,8.194814,1078.000000,209424.000000,1.247353,205.721022
2012, 基隆市,185.000000,4.905171,2069.000000,247096.000000,0.627793,127.863389
2012, 新竹市,116.000000,2.728956,3017.000000,211046.000000,0.870669,78.006283
2012, 嘉義市,97.000000,3.576432,3109.000000,671032.000000,1.365243,221.975521
2012, 金門縣,80.000000,7.072698,1784.000000,126686.000000,1.786662,74.696934
2012, 連江縣,34.000000,30.061892,21.000000,1094.000000,0.214548,70.580645
2013, 總計,11461.000000,4.903413,202853.000000,32303443.000000,1.012902,167.459082
2013, 臺灣地區,9820.000000,4.225357,201026.000000,32168424.000000,1.009712,168.343947
2013, 新北市,1517.000000,3.835720,30399.000000,4540553.000000,0.891371,152.621065
2013, 臺北市,1139.000000,4.239692,18483.000000,2541318.000000,0.802591,176.107411
2013, 桃園市,659.000000,3.224034,15046.000000,5214991.000000,0.879695,374.451856
2013, 臺中市,859.000000,3.179525,11452.000000,3021826.000000,0.502983,288.521125
2013, 臺南市,761.000000,4.040977,16529.000000,3796504.000000,1.013983,267.727090
2013, 高雄市,1666.000000,5.993071,21734.000000,3636361.000000,0.902863,178.976793
2013, 宜蘭縣,175.000000,3.817160,6233.000000,751717.000000,1.572640,120.120965
2013, 新竹縣,213.000000,4.015186,4882.000000,797300.000000,1.117099,173.420337
2013, 苗栗縣,251.000000,4.438126,5323.000000,888078.000000,1.103190,166.213363
2013, 彰化縣,530.000000,4.089465,18370.000000,1672928.000000,1.663259,85.442836
2013, 南投縣,227.000000,4.388831,5072.000000,244102.000000,1.127795,48.337030
2013, 雲林縣,287.000000,4.054864,4732.000000,278153.000000,0.774115,53.895175
2013, 嘉義縣,249.000000,4.704958,4275.000000,444442.000000,0.917628,101.784496
2013, 屏東縣,341.000000,4.001004,10051.000000,1983007.000000,1.348698,183.001753
2013, 臺東縣,208.000000,9.251805,9583.000000,477895.000000,4.939512,51.218584
2013, 花蓮縣,198.000000,5.929972,7110.000000,648079.000000,2.461698,92.934538
2013, 澎湖縣,82.000000,8.167331,1284.000000,208640.000000,1.457021,176.663844
2013, 基隆市,223.000000,5.948031,3433.000000,291328.000000,1.042081,105.898946
2013, 新竹市,134.000000,3.127312,3834.000000,269867.000000,1.094790,78.781784
2013, 嘉義市,102.000000,3.765616,3201.000000,461335.000000,1.401495,146.223455
2013, 金門縣,80.000000,6.627290,1806.000000,133010.000000,1.686196,74.100279
2013, 連江縣,35.000000,28.771065,21.000000,2009.000000,0.198826,95.666667
2014, 總計,12335.000000,5.263775,240150.000000,32725244.000000,1.191430,147.742765
2014, 臺灣地區,10533.000000,4.521858,238239.000000,32599551.000000,1.189306,148.427719
2014, 新北市,1636.000000,4.124212,39777.000000,4339009.000000,1.159187,123.660767
2014, 臺北市,1512.000000,5.595203,20802.000000,1680970.000000,0.896823,85.578211
2014, 桃園市,774.000000,3.760334,17129.000000,2518435.000000,0.988931,156.546076
2014, 臺中市,961.000000,3.533303,27340.000000,3232215.000000,1.187432,166.643380
2014, 臺南市,782.000000,4.150117,16517.000000,5101856.000000,1.009218,308.772983
2014, 高雄市,1634.000000,5.879830,23439.000000,4618950.000000,0.970100,204.500476
2014, 宜蘭縣,189.000000,4.119649,6404.000000,778633.000000,1.607841,123.230672
2014, 新竹縣,214.000000,3.980433,4666.000000,774157.000000,1.050286,162.161081
2014, 苗栗縣,190.000000,3.350190,5361.000000,946056.000000,1.105502,177.097716
2014, 彰化縣,516.000000,3.995435,19272.000000,1897692.000000,1.742094,100.828436
2014, 南投縣,215.000000,4.180318,5095.000000,257086.000000,1.132814,50.572637
2014, 雲林縣,313.000000,4.437476,4916.000000,452676.000000,0.802598,93.838308
2014, 嘉義縣,249.000000,4.744818,4357.000000,461908.000000,0.937100,107.022243
2014, 屏東縣,361.000000,4.257492,13306.000000,1993661.000000,1.785204,170.712078
2014, 臺東縣,180.000000,8.018889,10205.000000,569275.000000,5.240159,57.537396
2014, 花蓮縣,199.000000,5.968949,7231.000000,781164.000000,2.497539,108.941357
2014, 澎湖縣,74.000000,7.272156,1208.000000,187560.000000,1.348305,150.529695
2014, 基隆市,237.000000,6.352576,3885.000000,598652.000000,1.178130,163.610823
2014, 新竹市,195.000000,4.514014,3881.000000,673037.000000,1.096572,174.474919
2014, 嘉義市,102.000000,3.765463,3448.000000,736559.000000,1.501481,221.554820
2014, 金門縣,93.000000,7.281382,1890.000000,125053.000000,1.661071,67.669372
2014, 連江縣,31.000000,24.788102,21.000000,640.000000,0.192449,30.476190
