"年度","縣市","食品衛生查驗件數","食品衛生查驗與規定不符件數","食品衛生查驗不合格率","營業場所衛生稽查輔導改善次數","營業場所衛生稽查家次","營業場所衛生稽查輔導改善率"
2002, 澎湖縣,291.000000,27.000000,9.278351,-,-,-
2002, 基隆市,672.000000,32.000000,4.761905,-,-,-
2002, 新竹市,505.000000,71.000000,14.059406,-,-,-
2002, 嘉義市,518.000000,33.000000,6.370656,-,-,-
2002, 金門縣,-,-,-,-,-,-
2002, 連江縣,-,-,-,-,-,-
2003, 總計,36220.000000,3646.000000,10.066262,7995.000000,59342.000000,13.472751
2003, 臺灣地區,36220.000000,3646.000000,10.066262,7995.000000,58681.000000,13.624512
2003, 新北市,2720.000000,106.000000,3.897059,780.000000,1860.000000,41.935484
2003, 臺北市,3382.000000,476.000000,14.074512,942.000000,14095.000000,6.683221
2003, 桃園市,2584.000000,224.000000,8.668731,542.000000,1704.000000,31.807512
2003, 臺中市,2830.000000,684.000000,24.169611,362.000000,4180.000000,8.660287
2003, 臺南市,3324.000000,618.000000,18.592058,771.000000,7555.000000,10.205162
2003, 高雄市,5414.000000,106.000000,1.957887,1284.000000,5852.000000,21.941217
2003, 宜蘭縣,3014.000000,321.000000,10.650299,52.000000,2424.000000,2.145215
2003, 新竹縣,566.000000,39.000000,6.890459,75.000000,903.000000,8.305648
2003, 苗栗縣,1077.000000,169.000000,15.691736,155.000000,1687.000000,9.187908
2003, 彰化縣,371.000000,49.000000,13.207547,1264.000000,3461.000000,36.521237
2003, 南投縣,882.000000,239.000000,27.097506,215.000000,2034.000000,10.570305
2003, 雲林縣,764.000000,19.000000,2.486911,263.000000,1688.000000,15.580569
2003, 嘉義縣,1541.000000,19.000000,1.232966,8.000000,2063.000000,0.387785
2003, 屏東縣,3952.000000,126.000000,3.188259,669.000000,3047.000000,21.956022
2003, 臺東縣,404.000000,43.000000,10.643564,124.000000,1921.000000,6.454971
2003, 花蓮縣,892.000000,38.000000,4.260090,211.000000,1157.000000,18.236819
2003, 澎湖縣,442.000000,34.000000,7.692308,26.000000,503.000000,5.168986
2003, 基隆市,838.000000,112.000000,13.365155,128.000000,858.000000,14.918415
2003, 新竹市,407.000000,165.000000,40.540541,69.000000,867.000000,7.958478
2003, 嘉義市,816.000000,59.000000,7.230392,55.000000,822.000000,6.690998
2003, 金門縣,-,-,-,-,661.000000,-
2003, 連江縣,-,-,-,-,-,-
2004, 總計,37116.000000,2563.000000,6.905378,9151.000000,56470.000000,16.205065
2004, 臺灣地區,36284.000000,2495.000000,6.876309,9151.000000,55986.000000,16.345158
2004, 新北市,3210.000000,235.000000,7.320872,1044.000000,1979.000000,52.753916
2004, 臺北市,3655.000000,486.000000,13.296854,516.000000,12059.000000,4.278962
2004, 桃園市,2715.000000,306.000000,11.270718,1429.000000,2759.000000,51.794128
2004, 臺中市,2626.000000,261.000000,9.939071,402.000000,3690.000000,10.894309
2004, 臺南市,1724.000000,125.000000,7.250580,555.000000,6831.000000,8.124726
2004, 高雄市,6879.000000,318.000000,4.622765,1805.000000,6269.000000,28.792471
2004, 宜蘭縣,1133.000000,65.000000,5.736981,189.000000,2608.000000,7.246933
2004, 新竹縣,784.000000,18.000000,2.295918,63.000000,736.000000,8.559783
2004, 苗栗縣,1284.000000,132.000000,10.280374,124.000000,1294.000000,9.582689
2004, 彰化縣,433.000000,47.000000,10.854503,1364.000000,3289.000000,41.471572
2004, 南投縣,751.000000,7.000000,0.932091,184.000000,1638.000000,11.233211
2004, 雲林縣,1001.000000,55.000000,5.494505,201.000000,1450.000000,13.862069
2004, 嘉義縣,1960.000000,27.000000,1.377551,68.000000,1982.000000,3.430878
2004, 屏東縣,4180.000000,91.000000,2.177033,608.000000,3051.000000,19.927892
2004, 臺東縣,758.000000,17.000000,2.242744,113.000000,2121.000000,5.327676
2004, 花蓮縣,626.000000,73.000000,11.661342,154.000000,1110.000000,13.873874
2004, 澎湖縣,640.000000,19.000000,2.968750,12.000000,451.000000,2.660754
2004, 基隆市,674.000000,65.000000,9.643917,128.000000,926.000000,13.822894
2004, 新竹市,782.000000,113.000000,14.450128,138.000000,991.000000,13.925328
2004, 嘉義市,469.000000,35.000000,7.462687,54.000000,752.000000,7.180851
2004, 金門縣,310.000000,34.000000,10.967742,-,484.000000,-
2004, 連江縣,522.000000,34.000000,6.513410,-,-,-
2005, 總計,39395.000000,2504.000000,6.356137,10665.000000,55164.000000,19.333261
2005, 臺灣地區,38377.000000,2471.000000,6.438752,10614.000000,54812.000000,19.364373
2005, 新北市,2758.000000,170.000000,6.163887,2720.000000,3999.000000,68.017004
2005, 臺北市,3630.000000,320.000000,8.815427,546.000000,9407.000000,5.804188
2005, 桃園市,2253.000000,217.000000,9.631602,1039.000000,2590.000000,40.115830
2005, 臺中市,3783.000000,342.000000,9.040444,365.000000,3707.000000,9.846237
2005, 臺南市,2011.000000,132.000000,6.563899,491.000000,6459.000000,7.601796
2005, 高雄市,7585.000000,479.000000,6.315096,1665.000000,5781.000000,28.801245
2005, 宜蘭縣,798.000000,57.000000,7.142857,384.000000,2579.000000,14.889492
2005, 新竹縣,676.000000,8.000000,1.183432,256.000000,1017.000000,25.172075
2005, 苗栗縣,1167.000000,139.000000,11.910883,162.000000,1266.000000,12.796209
2005, 彰化縣,1068.000000,111.000000,10.393258,821.000000,2236.000000,36.717352
2005, 南投縣,1112.000000,16.000000,1.438849,97.000000,1481.000000,6.549629
2005, 雲林縣,680.000000,58.000000,8.529412,167.000000,1424.000000,11.727528
2005, 嘉義縣,2483.000000,29.000000,1.167942,228.000000,1942.000000,11.740474
2005, 屏東縣,3998.000000,97.000000,2.426213,624.000000,3243.000000,19.241443
2005, 臺東縣,757.000000,-,-,98.000000,2313.000000,4.236922
2005, 花蓮縣,1109.000000,77.000000,6.943192,170.000000,2005.000000,8.478803
2005, 澎湖縣,521.000000,6.000000,1.151631,-,603.000000,-
2005, 基隆市,782.000000,49.000000,6.265985,353.000000,1023.000000,34.506354
2005, 新竹市,528.000000,106.000000,20.075758,354.000000,976.000000,36.270492
2005, 嘉義市,678.000000,58.000000,8.554572,74.000000,761.000000,9.724047
2005, 金門縣,215.000000,15.000000,6.976744,51.000000,352.000000,14.488636
2005, 連江縣,803.000000,18.000000,2.241594,-,-,-
2006, 總計,707783.000000,14928.000000,2.109121,10690.000000,53461.000000,19.995885
2006, 臺灣地區,676082.000000,14885.000000,2.201656,10637.000000,53158.000000,20.010158
2006, 新北市,18941.000000,1180.000000,6.229872,2039.000000,2386.000000,85.456832
2006, 臺北市,90714.000000,1218.000000,1.342681,703.000000,10242.000000,6.863894
2006, 桃園市,24054.000000,803.000000,3.338322,2180.000000,3858.000000,56.505962
2006, 臺中市,46223.000000,3795.000000,8.210198,430.000000,3728.000000,11.534335
2006, 臺南市,28451.000000,1218.000000,4.281045,435.000000,6150.000000,7.073171
2006, 高雄市,49682.000000,1507.000000,3.033292,1194.000000,4814.000000,24.802659
2006, 宜蘭縣,82295.000000,449.000000,0.545598,274.000000,2607.000000,10.510165
2006, 新竹縣,25272.000000,487.000000,1.927034,147.000000,812.000000,18.103448
2006, 苗栗縣,18690.000000,792.000000,4.237560,186.000000,1203.000000,15.461347
2006, 彰化縣,56820.000000,258.000000,0.454065,994.000000,2119.000000,46.908919
2006, 南投縣,20127.000000,438.000000,2.176181,143.000000,1648.000000,8.677184
2006, 雲林縣,24358.000000,828.000000,3.399294,148.000000,1123.000000,13.178985
2006, 嘉義縣,30457.000000,395.000000,1.296910,395.000000,1800.000000,21.944444
2006, 屏東縣,8614.000000,123.000000,1.427908,708.000000,3356.000000,21.096544
2006, 臺東縣,39622.000000,263.000000,0.663773,64.000000,2430.000000,2.633745
2006, 花蓮縣,2112.000000,112.000000,5.303030,173.000000,1878.000000,9.211928
2006, 澎湖縣,40718.000000,129.000000,0.316813,15.000000,663.000000,2.262443
2006, 基隆市,14051.000000,364.000000,2.590563,93.000000,763.000000,12.188729
2006, 新竹市,46385.000000,331.000000,0.713593,249.000000,821.000000,30.328867
2006, 嘉義市,8496.000000,195.000000,2.295198,67.000000,757.000000,8.850727
2006, 金門縣,30506.000000,26.000000,0.085229,53.000000,303.000000,17.491749
2006, 連江縣,1195.000000,17.000000,1.422594,-,-,-
2007, 總計,706339.000000,17503.000000,2.477989,9284.000000,47798.000000,19.423407
2007, 臺灣地區,692645.000000,17472.000000,2.522504,9120.000000,47467.000000,19.213348
2007, 新北市,21906.000000,1251.000000,5.710764,1549.000000,1897.000000,81.655245
2007, 臺北市,105398.000000,1082.000000,1.026585,447.000000,10041.000000,4.451748
2007, 桃園市,21675.000000,1386.000000,6.394464,1539.000000,3385.000000,45.465288
2007, 臺中市,40686.000000,3633.000000,8.929361,551.000000,3204.000000,17.197253
2007, 臺南市,42317.000000,989.000000,2.337122,392.000000,5706.000000,6.869961
2007, 高雄市,49103.000000,2905.000000,5.916135,1226.000000,4935.000000,24.842958
2007, 宜蘭縣,51928.000000,633.000000,1.218996,514.000000,2204.000000,23.321234
2007, 新竹縣,46525.000000,312.000000,0.670607,73.000000,834.000000,8.752998
2007, 苗栗縣,21926.000000,721.000000,3.288333,268.000000,924.000000,29.004329
2007, 彰化縣,36213.000000,400.000000,1.104576,432.000000,1112.000000,38.848921
2007, 南投縣,18573.000000,598.000000,3.219728,270.000000,1678.000000,16.090584
2007, 雲林縣,22378.000000,1196.000000,5.344535,202.000000,1079.000000,18.721038
2007, 嘉義縣,24037.000000,450.000000,1.872114,301.000000,1606.000000,18.742217
2007, 屏東縣,8593.000000,140.000000,1.629233,700.000000,3453.000000,20.272227
2007, 臺東縣,45466.000000,102.000000,0.224343,84.000000,1768.000000,4.751131
2007, 花蓮縣,3487.000000,51.000000,1.462575,166.000000,1232.000000,13.474026
2007, 澎湖縣,42865.000000,409.000000,0.954158,13.000000,347.000000,3.746398
2007, 基隆市,12416.000000,504.000000,4.059278,139.000000,691.000000,20.115774
2007, 新竹市,61260.000000,280.000000,0.457068,203.000000,705.000000,28.794326
2007, 嘉義市,15893.000000,430.000000,2.705594,51.000000,666.000000,7.657658
2007, 金門縣,12828.000000,8.000000,0.062364,27.000000,331.000000,8.157100
2007, 連江縣,866.000000,23.000000,2.655889,137.000000,-,-
2008, 總計,838664.000000,18817.000000,2.243688,8546.000000,45680.000000,18.708406
2008, 臺灣地區,825015.000000,18330.000000,2.221778,8481.000000,45088.000000,18.809883
2008, 新北市,39834.000000,754.000000,1.892855,1212.000000,1403.000000,86.386315
2008, 臺北市,111744.000000,1086.000000,0.971864,321.000000,9857.000000,3.256569
2008, 桃園市,22511.000000,1311.000000,5.823819,875.000000,2360.000000,37.076271
2008, 臺中市,49469.000000,4405.000000,8.904566,640.000000,3199.000000,20.006252
2008, 臺南市,27604.000000,521.000000,1.887408,329.000000,5411.000000,6.080207
2008, 高雄市,77014.000000,3390.000000,4.401797,1168.000000,4784.000000,24.414716
2008, 宜蘭縣,57042.000000,511.000000,0.895831,735.000000,1975.000000,37.215190
2008, 新竹縣,93410.000000,470.000000,0.503158,97.000000,1125.000000,8.622222
2008, 苗栗縣,20927.000000,616.000000,2.943566,142.000000,753.000000,18.857902
2008, 彰化縣,53276.000000,314.000000,0.589384,614.000000,1260.000000,48.730159
2008, 南投縣,24296.000000,733.000000,3.016958,151.000000,1758.000000,8.589306
2008, 雲林縣,24129.000000,1042.000000,4.318455,133.000000,1037.000000,12.825458
2008, 嘉義縣,18976.000000,432.000000,2.276560,603.000000,1248.000000,48.317308
2008, 屏東縣,10945.000000,146.000000,1.333942,722.000000,3507.000000,20.587397
2008, 臺東縣,61576.000000,385.000000,0.625244,94.000000,1625.000000,5.784615
2008, 花蓮縣,4158.000000,20.000000,0.481000,198.000000,1238.000000,15.993538
2008, 澎湖縣,37507.000000,372.000000,0.991815,9.000000,346.000000,2.601156
2008, 基隆市,15289.000000,1270.000000,8.306626,244.000000,892.000000,27.354260
2008, 新竹市,43633.000000,344.000000,0.788394,173.000000,621.000000,27.858293
2008, 嘉義市,31675.000000,208.000000,0.656669,21.000000,689.000000,3.047896
2008, 金門縣,11372.000000,3.000000,0.026381,14.000000,337.000000,4.154303
2008, 連江縣,2277.000000,484.000000,21.256039,51.000000,255.000000,20.000000
2009, 總計,913729.000000,20216.000000,2.212472,8762.000000,42845.000000,20.450461
2009, 臺灣地區,898590.000000,20204.000000,2.248411,8713.000000,42283.000000,20.606390
2009, 新北市,27575.000000,2000.000000,7.252947,1387.000000,1670.000000,83.053892
2009, 臺北市,84075.000000,1067.000000,1.269105,450.000000,7352.000000,6.120783
2009, 桃園市,22806.000000,1365.000000,5.985267,771.000000,2256.000000,34.175532
2009, 臺中市,52587.000000,2941.000000,5.592637,581.000000,3016.000000,19.263926
2009, 臺南市,30008.000000,1331.000000,4.435484,476.000000,5335.000000,8.922212
2009, 高雄市,114393.000000,2929.000000,2.560471,1174.000000,4877.000000,24.072176
2009, 宜蘭縣,15151.000000,587.000000,3.874332,574.000000,1779.000000,32.265318
2009, 新竹縣,93120.000000,63.000000,0.067655,187.000000,976.000000,19.159836
2009, 苗栗縣,10414.000000,2251.000000,21.615133,140.000000,1061.000000,13.195099
2009, 彰化縣,170991.000000,596.000000,0.348556,622.000000,1112.000000,55.935252
2009, 南投縣,17231.000000,940.000000,5.455284,167.000000,1632.000000,10.232843
2009, 雲林縣,24542.000000,786.000000,3.202673,87.000000,977.000000,8.904811
2009, 嘉義縣,17282.000000,1031.000000,5.965745,582.000000,1183.000000,49.196957
2009, 屏東縣,9396.000000,88.000000,0.936569,668.000000,3762.000000,17.756512
2009, 臺東縣,56448.000000,333.000000,0.589923,53.000000,1375.000000,3.854545
2009, 花蓮縣,4323.000000,1.000000,0.023132,369.000000,1417.000000,26.040932
2009, 澎湖縣,41665.000000,313.000000,0.751230,10.000000,322.000000,3.105590
2009, 基隆市,16481.000000,657.000000,3.986409,225.000000,897.000000,25.083612
2009, 新竹市,45775.000000,357.000000,0.779902,189.000000,638.000000,29.623824
2009, 嘉義市,44327.000000,568.000000,1.281386,1.000000,646.000000,0.154799
2009, 金門縣,14194.000000,-,-,10.000000,335.000000,2.985075
2009, 連江縣,945.000000,12.000000,1.269841,39.000000,227.000000,17.180617
2010, 總計,834814.000000,17775.000000,2.129217,10913.000000,46938.000000,23.249819
2010, 臺灣地區,820763.000000,17760.000000,2.163840,10852.000000,46354.000000,23.411140
2010, 新北市,31117.000000,1679.000000,5.395764,943.000000,1176.000000,80.187075
2010, 臺北市,114245.000000,1139.000000,0.996980,368.000000,7873.000000,4.674203
2010, 桃園市,23481.000000,1205.000000,5.131809,2797.000000,6354.000000,44.019515
2010, 臺中市,51019.000000,2279.000000,4.466963,579.000000,3041.000000,19.039790
2010, 臺南市,42362.000000,923.000000,2.178840,545.000000,5420.000000,10.055351
2010, 高雄市,91656.000000,3179.000000,3.468404,1011.000000,4945.000000,20.444894
2010, 宜蘭縣,16658.000000,1010.000000,6.063153,744.000000,1834.000000,40.567067
2010, 新竹縣,64267.000000,104.000000,0.161825,232.000000,683.000000,33.967789
2010, 苗栗縣,10006.000000,336.000000,3.357985,247.000000,1206.000000,20.480929
2010, 彰化縣,43200.000000,306.000000,0.708333,623.000000,1020.000000,61.078431
2010, 南投縣,17194.000000,1162.000000,6.758171,211.000000,1600.000000,13.187500
2010, 雲林縣,25723.000000,698.000000,2.713525,122.000000,946.000000,12.896406
2010, 嘉義縣,19579.000000,700.000000,3.575259,600.000000,1331.000000,45.078888
2010, 屏東縣,8997.000000,70.000000,0.778037,628.000000,3659.000000,17.163159
2010, 臺東縣,55225.000000,735.000000,1.330919,53.000000,1359.000000,3.899926
2010, 花蓮縣,3741.000000,-,-,554.000000,1375.000000,40.290909
2010, 澎湖縣,41802.000000,898.000000,2.148223,9.000000,316.000000,2.848101
2010, 基隆市,12295.000000,231.000000,1.878813,391.000000,984.000000,39.735772
2010, 新竹市,54473.000000,408.000000,0.748995,192.000000,679.000000,28.276878
2010, 嘉義市,93723.000000,698.000000,0.744748,3.000000,553.000000,0.542495
2010, 金門縣,12702.000000,1.000000,0.007873,9.000000,361.000000,2.493075
2010, 連江縣,1349.000000,14.000000,1.037806,52.000000,223.000000,23.318386
2011, 總計,848696.000000,11769.000000,1.386716,10087.000000,40227.000000,25.075198
2011, 臺灣地區,749837.000000,11756.000000,1.567807,10037.000000,39575.000000,25.361971
2011, 新北市,47864.000000,214.000000,0.447100,983.000000,1239.000000,79.338176
2011, 臺北市,108757.000000,1180.000000,1.084988,301.000000,7127.000000,4.223376
2011, 桃園市,36239.000000,297.000000,0.819559,1916.000000,3263.000000,58.718970
2011, 臺中市,46027.000000,2098.000000,4.558194,555.000000,1923.000000,28.861154
2011, 臺南市,30169.000000,826.000000,2.737910,445.000000,4558.000000,9.763054
2011, 高雄市,58971.000000,2640.000000,4.476777,630.000000,4580.000000,13.755459
2011, 宜蘭縣,12496.000000,461.000000,3.689181,1288.000000,1975.000000,65.215190
2011, 新竹縣,16230.000000,158.000000,0.973506,142.000000,480.000000,29.583333
2011, 苗栗縣,20321.000000,246.000000,1.210570,258.000000,952.000000,27.100840
2011, 彰化縣,19422.000000,488.000000,2.512615,762.000000,1238.000000,61.550889
2011, 南投縣,33599.000000,168.000000,0.500015,212.000000,1259.000000,16.838761
2011, 雲林縣,15727.000000,169.000000,1.074585,160.000000,756.000000,21.164021
2011, 嘉義縣,26465.000000,758.000000,2.864160,537.000000,1408.000000,38.139205
2011, 屏東縣,83696.000000,89.000000,0.106337,636.000000,3706.000000,17.161360
2011, 臺東縣,50783.000000,264.000000,0.519859,60.000000,1135.000000,5.286344
2011, 花蓮縣,11181.000000,87.000000,0.778106,390.000000,1499.000000,26.017345
2011, 澎湖縣,35340.000000,885.000000,2.504244,16.000000,266.000000,6.015038
2011, 基隆市,13288.000000,183.000000,1.377182,551.000000,914.000000,60.284464
2011, 新竹市,48378.000000,209.000000,0.432015,195.000000,683.000000,28.550512
2011, 嘉義市,34884.000000,336.000000,0.963192,-,614.000000,-
2011, 金門縣,97529.000000,1.000000,0.001025,15.000000,444.000000,3.378378
2011, 連江縣,1330.000000,12.000000,0.902256,35.000000,208.000000,16.826923
2012, 總計,725912.000000,8984.000000,1.237616,10093.000000,38542.000000,26.187017
2012, 臺灣地區,710511.000000,8918.000000,1.255153,10045.000000,37913.000000,26.494870
2012, 新北市,41750.000000,58.000000,0.138922,514.000000,816.000000,62.990196
2012, 臺北市,108200.000000,1013.000000,0.936229,314.000000,7031.000000,4.465937
2012, 桃園市,41808.000000,359.000000,0.858687,1197.000000,2508.000000,47.727273
2012, 臺中市,48025.000000,1068.000000,2.223842,444.000000,1706.000000,26.025791
2012, 臺南市,20550.000000,341.000000,1.659367,1378.000000,4038.000000,34.125805
2012, 高雄市,62730.000000,2703.000000,4.308943,595.000000,4390.000000,13.553531
2012, 宜蘭縣,18400.000000,361.000000,1.961957,1450.000000,2042.000000,71.008815
2012, 新竹縣,12824.000000,125.000000,0.974735,122.000000,474.000000,25.738397
2012, 苗栗縣,13762.000000,157.000000,1.140823,406.000000,1633.000000,24.862217
2012, 彰化縣,31511.000000,480.000000,1.523278,921.000000,1375.000000,66.981818
2012, 南投縣,12157.000000,19.000000,0.156289,149.000000,848.000000,17.570755
2012, 雲林縣,13924.000000,190.000000,1.364550,297.000000,628.000000,47.292994
2012, 嘉義縣,24545.000000,336.000000,1.368914,443.000000,1427.000000,31.044149
2012, 屏東縣,106787.000000,43.000000,0.040267,653.000000,3779.000000,17.279704
2012, 臺東縣,42950.000000,144.000000,0.335274,41.000000,1431.000000,2.865129
2012, 花蓮縣,9415.000000,54.000000,0.573553,281.000000,1296.000000,21.682099
2012, 澎湖縣,29546.000000,513.000000,1.736276,-,228.000000,-
2012, 基隆市,13628.000000,218.000000,1.599648,705.000000,946.000000,74.524313
2012, 新竹市,42958.000000,302.000000,0.703012,135.000000,516.000000,26.162791
2012, 嘉義市,15041.000000,434.000000,2.885446,-,801.000000,-
2012, 金門縣,14230.000000,44.000000,0.309206,15.000000,397.000000,3.778338
2012, 連江縣,1171.000000,22.000000,1.878736,33.000000,232.000000,14.224138
2013, 總計,676019.000000,9145.000000,1.352773,10179.000000,40945.000000,24.860178
2013, 臺灣地區,665003.000000,9095.000000,1.367663,10146.000000,40277.000000,25.190555
2013, 新北市,46657.000000,1207.000000,2.586964,585.000000,1025.000000,57.073171
2013, 臺北市,104322.000000,765.000000,0.733306,385.000000,7132.000000,5.398205
2013, 桃園市,15597.000000,273.000000,1.750337,1420.000000,2310.000000,61.471861
2013, 臺中市,24988.000000,382.000000,1.528734,578.000000,2070.000000,27.922705
2013, 臺南市,16250.000000,1087.000000,6.689231,1675.000000,4284.000000,39.098973
2013, 高雄市,52978.000000,1471.000000,2.776624,625.000000,4150.000000,15.060241
2013, 宜蘭縣,18985.000000,445.000000,2.343956,1627.000000,2005.000000,81.147132
2013, 新竹縣,21722.000000,153.000000,0.704355,93.000000,860.000000,10.813953
2013, 苗栗縣,30913.000000,452.000000,1.462168,238.000000,1211.000000,19.653179
2013, 彰化縣,29371.000000,586.000000,1.995165,197.000000,1190.000000,16.554622
2013, 南投縣,18654.000000,189.000000,1.013188,227.000000,901.000000,25.194229
2013, 雲林縣,28505.000000,98.000000,0.343799,290.000000,722.000000,40.166205
2013, 嘉義縣,27560.000000,420.000000,1.523948,447.000000,1239.000000,36.077482
2013, 屏東縣,59700.000000,156.000000,0.261307,675.000000,5783.000000,11.672142
